t omega_stable omega_unstable Omega_stable_ref Omega_unstable_ref
10.0020000000 0.9527641042 1.2587203260 0.9488847242 1.1140089124
10.2020000000 0.9497986264 1.2697930899 0.9488847242 1.1140089124
10.4020000000 0.9454768463 1.2824099036 0.9488847242 1.1140089124
10.6020000000 0.9457748264 1.2920685301 0.9488847242 1.1140089124
10.8020000000 0.9502884029 1.2988411733 0.9488847242 1.1140089124
11.0020000000 0.9527886133 1.3068867075 0.9488847242 1.1140089124
11.2020000000 0.9498212429 1.3185012494 0.9488847242 1.1140089124
11.4020000000 0.9454977077 1.3309484995 0.9488847242 1.1140089124
11.6020000000 0.9457940999 1.3405944451 0.9488847242 1.1140089124
11.8020000000 0.9503062327 1.3476975850 0.9488847242 1.1140089124
12.0020000000 0.9528050939 1.3554301455 0.9488847242 1.1140089124
12.2020000000 0.9498364509 1.3651653028 0.9488847242 1.1140089124
12.4020000000 0.9455117356 1.3746326745 0.9488847242 1.1140089124
12.6020000000 0.9458070599 1.3815150824 0.9488847242 1.1140089124
12.8020000000 0.9503182219 1.3863098578 0.9488847242 1.1140089124
13.0020000000 0.9528161760 1.3908425754 0.9488847242 1.1140089124
13.2020000000 0.9498466772 1.3954091853 0.9488847242 1.1140089124
13.4020000000 0.9455211683 1.3985949253 0.9488847242 1.1140089124
13.6020000000 0.9458157746 1.3998566515 0.9488847242 1.1140089124
13.8020000000 0.9503262838 1.3999259857 0.9488847242 1.1140089124
14.0020000000 0.9528236279 1.3990359108 0.9488847242 1.1140089124
14.2020000000 0.9498535537 1.3964600718 0.9488847242 1.1140089124
14.4020000000 0.9455275111 1.3919955854 0.9488847242 1.1140089124
14.6020000000 0.9458216346 1.3870158420 0.9488847242 1.1140089124
14.8020000000 0.9503317049 1.3823176556 0.9488847242 1.1140089124
15.0020000000 0.9528286387 1.3764764168 0.9488847242 1.1140089124
15.2020000000 0.9498581776 1.3679145315 0.9488847242 1.1140089124
15.4020000000 0.9455317762 1.3576699708 0.9488847242 1.1140089124
15.6020000000 0.9458255750 1.3487033887 0.9488847242 1.1140089124
15.8020000000 0.9503353501 1.3416229346 0.9488847242 1.1140089124
16.0020000000 0.9528320081 1.3335034482 0.9488847242 1.1140089124
16.2020000000 0.9498612868 1.3221121054 0.9488847242 1.1140089124
16.4020000000 0.9455346441 1.3094683136 0.9488847242 1.1140089124
16.6020000000 0.9458282246 1.2996038464 0.9488847242 1.1140089124
16.8020000000 0.9503378013 1.2928190843 0.9488847242 1.1140089124
17.0020000000 0.9528342738 1.2850373537 0.9488847242 1.1140089124
17.2020000000 0.9498633775 1.2735766309 0.9488847242 1.1140089124
17.4020000000 0.9455365726 1.2611330543 0.9488847242 1.1140089124
17.6020000000 0.9458300063 1.2523997522 0.9488847242 1.1140089124
17.8020000000 0.9503394495 1.2474103627 0.9488847242 1.1140089124
18.0020000000 0.9528357972 1.2413216503 0.9488847242 1.1140089124
18.2020000000 0.9498647833 1.2311787346 0.9488847242 1.1140089124
18.4020000000 0.9455378693 1.2201204834 0.9488847242 1.1140089124
18.6020000000 0.9458312044 1.2132448033 0.9488847242 1.1140089124
18.8020000000 0.9503405578 1.2104093137 0.9488847242 1.1140089124
19.0020000000 0.9528368217 1.2063019339 0.9488847242 1.1140089124
19.2020000000 0.9498657287 1.1978132552 0.9488847242 1.1140089124
19.4020000000 0.9455387413 1.1883660742 0.9488847242 1.1140089124
19.6020000000 0.9458320099 1.1833095152 0.9488847242 1.1140089124
19.8020000000 0.9503413030 1.1823984732 0.9488847242 1.1140089124
20.0020000000 0.9528375105 1.1800430808 0.9488847242 1.1140089124
20.2020000000 0.9524629488 1.1755406851 0.9488847242 1.1140089124
20.4020000000 0.9518170170 1.1716202562 0.9488847242 1.1140089124
20.6020000000 0.9510637196 1.1681647759 0.9488847242 1.1140089124
20.8020000000 0.9505991733 1.1648046752 0.9488847242 1.1140089124
21.0020000000 0.9504962729 1.1614097543 0.9488847242 1.1140089124
21.2020000000 0.9503956365 1.1582547105 0.9488847242 1.1140089124
21.4020000000 0.9499954710 1.1556228005 0.9488847242 1.1140089124
21.6020000000 0.9494624286 1.1533949910 0.9488847242 1.1140089124
21.8020000000 0.9491950462 1.1511982432 0.9488847242 1.1140089124
22.0020000000 0.9492684836 1.1489051678 0.9488847242 1.1140089124
22.2020000000 0.9493254467 1.1467982223 0.9488847242 1.1140089124
22.4020000000 0.9490659851 1.1451663145 0.9488847242 1.1140089124
22.6020000000 0.9486583850 1.1438914255 0.9488847242 1.1140089124
22.8020000000 0.9485026897 1.1426010934 0.9488847242 1.1140089124
23.0020000000 0.9486754442 1.1411718203 0.9488847242 1.1140089124
23.2020000000 0.9488206037 1.1398918523 0.9488847242 1.1140089124
23.4020000000 0.9486393250 1.1390542063 0.9488847242 1.1140089124
23.6020000000 0.9483009006 1.1385430392 0.9488847242 1.1140089124
23.8020000000 0.9482063106 1.1379887529 0.9488847242 1.1140089124
24.0020000000 0.9484329409 1.1372721084 0.9488847242 1.1140089124
24.2020000000 0.9486254839 1.1366851425 0.9488847242 1.1140089124
24.4020000000 0.9484857529 1.1365231800 0.9488847242 1.1140089124
24.6020000000 0.9481836574 1.1366730807 0.9488847242 1.1140089124
24.8020000000 0.9481207586 1.1367699822 0.9488847242 1.1140089124
25.0020000000 0.9483749474 1.1366993037 0.9488847242 1.1140089124
25.2020000000 0.9485913427 1.1367549417 0.9488847242 1.1140089124
25.4020000000 0.9484721413 1.1372325306 0.9488847242 1.1140089124
25.6020000000 0.9481876280 1.1380220335 0.9488847242 1.1140089124
25.8020000000 0.9481397221 1.1387654942 0.9488847242 1.1140089124
26.0020000000 0.9484066138 1.1393537255 0.9488847242 1.1140089124
26.2020000000 0.9486336629 1.1400803466 0.9488847242 1.1140089124
26.4020000000 0.9485232846 1.1412387606 0.9488847242 1.1140089124
26.6020000000 0.9482459901 1.1427224304 0.9488847242 1.1140089124
26.8020000000 0.9482039175 1.1441832193 0.9488847242 1.1140089124
27.0020000000 0.9484754315 1.1455184799 0.9488847242 1.1140089124
27.2020000000 0.9487060225 1.1470185850 0.9488847242 1.1140089124
27.4020000000 0.9485982268 1.1489708354 0.9488847242 1.1140089124
27.6020000000 0.9483226897 1.1512723951 0.9488847242 1.1140089124
27.8020000000 0.9482816822 1.1535889026 0.9488847242 1.1140089124
28.0020000000 0.9485536681 1.1558256282 0.9488847242 1.1140089124
28.2020000000 0.9487842047 1.1582647012 0.9488847242 1.1140089124
28.4020000000 0.9486758920 1.1611806541 0.9488847242 1.1140089124
28.6020000000 0.9483994539 1.1644737446 0.9488847242 1.1140089124
28.8020000000 0.9483572407 1.1678284639 0.9488847242 1.1140089124
29.0020000000 0.9486277707 1.1711589689 0.9488847242 1.1140089124
29.2020000000 0.9488566323 1.1747300294 0.9488847242 1.1140089124
29.4020000000 0.9487464564 1.1787915688 0.9488847242 1.1140089124
29.6020000000 0.9484680115 1.1832444125 0.9488847242 1.1140089124
29.8020000000 0.9484236950 1.1877978507 0.9488847242 1.1140089124
30.0020000000 0.9486920536 1.1923742313 0.9488847242 1.1140089124
30.2020000000 0.9489186869 1.1972049354 0.9488847242 1.1140089124
30.4020000000 0.9488062387 1.2024957452 0.9488847242 1.1140089124
30.6020000000 0.9485255024 1.2081429064 0.9488847242 1.1140089124
30.8020000000 0.9484789024 1.2138873535 0.9488847242 1.1140089124
31.0020000000 0.9487449987 1.2196565051 0.9488847242 1.1140089124
31.2020000000 0.9489693926 1.2256248465 0.9488847242 1.1140089124
31.4020000000 0.9488547310 1.2319286295 0.9488847242 1.1140089124
31.6020000000 0.9485718205 1.2384554752 0.9488847242 1.1140089124
31.8020000000 0.9485231003 1.2449889213 0.9488847242 1.1140089124
32.0020000000 0.9487871362 1.2514600473 0.9488847242 1.1140089124
32.2020000000 0.9490095259 1.2579651163 0.9488847242 1.1140089124
32.4020000000 0.9488929151 1.2645546350 0.9488847242 1.1140089124
32.6020000000 0.9486081164 1.2711177864 0.9488847242 1.1140089124
32.8020000000 0.9485575775 1.2775037042 0.9488847242 1.1140089124
33.0020000000 0.9488198653 1.2836585598 0.9488847242 1.1140089124
33.2020000000 0.9490405723 1.2896027202 0.9488847242 1.1140089124
33.4020000000 0.9489223407 1.2953165263 0.9488847242 1.1140089124
33.6020000000 0.9486359860 1.3007233100 0.9488847242 1.1140089124
33.8020000000 0.9485839598 1.3057682914 0.9488847242 1.1140089124
34.0020000000 0.9488448283 1.3104349948 0.9488847242 1.1140089124
34.2020000000 0.9490641784 1.3146956849 0.9488847242 1.1140089124
34.4020000000 0.9489446486 1.3184969837 0.9488847242 1.1140089124
34.6020000000 0.9486570549 1.3218215123 0.9488847242 1.1140089124
34.8020000000 0.9486038510 1.3247148284 0.9488847242 1.1140089124
35.0020000000 0.9488636010 1.3272014996 0.9488847242 1.1140089124
35.2020000000 0.9490818872 1.3292239060 0.9488847242 1.1140089124
35.4020000000 0.9489613443 1.3307096309 0.9488847242 1.1140089124
35.6020000000 0.9486727880 1.3316876128 0.9488847242 1.1140089124
35.8020000000 0.9486186726 1.3322733606 0.9488847242 1.1140089124
36.0020000000 0.9488775603 1.3325141862 0.9488847242 1.1140089124
36.2020000000 0.9490950293 1.3323211780 0.9488847242 1.1140089124
36.4020000000 0.9489737109 1.3315966675 0.9488847242 1.1140089124
36.6020000000 0.9486844202 1.3303936087 0.9488847242 1.1140089124
36.8020000000 0.9486296115 1.3288738663 0.9488847242 1.1140089124
37.0020000000 0.9488878453 1.3270977916 0.9488847242 1.1140089124
37.2020000000 0.9491046962 1.3249457044 0.9488847242 1.1140089124
37.4020000000 0.9489827930 1.3222940071 0.9488847242 1.1140089124
37.6020000000 0.9486929499 1.3192158156 0.9488847242 1.1140089124
37.8020000000 0.9486376211 1.3159177056 0.9488847242 1.1140089124
38.0020000000 0.9488953653 1.3124752899 0.9488847242 1.1140089124
38.2020000000 0.9491117545 1.3087420863 0.9488847242 1.1140089124
38.4020000000 0.9489894155 1.3045724675 0.9488847242 1.1140089124
38.6020000000 0.9486991616 1.3000625502 0.9488847242 1.1140089124
38.8020000000 0.9486434466 1.2954640145 0.9488847242 1.1140089124
39.0020000000 0.9489008281 1.2908659638 0.9488847242 1.1140089124
39.2020000000 0.9491168759 1.2860939212 0.9488847242 1.1140089124
39.4020000000 0.9489942152 1.2809797068 0.9488847242 1.1140089124
39.6020000000 0.9487036585 1.2756387451 0.9488847242 1.1140089124
39.8020000000 0.9486476595 1.2703592916 0.9488847242 1.1140089124
40.0020000000 0.9489047745 1.2652351960 0.9488847242 1.1140089124
40.2020000000 0.9491917414 1.2601113603 0.9488847242 1.1140089124
40.4020000000 0.9494184417 1.2549687442 0.9488847242 1.1140089124
40.6020000000 0.9495720093 1.2498461306 0.9488847242 1.1140089124
40.8020000000 0.9496653871 1.2447644435 0.9488847242 1.1140089124
41.0020000000 0.9497312566 1.2397260520 0.9488847242 1.1140089124
41.2020000000 0.9497871775 1.2347381573 0.9488847242 1.1140089124
41.4020000000 0.9498202482 1.2298279773 0.9488847242 1.1140089124
41.6020000000 0.9498127120 1.2250278415 0.9488847242 1.1140089124
41.8020000000 0.9497731865 1.2203504306 0.9488847242 1.1140089124
42.0020000000 0.9497305324 1.2157887482 0.9488847242 1.1140089124
42.2020000000 0.9496989417 1.2113414881 0.9488847242 1.1140089124
42.4020000000 0.9496625518 1.2070289252 0.9488847242 1.1140089124
42.6020000000 0.9496010042 1.2028768054 0.9488847242 1.1140089124
42.8020000000 0.9495206314 1.1988904406 0.9488847242 1.1140089124
43.0020000000 0.9494482915 1.1950551992 0.9488847242 1.1140089124
43.2020000000 0.9493964270 1.1913632344 0.9488847242 1.1140089124
43.4020000000 0.9493476526 1.1878297416 0.9488847242 1.1140089124
43.6020000000 0.9492802841 1.1844759179 0.9488847242 1.1140089124
43.8020000000 0.9491995013 1.1813022804 0.9488847242 1.1140089124
44.0020000000 0.9491311632 1.1782895282 0.9488847242 1.1140089124
44.2020000000 0.9490868515 1.1754261058 0.9488847242 1.1140089124
44.4020000000 0.9490484415 1.1727245758 0.9488847242 1.1140089124
44.6020000000 0.9489936149 1.1702039275 0.9488847242 1.1140089124
44.8020000000 0.9489270087 1.1678624692 0.9488847242 1.1140089124
45.0020000000 0.9488740209 1.1656789671 0.9488847242 1.1140089124
45.2020000000 0.9488458442 1.1636406181 0.9488847242 1.1140089124
45.4020000000 0.9488240279 1.1617593412 0.9488847242 1.1140089124
45.6020000000 0.9487859807 1.1600537038 0.9488847242 1.1140089124
45.8020000000 0.9487361143 1.1585217397 0.9488847242 1.1140089124
46.0020000000 0.9486996422 1.1571423192 0.9488847242 1.1140089124
46.2020000000 0.9486876089 1.1559031513 0.9488847242 1.1140089124
46.4020000000 0.9486814451 1.1548167948 0.9488847242 1.1140089124
46.6020000000 0.9486584670 1.1539024581 0.9488847242 1.1140089124
46.8020000000 0.9486230164 1.1531591245 0.9488847242 1.1140089124
47.0020000000 0.9486002573 1.1525671454 0.9488847242 1.1140089124
47.2020000000 0.9486012003 1.1521158670 0.9488847242 1.1140089124
47.4020000000 0.9486072552 1.1518191034 0.9488847242 1.1140089124
47.6020000000 0.9485957285 1.1516970723 0.9488847242 1.1140089124
47.8020000000 0.9485709625 1.1517502912 0.9488847242 1.1140089124
48.0020000000 0.9485581304 1.1519614160 0.9488847242 1.1140089124
48.2020000000 0.9485682582 1.1523219816 0.9488847242 1.1140089124
48.4020000000 0.9485827747 1.1528469614 0.9488847242 1.1140089124
48.6020000000 0.9485790095 1.1535571421 0.9488847242 1.1140089124
48.8020000000 0.9485613319 1.1544544173 0.9488847242 1.1140089124
49.0020000000 0.9485549454 1.1555239175 0.9488847242 1.1140089124
49.2020000000 0.9485709074 1.1567591514 0.9488847242 1.1140089124
49.4020000000 0.9485906778 1.1581750892 0.9488847242 1.1140089124
49.6020000000 0.9485916175 1.1597913868 0.9488847242 1.1140089124
49.8020000000 0.9485781288 1.1616099631 0.9488847242 1.1140089124
50.0020000000 0.9485754485 1.1636174853 0.9488847242 1.1140089124
50.2020000000 0.9485946659 1.1658078899 0.9488847242 1.1140089124
50.4020000000 0.9486172718 1.1681932161 0.9488847242 1.1140089124
50.6020000000 0.9486206561 1.1707883053 0.9488847242 1.1140089124
50.8020000000 0.9486092507 1.1735919068 0.9488847242 1.1140089124
51.0020000000 0.9486083213 1.1765895761 0.9488847242 1.1140089124
51.2020000000 0.9486289847 1.1797722435 0.9488847242 1.1140089124
51.4020000000 0.9486527562 1.1831439610 0.9488847242 1.1140089124
51.6020000000 0.9486570496 1.1867090825 0.9488847242 1.1140089124
51.8020000000 0.9486463197 1.1904584736 0.9488847242 1.1140089124
52.0020000000 0.9486458551 1.1943728188 0.9488847242 1.1140089124
52.2020000000 0.9486667929 1.1984358756 0.9488847242 1.1140089124
52.4020000000 0.9486906671 1.2026386814 0.9488847242 1.1140089124
52.6020000000 0.9486949088 1.2069706094 0.9488847242 1.1140089124
52.8020000000 0.9486839894 1.2114120606 0.9488847242 1.1140089124
53.0020000000 0.9486832138 1.2159379163 0.9488847242 1.1140089124
53.2020000000 0.9487037339 1.2205246285 0.9488847242 1.1140089124
53.4020000000 0.9487270962 1.2251511915 0.9488847242 1.1140089124
53.6020000000 0.9487307434 1.2297950613 0.9488847242 1.1140089124
53.8020000000 0.9487191589 1.2344312637 0.9488847242 1.1140089124
54.0020000000 0.9487176580 1.2390351585 0.9488847242 1.1140089124
54.2020000000 0.9487374025 1.2435834160 0.9488847242 1.1140089124
54.4020000000 0.9487599472 1.2480524391 0.9488847242 1.1140089124
54.6020000000 0.9487627422 1.2524185609 0.9488847242 1.1140089124
54.8020000000 0.9487502781 1.2566616315 0.9488847242 1.1140089124
55.0020000000 0.9487478773 1.2607662574 0.9488847242 1.1140089124
55.2020000000 0.9487667075 1.2647177791 0.9488847242 1.1140089124
55.4020000000 0.9487883284 1.2684988346 0.9488847242 1.1140089124
55.6020000000 0.9487901947 1.2720923304 0.9488847242 1.1140089124
55.8020000000 0.9487768010 1.2754876055 0.9488847242 1.1140089124
56.0020000000 0.9487734740 1.2786804168 0.9488847242 1.1140089124
56.2020000000 0.9487913848 1.2816656774 0.9488847242 1.1140089124
56.4020000000 0.9488120958 1.2844328296 0.9488847242 1.1140089124
56.6020000000 0.9488130637 1.2869706366 0.9488847242 1.1140089124
56.8020000000 0.9487987857 1.2892752850 0.9488847242 1.1140089124
57.0020000000 0.9487945906 1.2913499235 0.9488847242 1.1140089124
57.2020000000 0.9488116511 1.2931953375 0.9488847242 1.1140089124
57.4020000000 0.9488315308 1.2948044268 0.9488847242 1.1140089124
57.6020000000 0.9488316874 1.2961684740 0.9488847242 1.1140089124
57.8020000000 0.9488166190 1.2972871490 0.9488847242 1.1140089124
58.0020000000 0.9488116554 1.2981679668 0.9488847242 1.1140089124
58.2020000000 0.9488279698 1.2988151373 0.9488847242 1.1140089124
58.4020000000 0.9488471262 1.2992230892 0.9488847242 1.1140089124
58.6020000000 0.9488465822 1.2993841348 0.9488847242 1.1140089124
58.8020000000 0.9488308362 1.2993004353 0.9488847242 1.1140089124
59.0020000000 0.9488252182 1.2989833709 0.9488847242 1.1140089124
59.2020000000 0.9488409014 1.2984404021 0.9488847242 1.1140089124
59.4020000000 0.9488594494 1.2976675158 0.9488847242 1.1140089124
59.6020000000 0.9488583196 1.2966583389 0.9488847242 1.1140089124
59.8020000000 0.9488420101 1.2954181407 0.9488847242 1.1140089124
60.0020000000 0.9488358506 1.2939630030 0.9488847242 1.1140089124
60.2020000000 0.9488524244 1.2923051704 0.9488847242 1.1140089124
60.4020000000 0.9488874356 1.2904505969 0.9488847242 1.1140089124
60.6020000000 0.9489342954 1.2884061538 0.9488847242 1.1140089124
60.8020000000 0.9489868158 1.2861800562 0.9488847242 1.1140089124
61.0020000000 0.9490412010 1.2837807764 0.9488847242 1.1140089124
61.2020000000 0.9490960765 1.2812166765 0.9488847242 1.1140089124
61.4020000000 0.9491503023 1.2784968803 0.9488847242 1.1140089124
61.6020000000 0.9492014095 1.2756321472 0.9488847242 1.1140089124
61.8020000000 0.9492466644 1.2726344291 0.9488847242 1.1140089124
62.0020000000 0.9492851517 1.2695155905 0.9488847242 1.1140089124
62.2020000000 0.9493178845 1.2662869612 0.9488847242 1.1140089124
62.4020000000 0.9493456868 1.2629602776 0.9488847242 1.1140089124
62.6020000000 0.9493676920 1.2595486100 0.9488847242 1.1140089124
62.8020000000 0.9493824604 1.2560658266 0.9488847242 1.1140089124
63.0020000000 0.9493901090 1.2525251638 0.9488847242 1.1140089124
63.2020000000 0.9493924612 1.2489387486 0.9488847242 1.1140089124
63.4020000000 0.9493909649 1.2453186492 0.9488847242 1.1140089124
63.6020000000 0.9493852212 1.2416778898 0.9488847242 1.1140089124
63.8020000000 0.9493741281 1.2380298747 0.9488847242 1.1140089124
64.0020000000 0.9493580324 1.2343868767 0.9488847242 1.1140089124
64.2020000000 0.9493388990 1.2307595868 0.9488847242 1.1140089124
64.4020000000 0.9493182454 1.2271583002 0.9488847242 1.1140089124
64.6020000000 0.9492956848 1.2235940367 0.9488847242 1.1140089124
64.8020000000 0.9492700814 1.2200779601 0.9488847242 1.1140089124
65.0020000000 0.9492417127 1.2166198345 0.9488847242 1.1140089124
65.2020000000 0.9492124468 1.2132276248 0.9488847242 1.1140089124
65.4020000000 0.9491836851 1.2099088059 0.9488847242 1.1140089124
65.6020000000 0.9491549103 1.2066715675 0.9488847242 1.1140089124
65.8020000000 0.9491248474 1.2035242370 0.9488847242 1.1140089124
66.0020000000 0.9490936297 1.2004737229 0.9488847242 1.1140089124
66.2020000000 0.9490629793 1.1975251625 0.9488847242 1.1140089124
66.4020000000 0.9490341524 1.1946833096 0.9488847242 1.1140089124
66.6020000000 0.9490064900 1.1919537820 0.9488847242 1.1140089124
66.8020000000 0.9489785801 1.1893424772 0.9488847242 1.1140089124
67.0020000000 0.9489504244 1.1868540172 0.9488847242 1.1140089124
67.2020000000 0.9489236206 1.1844914275 0.9488847242 1.1140089124
67.4020000000 0.9488993080 1.1822575515 0.9488847242 1.1140089124
67.6020000000 0.9488767184 1.1801562888 0.9488847242 1.1140089124
67.8020000000 0.9488543385 1.1781919980 0.9488847242 1.1140089124
68.0020000000 0.9488320769 1.1763679618 0.9488847242 1.1140089124
68.2020000000 0.9488114464 1.1746860894 0.9488847242 1.1140089124
68.4020000000 0.9487935088 1.1731482999 0.9488847242 1.1140089124
68.6020000000 0.9487774264 1.1717576995 0.9488847242 1.1140089124
68.8020000000 0.9487616233 1.1705179702 0.9488847242 1.1140089124
69.0020000000 0.9487459527 1.1694318906 0.9488847242 1.1140089124
69.2020000000 0.9487318784 1.1685010575 0.9488847242 1.1140089124
69.4020000000 0.9487204194 1.1677271766 0.9488847242 1.1140089124
69.6020000000 0.9487107007 1.1671131125 0.9488847242 1.1140089124
69.8020000000 0.9487011149 1.1666622711 0.9488847242 1.1140089124
70.0020000000 0.9486914880 1.1663772240 0.9488847242 1.1140089124
70.2020000000 0.9486832615 1.1662594517 0.9488847242 1.1140089124
70.4019999999 0.9486774361 1.1663104612 0.9488847242 1.1140089124
70.6019999999 0.9486731225 1.1665326307 0.9488847242 1.1140089124
70.8019999999 0.9486687016 1.1669285984 0.9488847242 1.1140089124
71.0019999999 0.9486639918 1.1675000637 0.9488847242 1.1140089124
71.2019999999 0.9486604288 1.1682475597 0.9488847242 1.1140089124
71.4019999999 0.9486590105 1.1691713105 0.9488847242 1.1140089124
71.6019999999 0.9486588467 1.1702718000 0.9488847242 1.1140089124
71.8019999999 0.9486583193 1.1715492157 0.9488847242 1.1140089124
72.0019999999 0.9486572491 1.1730025355 0.9488847242 1.1140089124
72.2019999999 0.9486570761 1.1746293708 0.9488847242 1.1140089124
72.4019999999 0.9486588035 1.1764265201 0.9488847242 1.1140089124
72.6019999999 0.9486615470 1.1783902686 0.9488847242 1.1140089124
72.8019999999 0.9486636959 1.1805160055 0.9488847242 1.1140089124
73.0019999999 0.9486650786 1.1827977474 0.9488847242 1.1140089124
73.2019999999 0.9486671434 1.1852281340 0.9488847242 1.1140089124
73.4019999999 0.9486709022 1.1877987373 0.9488847242 1.1140089124
73.6019999999 0.9486754800 1.1905002008 0.9488847242 1.1140089124
73.8019999999 0.9486792749 1.1933221658 0.9488847242 1.1140089124
74.0019999999 0.9486821250 1.1962533010 0.9488847242 1.1140089124
74.2019999999 0.9486854879 1.1992814821 0.9488847242 1.1140089124
74.4019999999 0.9486903850 1.2023939242 0.9488847242 1.1140089124
74.6019999999 0.9486959504 1.2055772333 0.9488847242 1.1140089124
74.8019999999 0.9487005915 1.2088175954 0.9488847242 1.1140089124
75.0019999999 0.9487041552 1.2121011461 0.9488847242 1.1140089124
75.2019999999 0.9487081081 1.2154142019 0.9488847242 1.1140089124
75.4019999999 0.9487134800 1.2187431841 0.9488847242 1.1140089124
75.6019999999 0.9487194133 1.2220745226 0.9488847242 1.1140089124
75.8019999999 0.9487243232 1.2253949055 0.9488847242 1.1140089124
76.0019999999 0.9487280645 1.2286917391 0.9488847242 1.1140089124
76.2019999999 0.9487321109 1.2319532960 0.9488847242 1.1140089124
76.4019999999 0.9487374994 1.2351684115 0.9488847242 1.1140089124
76.6019999999 0.9487433790 1.2383262110 0.9488847242 1.1140089124
76.8019999999 0.9487481714 1.2414163212 0.9488847242 1.1140089124
77.0019999999 0.9487517371 1.2444293356 0.9488847242 1.1140089124
77.2019999999 0.9487555559 1.2473568880 0.9488847242 1.1140089124
77.4019999999 0.9487606699 1.2501911931 0.9488847242 1.1140089124
77.6019999999 0.9487662334 1.2529246532 0.9488847242 1.1140089124
77.8019999999 0.9487706726 1.2555500597 0.9488847242 1.1140089124
78.0019999999 0.9487738526 1.2580611025 0.9488847242 1.1140089124
78.2019999999 0.9487772573 1.2604524306 0.9488847242 1.1140089124
78.4019999999 0.9487819328 1.2627191070 0.9488847242 1.1140089124
78.6019999999 0.9487870369 1.2648561475 0.9488847242 1.1140089124
78.8019999999 0.9487909992 1.2668587556 0.9488847242 1.1140089124
79.0019999999 0.9487936878 1.2687229143 0.9488847242 1.1140089124
79.2019999999 0.9487965896 1.2704454714 0.9488847242 1.1140089124
79.4019999999 0.9488007534 1.2720235340 0.9488847242 1.1140089124
