t,phi_model_real,phi_model_imag,phi_model_abs
30.17,-4.18217862488206e-05,-5.5409285558249895e-05,6.942082346902635e-05
30.18,-3.65488545364283e-05,-5.508656097509623e-05,6.610860736687766e-05
30.19,-3.1608509453418436e-05,-5.4503486859727145e-05,6.30057771139702e-05
30.2,-2.6990427770154735e-05,-5.369376287557502e-05,6.009578490172516e-05
30.21,-2.2683618719089817e-05,-5.2688045280088734e-05,5.736354830055166e-05
30.22,-1.8676599010225115e-05,-5.151418208273423e-05,5.479531281270176e-05
30.23,-1.4957543358986022e-05,-5.019743217605936e-05,5.237852900193004e-05
30.24,-1.1514413517212783e-05,-4.876066932564472e-05,5.0101742402138504e-05
30.25,-8.33506844558082e-06,-4.722457188509653e-05,4.795449463525986e-05
30.26,-5.407357955003932e-06,-4.5607799077127186e-05,4.5927234368217165e-05
30.27,-2.719201869958495e-06,-4.392715465236753e-05,4.401123691357243e-05
30.28,-2.586565243661157e-07,-4.219773870546697e-05,4.2198531432414356e-05
30.29,1.9860298137697723e-06,-4.0433088394176457e-05,4.0481834833817365e-05
30.3,4.026371182114189e-06,-3.8645308272281495e-05,3.885449158534735e-05
30.31,5.873606588757305e-06,-3.684519091223113e-05,3.731041875560033e-05
30.32,7.538670010759267e-06,-3.5042328458494026e-05,3.584405570417641e-05
30.33,9.03216676602981e-06,-3.324521571851446e-05,3.445031791812572e-05
30.34,1.0364355413769713e-05,-3.146134536497619e-05,3.312455456783149e-05
30.35,1.1545134440715002e-05,-2.969729579088416e-05,3.1862509420091974e-05
30.36,1.2584033080436336e-05,-2.7958812128183105e-05,3.066028480279586e-05
30.37,1.349020569224823e-05,-2.6250880910935916e-05,2.951430836423761e-05
30.38,1.4272429195988154e-05,-2.457779883583505e-05,2.8421302411558653e-05
30.39,1.493910312033147e-05,-2.294323604568236e-05,2.7378255647279575e-05
30.4,1.5498251876056914e-05,-2.1350294335624918e-05,2.6382397150970174e-05
30.41,1.595752891295277e-05,-1.980156065721266e-05,2.5431172475310612e-05
30.42,1.6324222460454126e-05,-1.829915627166595e-05,2.4522221742600044e-05
30.43,1.660526258839807e-05,-1.6844781881102e-05,2.3653359639838792e-05
30.44,1.680722935620175e-05,-1.5439759044837278e-05,2.2822557218563486e-05
30.45,1.6936361846714313e-05,-1.4085068167098212e-05,2.2027925410138914e-05
30.46,1.69985679057135e-05,-1.2781383322713403e-05,2.1267700169207045e-05
30.47,1.6999434429767914e-05,-1.1529104168384512e-05,2.054022915786092e-05
30.48,1.6944238064517226e-05,-1.0328385169169972e-05,1.984395988178178e-05
30.49,1.6837956192540662e-05,-9.1791623526912e-06,1.917742918743234e-05
30.5,1.668527810537148e-05,-8.08117778740162e-06,1.853925402720353e-05
30.51,1.649061626788129e-05,-7.034001966036454e-06,1.792812339740877e-05
30.52,1.6258117595623854e-05,-6.0370542610631024e-06,1.7342791352725032e-05
30.53,1.5991674676823384e-05,-5.0896216056048974e-06,1.678207100025484e-05
30.54,1.5694936880701985e-05,-4.190875540971152e-06,1.6244829377039623e-05
30.55,1.5371321302863048e-05,-3.3398877603972407e-06,1.5729983116580343e-05
30.56,1.5024023506583961e-05,-2.5356442681229527e-06,1.5236494812812172e-05
30.57,1.4656028026177216e-05,-1.7770582632125091e-06,1.4763369993837582e-05
30.58,1.4270118605111662e-05,-1.0629818487145666e-06,1.430965462247956e-05
30.59,1.3868888147404749e-05,-3.9221665870232055e-07,1.3874433046167598e-05
30.6,1.3454748365991352e-05,2.364765115853844e-07,1.3456826324682896e-05
30.61,1.3029939116257624e-05,8.243689939059643e-07,1.3055990870535031e-05
