s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
1.3310961148877364e+01,1.2503523633121989e+00,-1.0077471754591871e+00,6.3810999133546198e-01,6.2505434949876126e-01,-6.5994776740554750e-01,-6.1632666924831758e+00,-6.1402641784342782e+00
1.3325136826352207e+01,1.2522074401213383e+00,-9.9437298404659258e-01,6.3379295753293707e-01,6.1711171164704415e-01,-6.7722841355430230e-01,-6.1726218991841586e+00,-6.1493170494039946e+00
1.3339312503827051e+01,1.2539789063848392e+00,-9.8101531054032698e-01,6.2939046612718375e-01,6.0971429497780150e-01,-6.8141492669302184e-01,-6.1822220707515037e+00,-6.1590787916358041e+00
1.3353488181301893e+01,1.2556677628249555e+00,-9.6767536661870979e-01,6.2490248003587334e-01,6.0719154590924529e-01,-6.8474013355312502e-01,-6.1918815889788483e+00,-6.1688841775200123e+00
1.3367663858776735e+01,1.2572643386387181e+00,-9.5435702042486514e-01,6.2031761592091073e-01,6.0458421100562298e-01,-7.0651433025038379e-01,-6.2015882442661781e+00,-6.1788136096057373e+00
1.3381839536251579e+01,1.2587801590409309e+00,-9.4105917920059889e-01,6.1564671850518959e-01,6.1272910434440442e-01,-7.1521224476681411e-01,-6.2116035635431626e+00,-6.1889902534962333e+00
1.3396015213726422e+01,1.2602167099813484e+00,-9.2778291146111780e-01,6.1089021867990734e-01,6.1120834597382012e-01,-7.2474759111168907e-01,-6.2217421816510345e+00,-6.1986899372171651e+00
1.3410190891201264e+01,1.2615751158933464e+00,-9.1452935822816894e-01,6.0604815776200016e-01,5.9706637680218222e-01,-7.3659654938904573e-01,-6.2320159697533031e+00,-6.2091155088043459e+00
1.3424366568676106e+01,1.2628565278938746e+00,-9.0129964127584516e-01,6.0112059574699850e-01,5.9366493765585049e-01,-7.3699732715597288e-01,-6.2424577248665241e+00,-6.2196276781709185e+00
1.3438542246150950e+01,1.2640523443164684e+00,-8.8809827514331852e-01,5.9609642650754480e-01,5.9328015173743576e-01,-7.5730687278803976e-01,-6.2529051612761082e+00,-6.2302540239226660e+00
1.3452717923625793e+01,1.2651726135467645e+00,-8.7492361578217381e-01,5.9098555204889769e-01,5.9979970355855483e-01,-7.6819957690303653e-01,-6.2636404992542332e+00,-6.2411568646473929e+00
1.3466893601100635e+01,1.2662197350364655e+00,-8.6177633367250994e-01,5.8578940550366088e-01,5.9649263776972261e-01,-7.7827084416120251e-01,-6.2745302486927219e+00,-6.2517565241225794e+00
1.3481069278575477e+01,1.2671949751932881e+00,-8.4865746061229830e-01,5.8050813277700364e-01,5.8225283299270547e-01,-7.8836596076431387e-01,-6.2855627651676249e+00,-6.2629695781075183e+00
1.3495244956050321e+01,1.2680973133944355e+00,-8.3556902466797911e-01,5.7513906671946202e-01,5.7749729325540478e-01,-8.0089892388276995e-01,-6.2967383867595643e+00,-6.2741863929656967e+00
1.3509420633525163e+01,1.2689222234448538e+00,-8.2251483901237255e-01,5.6967500084012435e-01,5.8461136582897222e-01,-8.0952559413797043e-01,-6.3080916715944753e+00,-6.2856112798986965e+00
1.3523596311000006e+01,1.2696794836394802e+00,-8.0949229989169003e-01,5.6412633493933617e-01,5.8275679350806953e-01,-8.3088185583161012e-01,-6.3195672453246061e+00,-6.2971571386805509e+00
1.3537771988474850e+01,1.2703704661910780e+00,-7.9650233357119249e-01,5.5849330645198869e-01,5.7622175820503996e-01,-8.3289884582432427e-01,-6.3313455585325737e+00,-6.3089411614988480e+00
