Monopole batch summary
======================
Generated (UTC): 2026-04-07T17:59:22Z
Root: C:\workspace\projects\SSTcore\sstcore\resources\knotplot
Command: test_monopole_from_fseries.py --batch . --n-curve 4000 --grid 96 --tube-radius 0.06 --padding 0.6 --alpha 1.0 --beta 1.0

Run parameters
--------------
n_curve=4000 grid_n=96 tube_radius=0.06 padding=0.6 alpha=1.0 beta=1.0

Aggregate
---------
Total .fseries files: 45
Succeeded: 45
Failed: 0
Mixed 'plausible monopole candidate' (heuristic): 45 / 45
Pure tensor monopole suppressed (heuristic): 45 / 45

Per-knot (tab-separated)
------------------------
ok	relpath	stem	error	header_L	n_harmonics	curve_length	bbox_diag	Q_tensor	Q_mix	tensor_norm_dipole	tensor_norm_quad	mix_norm_dipole	mix_norm_quad	mix_plausible	tensor_monopole_suppressed	scalar_mass
1	knot_8.1\knot_8.1.fseries	knot_8.1			100	1.19284750058167049e+02	2.44020464909225474e+01	-7.51223676193476526e-09	1.04049602901753575e+08	1.50249789767879310e-01	2.20254446188232178e+12	7.04756600041585909e-03	1.74889267617139681e-02	1	1	1.04049602901753575e+08
1	knot_8.17\knot_8.17.fseries	knot_8.17			100	1.06050801094389868e+02	1.91435158490586339e+01	-1.08074939000921933e-09	8.91526603885578662e+07	9.43485149467998774e-01	2.11681277510998516e+13	5.10675620992714213e-03	1.28626674258610161e-02	1	1	8.91526603885578811e+07
1	knot_8.18\knot_8.18.fseries	knot_8.18			100	1.21848027330731384e+02	1.87950246159226033e+01	1.66643301293430201e-09	1.01619112415148497e+08	7.66136079753795607e-01	3.77133858990797900e+12	2.49676055922771860e-03	1.02125346047013763e-02	1	1	1.01619112415148512e+08
1	knot_8.2.1\knot_8.2.1.fseries	knot_8.2.1			100	1.48394171031118674e+02	2.68146523615814374e+01	1.19692366100304852e-08	1.19412032297497302e+08	2.13722369929921135e-01	3.16284362806544775e+12	9.46372923619094066e-03	2.69472114689799230e-02	1	1	1.19412032297497332e+08
1	knot_9.1\knot_9.1.fseries	knot_9.1			100	1.27186581082327805e+02	2.35725332299041774e+01	1.65867393662754597e-09	1.01502757005453080e+08	1.30299179013068112e+00	5.55191772312149316e+12	3.78116892397480217e-03	2.34684941905819837e-02	1	1	1.01502757005453080e+08
1	knot_9.2\knot_9.2.fseries	knot_9.2			100	1.34540912945909554e+02	2.49153599838910864e+01	9.52722497759225670e-09	9.34317285305662602e+07	4.49424781067179091e-01	3.68906144342409082e+12	6.32513033680034455e-03	3.32472104012353845e-02	1	1	9.34317285305662602e+07
1	knot_9.2.20\knot_9.2.20.fseries	knot_9.2.20			100	1.37777523452258890e+02	2.36065526648518826e+01	5.33530342078823354e-09	1.12888063399526194e+08	8.64848029523688000e-01	9.23095254880959766e+12	3.99087668624701492e-03	2.51392587681909946e-02	1	1	1.12888063399526194e+08
1	knot_9.2.40\knot_9.2.40.fseries	knot_9.2.40			100	1.56219949378597533e+02	2.46164297678176816e+01	-9.56311036004939388e-10	1.27837277675049305e+08	2.59638552276686374e+00	4.03442769998241406e+13	9.22793924754797962e-03	1.99806872620208048e-02	1	1	1.27837277675049320e+08
1	knot_9.35\knot_9.35.fseries	knot_9.35			100	1.57493597650249029e+02	2.93518863793214635e+01	6.13601212233257542e-09	1.22269122084834814e+08	5.65290453369542978e-01	6.45123384757897266e+12	8.43644028259849139e-03	1.25475831128252901e-02	1	1	1.22269122084834814e+08
1	knot_T2.3\knot_T2.3.fseries	knot_T2.3			100	3.41537759148625639e+01	8.95084829348680344e+00	-2.34159868704725929e-09	2.86093324346177578e+07	2.81774893548973948e-01	3.16255641371462227e+13	5.76319410539944592e-05	2.40698588167732423e-02	1	1	2.86093324346177578e+07
1	knot_T2.5\knot_T2.5.fseries	knot_T2.5			100	4.77583898491130867e+01	1.09503530798845663e+01	-2.85854877339856411e-09	4.00477355746445283e+07	3.48930406216257705e-01	2.34714549575730547e+13	1.14593664943053871e-04	2.79754123886367216e-02	1	1	4.00477355746445283e+07
1	knot_T2.7\knot_T2.7.fseries	knot_T2.7			100	6.09638122761277543e+01	1.29922728921437116e+01	6.34710631365750452e-10	5.13244455613606647e+07	2.65437854125102701e+00	1.02970824768024797e+14	1.17051996919438845e-03	3.00386987811731808e-02	1	1	5.13244455613606572e+07
1	knot_TL2.4\knot_TL2.4.fseries	knot_TL2.4			100	8.46311845691398332e+01	1.80243057316270345e+01	2.64262840281340619e-09	7.36775952184084058e+07	1.08460440562626381e+00	3.73656278149522266e+13	7.92607589852169919e-03	2.48640036300072712e-02	1	1	7.36775952184084058e+07
1	knot_TL2.6\knot_TL2.6.fseries	knot_TL2.6			100	1.01921350686532577e+02	1.93369769003550331e+01	2.91897669374800925e-09	8.14661468869848549e+07	3.93117939496977986e-01	2.43688809841498477e+13	6.58638648460352794e-03	3.40757438866630818e-02	1	1	8.14661468869848847e+07
1	knot_TL2.8\knot_TL2.8.fseries	knot_TL2.8			100	1.21601033555623616e+02	2.30556191812558353e+01	-2.76233154215544092e-09	1.10286221582215205e+08	3.79285553200113923e-01	2.22234502632536289e+13	1.47707960777700804e-03	3.31357881174039262e-02	1	1	1.10286221582215205e+08
1	knot_TL3.3_Gear\knot_TL3.3_Gear.fseries	knot_TL3.3_Gear			100	1.30199431847812122e+02	2.03098985220158710e+01	3.42576233055827930e-09	1.06939852360385731e+08	2.96852939341067212e-01	2.98278356307362734e+13	1.27971503135033493e-03	1.81961173922496194e-02	1	1	1.06939852360385716e+08
1	knot_TL3.6\knot_TL3.6.fseries	knot_TL3.6			100	1.70356183404097465e+02	2.44098596825897189e+01	-4.29348569984095643e-09	1.42910678891006529e+08	1.90644106207157438e-01	1.72707011978048789e+13	2.86903192294688924e-03	2.07684710192154315e-02	1	1	1.42910678891006529e+08
1	knot_TL3.9\knot_TL3.9.fseries	knot_TL3.9			100	2.22719118049267564e+02	2.83339444051920282e+01	1.62236228407652762e-08	1.92943045954979271e+08	1.08542336733017178e-01	3.45883007664547754e+12	1.27581084524347414e-02	2.71577952102393626e-02	1	1	1.92943045954979271e+08
1	knot_TL6.15\knot_TL6.15.fseries	knot_TL6.15			100	3.56256145595785142e+02	2.82681815739320470e+01	-1.37067464451798558e-08	3.14864689581133783e+08	3.18829059071954968e-01	2.66908124704773779e+12	3.15907636005192255e-03	1.60418954879224841e-02	1	1	3.14864689581133723e+08
1	knot_TL6.9\knot_TL6.9.fseries	knot_TL6.9			100	2.37200670072006460e+02	2.31719275412987322e+01	-1.67286758010309347e-08	1.98886870389182270e+08	1.60403895449253125e-01	2.71662783923681494e+12	2.95368195462583161e-03	1.61342284631426462e-02	1	1	1.98886870389182270e+08
