knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
6_1,0_1,43,1.9800306136297898,1.9636980534234194,0.016332560206370417,0.008166280103185208
6_1,0_1,44,1.9901850236156766,1.9738629720399186,0.016322051575758056,0.008161025787879028
6_1,0_1,45,2.0002843133440984,1.9840173902692249,0.01626692307487354,0.00813346153743677
6_1,0_1,46,2.0103833535230216,1.9941167082204128,0.016266645302608795,0.008133322651304398
6_1,0_1,47,2.020430410976435,2.004215776694281,0.01621463428215364,0.00810731714107682
6_1,0_1,48,2.030280270587205,2.0142628397803883,0.016017430806816613,0.008008715403408306
6_1,0_1,49,2.040072669835256,2.024112699976558,0.015959969858697853,0.007979984929348927
6_1,0_1,50,2.0498020865375755,2.0339050655366395,0.01589702100093593,0.007948510500467965
6_1,0_1,51,2.058612834991221,2.043634489709145,0.014978345282075978,0.007489172641037989
6_1,0_1,52,2.0662927106700746,2.051314368783653,0.014978341886421553,0.007489170943210777
6_1,0_1,53,2.073942719219786,2.0589643797001993,0.014978339519586825,0.007489169759793413
6_1,0_1,54,2.0814926009937067,2.066514261409714,0.01497833958399264,0.00748916979199632
6_1,0_1,55,2.0889835773978973,2.0740052392957877,0.014978338102109579,0.007489169051054789
6_1,0_1,56,2.0964714158967124,2.081493079827149,0.014978336069563447,0.0074891680347817235
6_1,0_1,57,2.103816494009601,2.0888381568644085,0.014978337145192366,0.007489168572596183
6_1,0_1,58,2.110961510435436,2.0959831733997483,0.014978337035687517,0.007489168517843758
6_1,0_1,59,2.118058282076438,2.103079943471725,0.014978338604713315,0.0074891693023566575
6_1,0_1,60,2.124872154788695,2.1098938761247585,0.014978278663936528,0.007489139331968264
6_1,0_1,61,2.1316819205645734,2.116707206557912,0.014974714006661394,0.007487357003330697
6_1,0_1,62,2.1384391381711905,2.1235204358440427,0.01491870232714776,0.00745935116357388
6_1,0_1,63,2.145127922148622,2.1303301538551125,0.014797768293509428,0.007398884146754714
6_1,0_1,64,2.1518040478667015,2.1370873691767343,0.014716678689967289,0.007358339344983644
6_1,0_1,65,2.158416506002861,2.1437761486360527,0.014640357366808132,0.007320178683404066
6_1,0_1,66,2.164933692338725,2.1503886478250234,0.014545044513701644,0.007272522256850822
6_1,0_1,67,2.171403995377957,2.156905842653537,0.014498152724420343,0.007249076362210172
6_1,0_1,68,2.177267799992476,2.163376152029718,0.01389164796275777,0.006945823981378885
6_1,0_1,69,2.1831176188752144,2.1692399571889753,0.013877661686239051,0.006938830843119526
6_1,0_1,70,2.188928306463539,2.175089777630857,0.013838528832682329,0.006919264416341164
6_1,0_1,71,2.1944476080262842,2.180900467093561,0.013547140932723245,0.0067735704663616225
6_1,0_1,72,2.1999662113802043,2.186419769069638,0.013546442310566231,0.006773221155283116
6_1,0_1,73,2.2053172869071833,2.191938372934615,0.013378913972568185,0.0066894569862840925
6_1,0_1,74,2.210600842292571,2.1972894481921585,0.013311394100412599,0.0066556970502062995
6_1,0_1,75,2.215772363229435,2.202573004396698,0.01319935883273704,0.00659967941636852
6_1,0_1,76,2.2208467708112543,2.207744526403932,0.013102244407322328,0.006551122203661164
6_1,0_1,77,2.2259054309898625,2.212818933511177,0.013086497478685288,0.006543248739342644
6_1,0_1,78,2.2307367552909425,2.2178775950340923,0.012859160256850188,0.006429580128425094
6_1,0_1,79,2.235519707383071,2.2227089237605475,0.012810783622523303,0.0064053918112616515
6_1,0_1,80,2.2402366453188076,2.2274918760117273,0.01274476930708035,0.006372384653540175
6_1,0_1,81,2.2446786282741935,2.2322088146195043,0.012469813654689244,0.006234906827344622
6_1,0_1,82,2.2490840181971983,2.2366507986517594,0.012433219545438856,0.006216609772719428
6_1,0_1,83,2.2531046837175395,2.241056188571761,0.01204849514577866,0.00602424757288933
6_1,0_1,84,2.2570989727704074,2.2450768540870616,0.012022118683345795,0.0060110593416728975
6_1,0_1,85,2.2610461294692823,2.2490711410010245,0.011974988468257841,0.005987494234128921
6_1,0_1,86,2.264830965453842,2.2530182977503315,0.011812667703510638,0.005906333851755319
6_1,0_1,87,2.268588343578206,2.2568031151404124,0.011785228437793727,0.005892614218896863
6_1,0_1,88,2.2722965634669365,2.2605113360648263,0.011785227402110188,0.005892613701055094
6_1,0_1,89,2.2759588129908166,2.264211958771773,0.011746854219043534,0.005873427109521767
6_1,0_1,90,2.2795541503554335,2.2679125812558407,0.011641569099592797,0.005820784549796398
6_1,0_1,91,2.2830943577049707,2.271574830441267,0.011519527263703644,0.005759763631851822
6_1,0_1,92,2.286602485842196,2.275170166456507,0.011432319385689116,0.005716159692844558
6_1,0_1,93,2.2900573354263143,2.2786783051459167,0.01137903028039755,0.005689515140198775
6_1,0_1,94,2.2935083816648802,2.2821331567853833,0.011375224879496937,0.005687612439748468
6_1,0_1,95,2.2968313076818583,2.2855842034138867,0.011247104267971597,0.0056235521339857986
6_1,0_1,96,2.299987222870456,2.2889071340214024,0.011080088849053649,0.005540044424526824
6_1,0_1,97,2.303109660700232,2.2920630506612154,0.011046610039016524,0.005523305019508262
6_1,0_1,98,2.306052592957972,2.2951854882378115,0.010867104720160281,0.0054335523600801405
6_1,0_1,99,2.308932320860794,2.2981284204440176,0.010803900416776369,0.005401950208388184
6_1,0_1,100,2.311545205902174,2.301008148085325,0.010537057816849327,0.005268528908424663
6_1,0_1,101,2.314152761242494,2.303621032873951,0.010531728368543103,0.0052658641842715515
6_1,0_1,102,2.3167412101922094,2.306228587331007,0.01051262286120247,0.005256311430601235
6_1,0_1,103,2.3192513382193627,2.3087098123988383,0.010541525820524367,0.005270762910262183
6_1,0_1,104,2.3216173018780752,2.311026530454897,0.010590771423178325,0.005295385711589162
6_1,0_1,105,2.323431751134684,2.313343246052292,0.010088505082392007,0.005044252541196004
6_1,0_1,106,2.325135219567131,2.3154612249001647,0.00967399466696639,0.004836997333483195
6_1,0_1,107,2.326773999890126,2.3171256100133846,0.009648389876741437,0.004824194938370718
6_1,0_1,108,2.3283438281612954,2.318789994293363,0.009553833867932404,0.004776916933966202
6_1,0_1,109,2.3297139478135196,2.320372210241189,0.00934173757233081,0.004670868786165405
6_1,0_1,110,2.3309854283795626,2.321954426188512,0.009031002191050685,0.004515501095525343
6_1,0_1,111,2.332195403444957,2.3234514171802023,0.0087439862647547,0.00437199313237735
6_1,0_1,112,2.3333873869686803,2.3249484081656955,0.008438978802984831,0.004219489401492416
6_1,0_1,113,2.3345488670968133,2.32611437496216,0.008434492134653304,0.004217246067326652
6_1,0_1,114,2.3356764570205373,2.327280341709814,0.008396115310723484,0.004198057655361742
6_1,0_1,115,2.3367521805358202,2.3284210128487346,0.008331167687085639,0.004165583843542819
6_1,0_1,116,2.337816265764347,2.3295616839875604,0.008254581776786729,0.0041272908883933646
6_1,0_1,117,2.3388600629892267,2.33066610611887,0.008193956870356622,0.004096978435178311
6_1,0_1,118,2.339795552965425,2.331770528249903,0.008025024715522022,0.004012512357761011
6_1,0_1,119,2.340658999047355,2.3326388031366845,0.008020195910670491,0.004010097955335246
6_1,0_1,120,2.3410404419725865,2.333507078018356,0.007533363954230321,0.0037666819771151605
6_1,0_1,121,2.3414101117715065,2.3343607002399236,0.007049411531582894,0.003524705765791447
6_1,0_1,122,2.3417764296682373,2.3352143224614554,0.006562107206781853,0.0032810536033909266
6_1,0_1,123,2.342126265545256,2.336051115276011,0.0060751502692451,0.00303757513462255
6_1,0_1,124,2.3424657992973317,2.336887908090296,0.00557789120703589,0.002788945603517945
6_1,0_1,125,2.3428038458776124,2.3375603723489333,0.0052434735286790435,0.0026217367643395217
6_1,0_1,126,2.343133737229598,2.33823283629648,0.004900900933118013,0.0024504504665590066
6_1,0_1,127,2.3434537495927996,2.3388921565928213,0.00456159299997827,0.002280796499989135
6_1,0_1,128,2.34376931653021,2.339551475087521,0.0042178414426889965,0.0021089207213444983
6_1,0_1,129,2.344081854229937,2.3402019687530875,0.003879885476849587,0.0019399427384247936
6_1,0_1,130,2.3443923908603423,2.3408524617154716,0.0035399291448707793,0.0017699645724353896
6_1,0_1,131,2.344696282824562,2.341386067634774,0.003310215189787691,0.0016551075948938454
6_1,0_1,132,2.3449978036234564,2.341919673554009,0.003078130069447571,0.0015390650347237855
6_1,0_1,133,2.345291832380515,2.342446980047124,0.002844852333391046,0.001422426166695523
6_1,0_1,134,2.345580642013833,2.342974286540202,0.0026063554736310834,0.0013031777368155417
6_1,0_1,135,2.345867331069394,2.343489855025367,0.0023774760440269382,0.0011887380220134691
6_1,0_1,136,2.3461463161752483,2.344005423510522,0.0021408926647263904,0.0010704463323631952
6_1,0_1,137,2.3464213980071134,2.34444693326408,0.0019744647430335327,0.0009872323715167663
6_1,0_1,138,2.3466831246134494,2.3448884430176347,0.001794681595814751,0.0008973407979073755
6_1,0_1,139,2.34694235486187,2.345318969856006,0.0016233850058640087,0.0008116925029320043
6_1,0_1,140,2.347191529070324,2.3457494966943586,0.0014420323759654075,0.0007210161879827037
6_1,0_1,141,2.3474394195241817,2.346163738037357,0.0012756814868248867,0.0006378407434124433
6_1,0_1,142,2.3476802344009466,2.346577979380339,0.0011022550206076787,0.0005511275103038393
6_1,0_1,143,2.3479152535350396,2.3469710874941385,0.0009441660409010844,0.0004720830204505422
6_1,0_1,144,2.348142597560945,2.3473641956079345,0.000778401953010377,0.0003892009765051885
6_1,0_1,145,2.348366258297515,2.347741664724833,0.000624593572681853,0.0003122967863409265
6_1,0_1,146,2.348587388709607,2.3480940183568175,0.0004933703527894018,0.0002466851763947009
6_1,0_1,147,2.3488042066807697,2.3484463719887976,0.00035783469197214757,0.00017891734598607378
6_1,0_1,148,2.349019268045636,2.3487828843470795,0.00023638369855660812,0.00011819184927830406
6_1,0_1,149,2.3492316310629215,2.349119396705337,0.0001122343575845619,5.611717879228095e-05
6_1,0_1,150,2.3494422813618057,2.3494125234963095,2.9757865496193858e-05,1.4878932748096929e-05
6_1,0_1,151,2.349648795337746,2.3497056498628353,-5.685452508918942e-05,-2.842726254459471e-05
6_1,0_1,152,2.3498541501332872,2.349982401846097,-0.00012825171280983483,-6.412585640491741e-05
6_1,0_1,153,2.3500578817131026,2.3502591536814195,-0.000201271968316874,-0.000100635984158437
6_1,0_1,154,2.350258870378815,2.350508605205791,-0.0002497348269758781,-0.00012486741348793906
6_1,0_1,155,2.350455168848899,2.3507580567301605,-0.00030288788126142663,-0.00015144394063071331
