tau,D,pass_Np4_cutoff_gate,N_p_from_retained_constraints,status
0.8999999999999999,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
1.2499999999999998,0.14375,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.2499999999999998,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
1.5999999999999999,0.14375,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
1.5999999999999999,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.5999999999999999,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
1.95,0.14375,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
1.95,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
1.95,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
2.3,0.14375,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
2.3,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.3,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
2.65,0.14375,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
2.65,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
2.65,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.05,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
3.0,0.14375,True,4,DYNAMICALLY_CONSISTENT_WITH_NP4
3.0,0.2375,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.33125,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.425,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.51875,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.6125,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.70625,False,1,NOT_A_CLEAN_NP4_CUTOFF
3.0,0.8,False,1,NOT_A_CLEAN_NP4_CUTOFF
