knot,base,a32,a48,a64,Delta,VolH,GeomType,Band,SST_Candidate,SST_Reason,VAM6,SM_Candidate,Category,T_pq,c,b,g,u,Dark,FSG
8_2d,8_2,-0.381223,-0.409301,-0.441309,-0.032007,3.16396,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_3d,8_3,-0.554378,-0.518134,-0.471877,0.046257,5.33349,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; Z4; I8; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_3z,8_3,-0.500000,-0.500000,-0.500000,0.0,5.33349,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; I8; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_4d,8_4,-0.624136,-0.488340,-0.516994,-0.028654,5.13794,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_5,8_5,-1.994310,-2.252137,-2.501424,-0.249287,6.99719,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_6,8_6,-0.469889,-0.485620,-0.498181,-0.012561,7.47524,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_6p,8_6,-0.456347,-0.466841,-0.492933,-0.026092,7.47524,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_7d,8_7,-0.548491,-0.735069,-0.616031,0.119037,7.0222,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_7s,8_7,-0.527364,-0.532449,-0.505605,0.026844,7.0222,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_8d,8_8,-0.591025,-0.620066,-0.520086,0.099980,7.80134,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,b / b̄ (bottom),SM,,,,,no,
8_9d,8_9,-0.513424,-0.714405,-0.440887,0.273519,7.58818,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; I4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_10s,8_10,-0.551529,-0.517747,-0.509022,0.008725,6.44354,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D2(r); FSG D2; (no period-2 anomaly),,Unclassified,,,,,no,D2
8_11,8_11,-0.419160,-0.461399,-0.474832,-0.013433,8.28632,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_11d,8_11,-0.427567,-0.396516,-0.460941,-0.064426,8.28632,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_12d,8_12,-0.327567,-0.531939,-0.527638,0.004301,8.93586,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; Z4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_12z,8_12,-0.500000,-0.500000,-0.500000,0.0,8.93586,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; Z4; reversible; amphichiral; period 2; FSG D8,,Dark (amphi),,,,,yes+,D8
8_13d,8_13,-0.423073,-0.503803,-0.484029,0.019774,8.53123,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_13p,8_13,-0.534581,-0.517528,-0.519266,-0.001738,8.53123,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_14d,8_14,-0.412020,-0.416949,-0.567701,-0.150752,9.2178,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_14r,8_14,-0.434127,-0.485016,-0.499880,-0.014864,9.2178,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15,8_15,-0.378069,-0.468248,-0.491124,-0.022876,9.93065,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15d,8_15,-0.278169,-0.413331,-0.423076,-0.009745,9.93065,hyperbolic,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_15p,8_15,-0.444321,-0.435170,-0.484628,-0.049458,9.93065,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_16,8_16,-0.525059,-0.469194,-0.489690,-0.020496,10.579,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D2
8_17,8_17,-0.501981,-0.502037,-0.500398,0.001640,10.9859,hyperbolic,Achiral,Bosonic envelope,Achiral across refinements,D4; reversible; period 2; FSG D4,,Unclassified,,,,,yes--,D2
8_18,8_18,-0.408240,-0.474055,-0.512552,-0.038497,12.3509,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D8; Z8; reversible; amphichiral; periods 2,4; FSG D16",t / t̄ (top),SM,,,,,yes+,D16
8_18z,8_18,-0.539419,-0.542692,-0.510501,0.032191,12.3509,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D8; Z8; reversible; amphichiral; periods 2,4; FSG D16",t / t̄ (top),SM,,,,,yes+,D16
8_19t,8_19,-0.485857,-0.494466,-0.497595,-0.003129,0.0,torus/Seifert,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D6,D8; reversible; periods 2,3,4; FSG Z2",Bosonic envelope,Bosonic envelope,T(3,4),8,3,3,3,no,Z2
8_19u,8_19,-0.495488,-0.500443,-0.499322,0.001121,0.0,torus/Seifert,Lepton-band,Lepton-like,Near-achiral chiral offset,"D4,D6,D8; reversible; periods 2,3,4; FSG Z2",Bosonic envelope,Bosonic envelope,T(3,4),8,3,3,3,no,Z2
8_20r,8_20,-0.461863,-0.527689,-0.512996,0.014693,11.396,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D2(r); FSG D2; (no period-2 anomaly),,Unclassified,,,,,no,D2
8_21d,8_21,-0.403234,-0.411866,-0.482348,-0.070482,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_21p,8_21,-0.402733,-0.456887,-0.499161,-0.042274,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
8_21r,8_21,-0.487109,-0.461653,-0.490231,-0.028578,11.465,hyperbolic,Lepton-band,Lepton-like,Near-achiral chiral offset,D4; reversible; period 2; FSG D4,,Unclassified,,,,,no,D4
12a_1202,12a_1202,-0.690660,-0.483627,-0.439594,0.044033,,unknown/12-crossing,Quarklike,Quark (hyperbolic),Strong chirality; volume needed for up/down split,"Z2,Z6; reversible; amphichiral; FSG D12",,Dark (amphi),,,,,yes+,D12
12a_1202z6,12a_1202z6,-0.500000,-0.500000,-0.500000,0.0,,unknown/12-crossing,Achiral,Bosonic envelope,Achiral across refinements,,,,Dark (amphi),,,,,
15331,15331,-0.500000,-0.500000,-0.500000,0.0,,unknown/12-crossing,Achiral,Bosonic envelope,Achiral across refinements,Z2; amphichiral; (exceptional),,Dark (amphi),,,,yes--,
