curve,source_type,geometry_quality,torus_status,p,q,pq,target_pq_plus_1_abs,model_id,parity,connection,attachment,chirality,center_turns,allowed_n,selected_n_core,min_energy,sl_phys_abs,exact_pq_plus_1,fr_gate,local_identity,global_attachment,energy_gate_ct_positive,attachment_open_load_bearing,status
"analytic:T(2,7)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,7,14,15,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,1.08085160918,"-5,-3,-1,1,3,5",1,0.00653698270673,15,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,18,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"19,19",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,19,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,19,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,21,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,21,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.12,"-5,-3,-1,1,3,5",1,0.0144,19,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
"analytic:T(2,9)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,9,18,19,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.9830543174,"-5,-3,-1,1,3,5",1,0.000287156158777,19,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,22,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"23,23",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,23,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,23,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,25,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,25,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.16,"-5,-3,-1,1,3,5",1,0.0256,23,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
"analytic:T(2,11)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,11,22,23,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.942607506864,"-5,-3,-1,1,3,5",1,0.00329389826832,23,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,0.98,"-5,-3,-1,1,3,5",1,0.0004,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
"analytic:T(3,2)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,2,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.967040320193,"-5,-3,-1,1,3,5",1,0.00108634049296,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,12,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"13,13",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,13,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,13,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,15,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,15,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1.02,"-5,-3,-1,1,3,5",1,0.0004,13,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
"analytic:T(3,4)",analytic,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,3,4,12,13,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.906866385005,"-5,-3,-1,1,3,5",1,0.00867387024195,13,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
ideal:3:1:1,ideal,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.959294312249,"-5,-3,-1,1,3,5",1,0.00165695301529,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A4_CANON_ATTACHED_ANTIMATTER,odd,canon_core_cycle,global,antimatter,-1,"-5,-3,-1,1,3,5",-1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_MIRROR_SECTOR
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A5_PASSIVE_TRANSIT_NONE,none,passive_transit,passive_transit,unsigned,2.501,"-5,-4,-3,-2,-1,0,1,2,3,4,5",3,0.249001,9,NO,OFF,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A6_PASSIVE_TRANSIT_FR_ODD,odd,passive_transit,passive_transit,unsigned,2.501,"-5,-3,-1,1,3,5",3,0.249001,9,NO,PASS,NO,NO,PASS,,PASSIVE_ADVECTION_FAILS
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A7_Q_DEPENDENT_LOCK_MATTER,odd,q_dependent_lock,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,NO,YES,PASS,,Q_DEPENDENT_DIAGNOSTIC
Knots_FourierSeries/3_1/knot.3_1.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A8_NOISY_LOCK_MATTER,odd,noisy_lock,global,matter,0.959294312249,"-5,-3,-1,1,3,5",1,0.00165695301529,7,YES,PASS,NO,YES,PASS,,NOISY_STABILITY_DIAGNOSTIC
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A0_FREE_NONE,none,none,none,unsigned,0,"-5,-4,-3,-2,-1,0,1,2,3,4,5",0,0,6,NO,OFF,NO,NO,PASS,,BOSONIC_DEFAULT
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A1_FR_ONLY,odd,fr_only,none,unsigned,0,"-5,-3,-1,1,3,5","-1,1",1,"7,7",YES,PASS,NO,NO,PASS,,FR_ODD_SELECTED_NO_SIGN
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A2_CANON_CYCLE_LOCAL_ONLY,none,canon_core_cycle,local_only,unsigned,,"-5,-4,-3,-2,-1,0,1,2,3,4,5",,,,,OFF,YES,NO,FAIL,YES,ATTACHMENT_REQUIRED
Knots_FourierSeries/3_1/knot.3_1u.fseries,fseries,CANONICAL_GEOMETRY,PASS_DERIVED_PQ,2,3,6,7,A3_CANON_ATTACHED_MATTER,odd,canon_core_cycle,global,matter,1,"-5,-3,-1,1,3,5",1,0,7,YES,PASS,YES,YES,PASS,,CONDITIONAL_CANON_CANDIDATE
