source_type,family,canonical_label,label,path,q,control_for_q,target_SL,samples,Wr,Lk0,Lk0_round,Tw0_est_Lk0_minus_Wr,Tw0_round_est,extra_integer_twists_to_target,Tw_target_targetSL_minus_Wr,Lk_target,Lk_target_round,Lk_target_error,ribbon_eps,seg_min,seg_mean,seg_max,bbox_diag,status,notes
fseries,torus,"T(2,5)",Knots_FourierSeries/5_1/knot.5_1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_1\knot.5_1.fseries,5,,11,1024,6.69006725512923,7.000078726024006,7,0.3100114708947759,0.30993274487077027,4,4.30993274487077,11.001124361790174,11,0.0011243617901737224,0.04277814215096951,0.011851715826556792,0.01709312966248619,0.02284768864131121,3.5648451792474596,PASS,
fseries,torus,"T(2,5)",Knots_FourierSeries/5_1/knot.5_1p.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_1\knot.5_1p.fseries,5,,11,1024,6.418775216075031,6.0006061844426375,6,-0.4181690316323934,-0.4187752160750309,5,4.581224783924969,11.00185273211555,11,0.0018527321155499266,0.03882349789645468,0.013893648548884118,0.016724391490248312,0.01835863798833922,3.2352914913712234,PASS,
fseries,torus,"T(2,5)",Knots_FourierSeries/5_1/knot.5_1u.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_1\knot.5_1u.fseries,5,,11,1024,7.75313218413507,8.001733933790746,8,0.24860174965567605,0.24686781586493023,3,3.2468678158649302,11.007425554872924,11,0.007425554872924067,0.046210644447182675,0.014278845924647801,0.027846353714104155,0.04163743368336608,3.850887037265223,PASS,
fseries,control_twist,5_2_twist_control,Knots_FourierSeries/5_2/knot.5_2.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_2\knot.5_2.fseries,,5,,1024,4.813954981900083,5.000695075102071,5,0.1867400932019878,0.18604501809991714,,,,,,0.038969728291886316,0.013366817522758668,0.015597317754178294,0.01790056730515301,3.2474773576571927,NO_TARGET,fseries label matched 5_2 twist control; pq+1 torus target not applied
fseries,control_twist,5_2_twist_control,Knots_FourierSeries/5_2/knot.5_2d.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_2\knot.5_2d.fseries,,5,,1024,1.1340373735247551e-11,-1.4559872541810765e-14,0,-1.1354933607789362e-11,-1.1340373735247551e-11,,,,,,0.03871268759925848,0.010180046615990751,0.022316747893649555,0.03420430124080381,3.2260572999382067,NO_TARGET,fseries label matched 5_2 twist control; pq+1 torus target not applied
fseries,control_twist,5_2_twist_control,Knots_FourierSeries/5_2/knot.5_2r.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\5_2\knot.5_2r.fseries,,5,,1024,3.2975215800711153,2.824702940218389,3,-0.4728186398527261,-0.2975215800711153,,,,,,0.04122523097444916,0.006238490769087714,0.020213451634829696,0.03046649339003508,3.4354359145374302,NO_TARGET,fseries label matched 5_2 twist control; pq+1 torus target not applied
fseries,torus,"T(2,7)",Knots_FourierSeries/7_1/knot.7_1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\7_1\knot.7_1.fseries,7,,15,1024,9.044507430681078,9.000352696896446,9,-0.04415473378463197,-0.044507430681077764,6,5.955492569318922,15.002506384126287,15,0.002506384126286676,0.04110630713471446,0.014436417278141985,0.016851193213615626,0.019898880705676136,3.4255255945595384,PASS,
fseries,torus,"T(2,7)",Knots_FourierSeries/7_1/knot.7_1p.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\Knots_FourierSeries\7_1\knot.7_1p.fseries,7,,15,1024,9.395578614989764,9.001723235039167,9,-0.3938553799505975,-0.39557861498976443,6,5.604421385010236,15.004431048141996,15,0.004431048141995575,0.038896426033457464,0.013777677803377204,0.01730661303632998,0.020600235292727694,3.241368836121455,PASS,
fseries,torus,"T(2,3)",knotplot/knot_3.1/knot_3.1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_3.1\knot_3.1.fseries,3,,7,1024,3.3792739972125987,3.0000657103692596,3,-0.37920828684333907,-0.3792739972125987,4,3.6207260027874013,7.000422133683882,7,0.0004221336838821088,0.04089239017772137,0.012551344081387443,0.01285304770386756,0.013423058814655452,3.407699181476781,PASS,
fseries,torus,"T(2,5)",knotplot/knot_5.1/knot_5.1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_5.1\knot_5.1.fseries,5,,11,1024,6.137728664065135,6.000215053512116,6,-0.13751361055301903,-0.1377286640651354,5,4.862271335934865,11.001110156074162,11,0.0011101560741622052,0.044407026489471375,0.014722333447938106,0.015268297425418392,0.016829108351768828,3.700585540789281,PASS,
fseries,control_twist,5_2_twist_control,knotplot/knot_5.2/knot_5.2.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_5.2\knot_5.2.fseries,,5,,1024,4.6105599892857745,5.000467491647563,5,0.3899075023617886,0.3894400107142255,,,,,,0.045820448680948686,0.015283870714675275,0.015813501191329037,0.017633088470368364,3.8183707234123907,NO_TARGET,fseries label matched 5_2 twist control; pq+1 torus target not applied
fseries,control_twist,5_2_twist_control,knotplot/knot_5.2.1/knot_5.2.1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_5.2.1\knot_5.2.1.fseries,,5,,1024,0.5395585249909075,1.0007980527226417,1,0.46123952773173416,0.4604414750090925,,,,,,0.04631318712754096,0.011259057613883018,0.01747462612774698,0.02677491507875281,3.8594322606284135,NO_TARGET,fseries label matched 5_2 twist control; pq+1 torus target not applied
fseries,torus,"T(2,7)",knotplot/knot_7.1/knot_7.1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_7.1\knot_7.1.fseries,7,,15,1024,8.8949668196652,9.00053370042158,9,0.10556688075637943,0.10503318033480014,6,6.1050331803348,15.002243922817478,15,0.0022439228174775394,0.044171790746793844,0.015608165934356667,0.01687401198343806,0.02035372144219345,3.68098256223282,PASS,
fseries,torus,"T(2,9)",knotplot/knot_9.1/knot_9.1.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_9.1\knot_9.1.fseries,9,,19,1024,11.668111735793083,12.000987011401595,12,0.3328752756085116,0.33188826420691697,7,7.331888264206917,19.004074183289674,19,0.004074183289674238,0.044037296711161286,0.018759695060500004,0.01933572123775923,0.01991698047894399,3.669774725930107,PASS,
fseries,torus,"T(2,3)",knotplot/knot_T2.3/knot_T2.3.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_T2.3\knot_T2.3.fseries,3,,7,1024,-3.395056044795907,-3.0000684738764027,-3,0.3949875709195041,0.39505604479590684,10,10.395056044795908,7.003986312020171,7,0.003986312020170857,0.04165124051064472,0.012835222098934992,0.012933695132262798,0.013066383134117955,3.4709367092203935,PASS,
fseries,torus,"T(2,5)",knotplot/knot_T2.5/knot_T2.5.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_T2.5\knot_T2.5.fseries,5,,11,1024,-6.174275127112746,-6.000187235677382,-6,0.17408789143536385,0.17427512711274584,17,17.174275127112747,11.017613787989337,11,0.01761378798933677,0.04325092840636488,0.015025490870764224,0.015350782694712935,0.01562245519660553,3.60424403386374,PASS,
fseries,torus,"T(2,7)",knotplot/knot_T2.7/knot_T2.7.fseries,C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\knotplot\knot_T2.7\knot_T2.7.fseries,7,,15,1024,-8.939980808347102,-9.000457509368804,-9,-0.06047670102170244,-0.060019191652898485,24,23.9399808083471,15.046989000104276,15,0.04698900010427565,0.04467222231896145,0.016254839459087463,0.01705832863372544,0.017307312919645764,3.7226851932467877,PASS,
