curve,q,pq,holonomy_turns_r,selected_n_odd_FR,selected_n_no_parity,odd_selects_plus_one,sl_abs_if_odd
"analytic:T(2,7)",7,14,-0.5,-1,"-1,0",NO,15
"analytic:T(2,7)",7,14,-0.25,-1,0,NO,15
"analytic:T(2,7)",7,14,0,"-1,1",0,NO,"15,15"
"analytic:T(2,7)",7,14,0.25,1,0,YES,15
"analytic:T(2,7)",7,14,0.5,1,"0,1",YES,15
"analytic:T(2,7)",7,14,0.75,1,1,YES,15
"analytic:T(2,7)",7,14,1,1,1,YES,15
"analytic:T(2,7)",7,14,1.25,1,1,YES,15
"analytic:T(2,7)",7,14,1.5,1,"1,2",YES,15
"analytic:T(2,7)",7,14,1.75,1,2,YES,15
"analytic:T(2,7)",7,14,2,"1,3",2,NO,"15,17"
"analytic:T(2,7)",7,14,2.25,3,2,NO,17
"analytic:T(2,7)",7,14,2.5,3,"2,3",NO,17
"analytic:T(2,7)",7,14,2.75,3,3,NO,17
"analytic:T(2,7)",7,14,3,3,3,NO,17
"analytic:T(2,7)",7,14,3.25,3,3,NO,17
"analytic:T(2,7)",7,14,3.5,3,"3,4",NO,17
"analytic:T(2,9)",9,18,-0.5,-1,"-1,0",NO,19
"analytic:T(2,9)",9,18,-0.25,-1,0,NO,19
"analytic:T(2,9)",9,18,0,"-1,1",0,NO,"19,19"
"analytic:T(2,9)",9,18,0.25,1,0,YES,19
"analytic:T(2,9)",9,18,0.5,1,"0,1",YES,19
"analytic:T(2,9)",9,18,0.75,1,1,YES,19
"analytic:T(2,9)",9,18,1,1,1,YES,19
"analytic:T(2,9)",9,18,1.25,1,1,YES,19
"analytic:T(2,9)",9,18,1.5,1,"1,2",YES,19
"analytic:T(2,9)",9,18,1.75,1,2,YES,19
"analytic:T(2,9)",9,18,2,"1,3",2,NO,"19,21"
"analytic:T(2,9)",9,18,2.25,3,2,NO,21
"analytic:T(2,9)",9,18,2.5,3,"2,3",NO,21
"analytic:T(2,9)",9,18,2.75,3,3,NO,21
"analytic:T(2,9)",9,18,3,3,3,NO,21
"analytic:T(2,9)",9,18,3.25,3,3,NO,21
"analytic:T(2,9)",9,18,3.5,3,"3,4",NO,21
"analytic:T(2,11)",11,22,-0.5,-1,"-1,0",NO,23
"analytic:T(2,11)",11,22,-0.25,-1,0,NO,23
"analytic:T(2,11)",11,22,0,"-1,1",0,NO,"23,23"
"analytic:T(2,11)",11,22,0.25,1,0,YES,23
"analytic:T(2,11)",11,22,0.5,1,"0,1",YES,23
"analytic:T(2,11)",11,22,0.75,1,1,YES,23
"analytic:T(2,11)",11,22,1,1,1,YES,23
"analytic:T(2,11)",11,22,1.25,1,1,YES,23
"analytic:T(2,11)",11,22,1.5,1,"1,2",YES,23
"analytic:T(2,11)",11,22,1.75,1,2,YES,23
"analytic:T(2,11)",11,22,2,"1,3",2,NO,"23,25"
"analytic:T(2,11)",11,22,2.25,3,2,NO,25
"analytic:T(2,11)",11,22,2.5,3,"2,3",NO,25
"analytic:T(2,11)",11,22,2.75,3,3,NO,25
"analytic:T(2,11)",11,22,3,3,3,NO,25
"analytic:T(2,11)",11,22,3.25,3,3,NO,25
"analytic:T(2,11)",11,22,3.5,3,"3,4",NO,25
"analytic:T(3,2)",2,6,-0.5,-1,"-1,0",NO,7
"analytic:T(3,2)",2,6,-0.25,-1,0,NO,7
"analytic:T(3,2)",2,6,0,"-1,1",0,NO,"7,7"
"analytic:T(3,2)",2,6,0.25,1,0,YES,7
"analytic:T(3,2)",2,6,0.5,1,"0,1",YES,7
"analytic:T(3,2)",2,6,0.75,1,1,YES,7
"analytic:T(3,2)",2,6,1,1,1,YES,7
"analytic:T(3,2)",2,6,1.25,1,1,YES,7
"analytic:T(3,2)",2,6,1.5,1,"1,2",YES,7
"analytic:T(3,2)",2,6,1.75,1,2,YES,7
"analytic:T(3,2)",2,6,2,"1,3",2,NO,"7,9"
"analytic:T(3,2)",2,6,2.25,3,2,NO,9
"analytic:T(3,2)",2,6,2.5,3,"2,3",NO,9
"analytic:T(3,2)",2,6,2.75,3,3,NO,9
"analytic:T(3,2)",2,6,3,3,3,NO,9
"analytic:T(3,2)",2,6,3.25,3,3,NO,9
"analytic:T(3,2)",2,6,3.5,3,"3,4",NO,9
"analytic:T(3,4)",4,12,-0.5,-1,"-1,0",NO,13
"analytic:T(3,4)",4,12,-0.25,-1,0,NO,13
"analytic:T(3,4)",4,12,0,"-1,1",0,NO,"13,13"
"analytic:T(3,4)",4,12,0.25,1,0,YES,13
"analytic:T(3,4)",4,12,0.5,1,"0,1",YES,13
"analytic:T(3,4)",4,12,0.75,1,1,YES,13
"analytic:T(3,4)",4,12,1,1,1,YES,13
"analytic:T(3,4)",4,12,1.25,1,1,YES,13
"analytic:T(3,4)",4,12,1.5,1,"1,2",YES,13
"analytic:T(3,4)",4,12,1.75,1,2,YES,13
"analytic:T(3,4)",4,12,2,"1,3",2,NO,"13,15"
"analytic:T(3,4)",4,12,2.25,3,2,NO,15
"analytic:T(3,4)",4,12,2.5,3,"2,3",NO,15
"analytic:T(3,4)",4,12,2.75,3,3,NO,15
"analytic:T(3,4)",4,12,3,3,3,NO,15
"analytic:T(3,4)",4,12,3.25,3,3,NO,15
"analytic:T(3,4)",4,12,3.5,3,"3,4",NO,15
ideal:3:1:1,3,6,-0.5,-1,"-1,0",NO,7
ideal:3:1:1,3,6,-0.25,-1,0,NO,7
ideal:3:1:1,3,6,0,"-1,1",0,NO,"7,7"
ideal:3:1:1,3,6,0.25,1,0,YES,7
ideal:3:1:1,3,6,0.5,1,"0,1",YES,7
ideal:3:1:1,3,6,0.75,1,1,YES,7
ideal:3:1:1,3,6,1,1,1,YES,7
ideal:3:1:1,3,6,1.25,1,1,YES,7
ideal:3:1:1,3,6,1.5,1,"1,2",YES,7
ideal:3:1:1,3,6,1.75,1,2,YES,7
ideal:3:1:1,3,6,2,"1,3",2,NO,"7,9"
ideal:3:1:1,3,6,2.25,3,2,NO,9
ideal:3:1:1,3,6,2.5,3,"2,3",NO,9
ideal:3:1:1,3,6,2.75,3,3,NO,9
ideal:3:1:1,3,6,3,3,3,NO,9
ideal:3:1:1,3,6,3.25,3,3,NO,9
ideal:3:1:1,3,6,3.5,3,"3,4",NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,-0.5,-1,"-1,0",NO,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,-0.25,-1,0,NO,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0,"-1,1",0,NO,"7,7"
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.25,1,0,YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.5,1,"0,1",YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,0.75,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.25,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.5,1,"1,2",YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,1.75,1,2,YES,7
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2,"1,3",2,NO,"7,9"
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.25,3,2,NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.5,3,"2,3",NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,2.75,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3.25,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1.fseries,3,6,3.5,3,"3,4",NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,-0.5,-1,"-1,0",NO,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,-0.25,-1,0,NO,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0,"-1,1",0,NO,"7,7"
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.25,1,0,YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.5,1,"0,1",YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,0.75,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.25,1,1,YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.5,1,"1,2",YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.75,1,2,YES,7
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2,"1,3",2,NO,"7,9"
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.25,3,2,NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.5,3,"2,3",NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.75,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3.25,3,3,NO,9
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3.5,3,"3,4",NO,9
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,-0.5,-1,"-1,0",NO,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,-0.25,-1,0,NO,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0,"-1,1",0,NO,"11,11"
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.25,1,0,YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.5,1,"0,1",YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.75,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.25,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.5,1,"1,2",YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.75,1,2,YES,11
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2,"1,3",2,NO,"11,13"
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.25,3,2,NO,13
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.5,3,"2,3",NO,13
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.75,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3.25,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3.5,3,"3,4",NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,-0.5,-1,"-1,0",NO,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,-0.25,-1,0,NO,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0,"-1,1",0,NO,"11,11"
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.25,1,0,YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.5,1,"0,1",YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.75,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.25,1,1,YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.5,1,"1,2",YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.75,1,2,YES,11
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2,"1,3",2,NO,"11,13"
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.25,3,2,NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.5,3,"2,3",NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.75,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3.25,3,3,NO,13
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3.5,3,"3,4",NO,13
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,-0.5,-1,"-1,0",NO,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,-0.25,-1,0,NO,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0,"-1,1",0,NO,"15,15"
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.25,1,0,YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.5,1,"0,1",YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.75,1,1,YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1,1,1,YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.25,1,1,YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.5,1,"1,2",YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.75,1,2,YES,15
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2,"1,3",2,NO,"15,17"
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.25,3,2,NO,17
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.5,3,"2,3",NO,17
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.75,3,3,NO,17
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3,3,3,NO,17
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3.25,3,3,NO,17
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3.5,3,"3,4",NO,17
knotplot/knot_3.1/knot_3.1.fseries,3,6,-0.5,-1,"-1,0",NO,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,-0.25,-1,0,NO,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,0,"-1,1",0,NO,"7,7"
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.25,1,0,YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.5,1,"0,1",YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.75,1,1,YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,1,1,1,YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.25,1,1,YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.5,1,"1,2",YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.75,1,2,YES,7
knotplot/knot_3.1/knot_3.1.fseries,3,6,2,"1,3",2,NO,"7,9"
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.25,3,2,NO,9
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.5,3,"2,3",NO,9
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.75,3,3,NO,9
knotplot/knot_3.1/knot_3.1.fseries,3,6,3,3,3,NO,9
knotplot/knot_3.1/knot_3.1.fseries,3,6,3.25,3,3,NO,9
knotplot/knot_3.1/knot_3.1.fseries,3,6,3.5,3,"3,4",NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,-0.5,-1,"-1,0",NO,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,-0.25,-1,0,NO,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0,"-1,1",0,NO,"7,7"
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.25,1,0,YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.5,1,"0,1",YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.75,1,1,YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1,1,1,YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.25,1,1,YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.5,1,"1,2",YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.75,1,2,YES,7
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2,"1,3",2,NO,"7,9"
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.25,3,2,NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.5,3,"2,3",NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.75,3,3,NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3,3,3,NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3.25,3,3,NO,9
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3.5,3,"3,4",NO,9
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,-0.5,-1,"-1,0",NO,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,-0.25,-1,0,NO,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0,"-1,1",0,NO,"11,11"
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.25,1,0,YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.5,1,"0,1",YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.75,1,1,YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1,1,1,YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.25,1,1,YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.5,1,"1,2",YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.75,1,2,YES,11
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2,"1,3",2,NO,"11,13"
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.25,3,2,NO,13
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.5,3,"2,3",NO,13
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.75,3,3,NO,13
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3,3,3,NO,13
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3.25,3,3,NO,13
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3.5,3,"3,4",NO,13
