source_family,folder,folder_name,ideal_id_inferred,fseries_count,txt_count,coordinate_txt,component_count_in_coordinate_txt,is_link_candidate,file_examples
knotplot,knotplot/knot_8.2.1,knot_8.2.1,8:1:2,1,31,knotplot/knot_8.2.1/knot_8.2.1.txt,2,YES,knot_8.2.1.fseries;knot_8.2.1.txt;knot_8.2.1_ideal.txt;knot_8.2.1_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_9.1,knot_9.1,,1,31,knotplot/knot_9.1/knot_9.1.txt,1,NO,knot_9.1.fseries;knot_9.1.txt;knot_9.1_ideal.txt;knot_9.1_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_9.2,knot_9.2,,1,31,knotplot/knot_9.2/knot_9.2.txt,1,NO,knot_9.2.fseries;knot_9.2.txt;knot_9.2_ideal.txt;knot_9.2_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_9.2.20,knot_9.2.20,9:1:2,1,31,knotplot/knot_9.2.20/knot_9.2.20.txt,2,YES,knot_9.2.20.fseries;knot_9.2.20.txt;knot_9.2.20_ideal.txt;knot_9.2.20_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_9.2.40,knot_9.2.40,9:1:2,1,31,knotplot/knot_9.2.40/knot_9.2.40.txt,2,YES,knot_9.2.40.fseries;knot_9.2.40.txt;knot_9.2.40_ideal.txt;knot_9.2.40_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_9.35,knot_9.35,,1,31,knotplot/knot_9.35/knot_9.35.txt,1,NO,knot_9.35.fseries;knot_9.35.txt;knot_9.35_ideal.txt;knot_9.35_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_T2.3,knot_T2.3,,1,31,knotplot/knot_T2.3/knot_T2.3.txt,1,NO,knot_T2.3.fseries;knot_T2.3.txt;knot_T2.3_ideal.txt;knot_T2.3_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_T2.5,knot_T2.5,,1,31,knotplot/knot_T2.5/knot_T2.5.txt,1,NO,knot_T2.5.fseries;knot_T2.5.txt;knot_T2.5_ideal.txt;knot_T2.5_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_T2.7,knot_T2.7,,1,31,knotplot/knot_T2.7/knot_T2.7.txt,1,NO,knot_T2.7.fseries;knot_T2.7.txt;knot_T2.7_ideal.txt;knot_T2.7_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL2.4,knot_TL2.4,,1,31,knotplot/knot_TL2.4/knot_TL2.4.txt,2,YES,knot_TL2.4.fseries;knot_TL2.4.txt;knot_TL2.4_ideal.txt;knot_TL2.4_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL2.6,knot_TL2.6,,1,31,knotplot/knot_TL2.6/knot_TL2.6.txt,2,YES,knot_TL2.6.fseries;knot_TL2.6.txt;knot_TL2.6_ideal.txt;knot_TL2.6_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL2.8,knot_TL2.8,,1,31,knotplot/knot_TL2.8/knot_TL2.8.txt,2,YES,knot_TL2.8.fseries;knot_TL2.8.txt;knot_TL2.8_ideal.txt;knot_TL2.8_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL3.3_Gear,knot_TL3.3_Gear,,1,31,knotplot/knot_TL3.3_Gear/knot_TL3.3_Gear.txt,3,YES,knot_TL3.3_Gear.fseries;knot_TL3.3_Gear.txt;knot_TL3.3_Gear_ideal.txt;knot_TL3.3_Gear_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL3.6,knot_TL3.6,,1,31,knotplot/knot_TL3.6/knot_TL3.6.txt,3,YES,knot_TL3.6.fseries;knot_TL3.6.txt;knot_TL3.6_ideal.txt;knot_TL3.6_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL3.9,knot_TL3.9,,1,31,knotplot/knot_TL3.9/knot_TL3.9.txt,3,YES,knot_TL3.9.fseries;knot_TL3.9.txt;knot_TL3.9_ideal.txt;knot_TL3.9_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL6.15,knot_TL6.15,,1,31,knotplot/knot_TL6.15/knot_TL6.15.txt,3,YES,knot_TL6.15.fseries;knot_TL6.15.txt;knot_TL6.15_ideal.txt;knot_TL6.15_monopole_g128_s0p04_a1_b0p1_report.txt
knotplot,knotplot/knot_TL6.9,knot_TL6.9,,1,31,knotplot/knot_TL6.9/knot_TL6.9.txt,3,YES,knot_TL6.9.fseries;knot_TL6.9.txt;knot_TL6.9_ideal.txt;knot_TL6.9_monopole_g128_s0p04_a1_b0p1_report.txt
ideal.txt,ideal.txt,0:1:1,0:1:1,,,,1,NO,Conway=0
ideal.txt,ideal.txt,0:1:2,0:1:2,,,,2,YES,Conway=0
ideal.txt,ideal.txt,10:1:1,10:1:1,,,,1,NO,Conway=8 2
ideal.txt,ideal.txt,10:1:10,10:1:10,,,,1,NO,Conway=5 1 1 1 2
ideal.txt,ideal.txt,10:1:100,10:1:100,,,,1,NO,Conway=3:2:2
ideal.txt,ideal.txt,10:1:101,10:1:101,,,,1,NO,Conway=2 1:2:2
ideal.txt,ideal.txt,10:1:102,10:1:102,,,,1,NO,Conway=3:2:2 0
ideal.txt,ideal.txt,10:1:103,10:1:103,,,,1,NO,Conway=3 0:2:2
ideal.txt,ideal.txt,10:1:104,10:1:104,,,,1,NO,Conway=3:2 0:2 0
ideal.txt,ideal.txt,10:1:105,10:1:105,,,,1,NO,Conway=2 1:2 0:2 0
ideal.txt,ideal.txt,10:1:106,10:1:106,,,,1,NO,Conway=3 0:2:2 0
ideal.txt,ideal.txt,10:1:107,10:1:107,,,,1,NO,Conway=2 1 0:2:2 0
ideal.txt,ideal.txt,10:1:108,10:1:108,,,,1,NO,Conway=3 0:2 0:2 0
ideal.txt,ideal.txt,10:1:109,10:1:109,,,,1,NO,Conway=2.2.2.2
ideal.txt,ideal.txt,10:1:11,10:1:11,,,,1,NO,Conway=4 3 3
ideal.txt,ideal.txt,10:1:110,10:1:110,,,,1,NO,Conway=2.2.2.2 0
ideal.txt,ideal.txt,10:1:111,10:1:111,,,,1,NO,Conway=2.2.2 0.2
ideal.txt,ideal.txt,10:1:112,10:1:112,,,,1,NO,Conway=8*3
ideal.txt,ideal.txt,10:1:113,10:1:113,,,,1,NO,Conway=8*2 1
ideal.txt,ideal.txt,10:1:114,10:1:114,,,,1,NO,Conway=8*3 0
ideal.txt,ideal.txt,10:1:115,10:1:115,,,,1,NO,Conway=8*2 0.2 0
ideal.txt,ideal.txt,10:1:116,10:1:116,,,,1,NO,Conway=8*2:2
ideal.txt,ideal.txt,10:1:117,10:1:117,,,,1,NO,Conway=8*2:2 0
ideal.txt,ideal.txt,10:1:118,10:1:118,,,,1,NO,Conway=8*2:.2
