curve,q,pq,holonomy_turns,selected_odd_FR,selected_no_parity,odd_selects_plus_one
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.5,1,"1,2",YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,1.75,1,2,YES
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2,"1,3",2,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.25,3,2,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.5,3,"2,3",NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,2.75,3,3,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3,3,3,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3.25,3,3,NO
Knots_FourierSeries/3_1/knot.3_1u.fseries,3,6,3.5,3,"3,4",NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,-0.5,-1,"-1,0",NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,-0.25,-1,0,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0,"-1,1",0,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.25,1,0,YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.5,1,"0,1",YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,0.75,1,1,YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1,1,1,YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.25,1,1,YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.5,1,"1,2",YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,1.75,1,2,YES
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2,"1,3",2,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.25,3,2,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.5,3,"2,3",NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,2.75,3,3,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3,3,3,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3.25,3,3,NO
Knots_FourierSeries/5_1/knot.5_1.fseries,5,10,3.5,3,"3,4",NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,-0.5,-1,"-1,0",NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,-0.25,-1,0,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0,"-1,1",0,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.25,1,0,YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.5,1,"0,1",YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,0.75,1,1,YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1,1,1,YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.25,1,1,YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.5,1,"1,2",YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,1.75,1,2,YES
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2,"1,3",2,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.25,3,2,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.5,3,"2,3",NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,2.75,3,3,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3,3,3,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3.25,3,3,NO
Knots_FourierSeries/5_1/knot.5_1u.fseries,5,10,3.5,3,"3,4",NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,-0.5,-1,"-1,0",NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,-0.25,-1,0,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0,"-1,1",0,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.25,1,0,YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.5,1,"0,1",YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,0.75,1,1,YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1,1,1,YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.25,1,1,YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.5,1,"1,2",YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,1.75,1,2,YES
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2,"1,3",2,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.25,3,2,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.5,3,"2,3",NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,2.75,3,3,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3,3,3,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3.25,3,3,NO
Knots_FourierSeries/7_1/knot.7_1.fseries,7,14,3.5,3,"3,4",NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,-0.5,-1,"-1,0",NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,-0.25,-1,0,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,0,"-1,1",0,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.25,1,0,YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.5,1,"0,1",YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,0.75,1,1,YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,1,1,1,YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.25,1,1,YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.5,1,"1,2",YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,1.75,1,2,YES
knotplot/knot_3.1/knot_3.1.fseries,3,6,2,"1,3",2,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.25,3,2,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.5,3,"2,3",NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,2.75,3,3,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,3,3,3,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,3.25,3,3,NO
knotplot/knot_3.1/knot_3.1.fseries,3,6,3.5,3,"3,4",NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,-0.5,-1,"-1,0",NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,-0.25,-1,0,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0,"-1,1",0,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.25,1,0,YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.5,1,"0,1",YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,0.75,1,1,YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1,1,1,YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.25,1,1,YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.5,1,"1,2",YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,1.75,1,2,YES
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2,"1,3",2,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.25,3,2,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.5,3,"2,3",NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,2.75,3,3,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3,3,3,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3.25,3,3,NO
knotplot/knot_T2.3/knot_T2.3.fseries,3,6,3.5,3,"3,4",NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,-0.5,-1,"-1,0",NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,-0.25,-1,0,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0,"-1,1",0,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.25,1,0,YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.5,1,"0,1",YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,0.75,1,1,YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1,1,1,YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.25,1,1,YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.5,1,"1,2",YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,1.75,1,2,YES
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2,"1,3",2,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.25,3,2,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.5,3,"2,3",NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,2.75,3,3,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3,3,3,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3.25,3,3,NO
knotplot/knot_T2.5/knot_T2.5.fseries,5,10,3.5,3,"3,4",NO
