source_type,label,p,q,expected_pq,torus_SL_round,n_core,SL_phys_signed,SL_phys_abs,matches_pq,matches_pq_plus_1,E_null,E_model,selected_by_null,selected_by_model,core_n0_model_input,status
ideal,ideal:K11a367,2,11,22,-19,0,-19,19,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,1,-20,20,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,2,-21,21,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
ideal,ideal:K11a367,2,11,22,-19,3,-22,22,True,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,-3,3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,-2,4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,-1,5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,0,6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,1,7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,2,8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1.fseries,2,3,6,6,3,9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,-3,-2,2,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,-2,-1,1,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,-1,0,0,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,0,1,1,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,1,2,2,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,2,3,3,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1p.fseries,2,3,6,1,3,4,4,False,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,-3,3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,-2,4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,-1,5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,0,6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,1,7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,2,8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/3_1/knot.3_1u.fseries,2,3,6,6,3,9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,-3,7,7,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,-2,8,8,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,-1,9,9,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,0,10,10,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,1,11,11,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,2,12,12,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1.fseries,2,5,10,10,3,13,13,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,-3,0,0,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,-2,1,1,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,-1,2,2,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,0,3,3,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,1,4,4,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,2,5,5,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1p.fseries,2,5,10,3,3,6,6,False,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,-3,7,7,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,-2,8,8,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,-1,9,9,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,0,10,10,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,1,11,11,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,2,12,12,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/5_1/knot.5_1u.fseries,2,5,10,10,3,13,13,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,-3,11,11,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,-2,12,12,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,-1,13,13,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,0,14,14,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,1,15,15,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,2,16,16,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1.fseries,2,7,14,14,3,17,17,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,-3,9,9,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,-2,10,10,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,-1,11,11,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,0,12,12,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,1,13,13,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,2,14,14,True,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,Knots_FourierSeries/7_1/knot.7_1p.fseries,2,7,14,12,3,15,15,False,True,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,-3,3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,-2,4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,-1,5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,0,6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,1,7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,2,8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_3.1/knot_3.1.fseries,2,3,6,6,3,9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,-3,6,6,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,-2,7,7,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,-1,8,8,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,0,9,9,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,1,10,10,True,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,2,11,11,False,True,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_5.1/knot_5.1.fseries,2,5,10,9,3,12,12,False,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,-3,8,8,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,-2,9,9,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,-1,10,10,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,0,11,11,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,1,12,12,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,2,13,13,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_7.1/knot_7.1.fseries,2,7,14,11,3,14,14,True,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,-3,12,12,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,-2,13,13,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,-1,14,14,False,False,1.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,0,15,15,False,False,0.0,1.0,True,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,1,16,16,False,False,1.0,0.0,False,True,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,2,17,17,False,False,4.0,1.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_9.1/knot_9.1.fseries,2,9,18,15,3,18,18,True,False,9.0,4.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,-3,-3,3,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,-2,-4,4,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,-1,-5,5,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,0,-6,6,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,1,-7,7,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,2,-8,8,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.3/knot_T2.3.fseries,2,3,6,-6,3,-9,9,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,-3,-7,7,False,False,9.0,16.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,-2,-8,8,False,False,4.0,9.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,-1,-9,9,False,False,1.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,0,-10,10,True,False,0.0,1.0,True,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,1,-11,11,False,True,1.0,0.0,False,True,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,2,-12,12,False,False,4.0,1.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.5/knot_T2.5.fseries,2,5,10,-10,3,-13,13,False,False,9.0,4.0,False,False,1.0,PASS_DERIVED_PQ
fseries,knotplot/knot_T2.7/knot_T2.7.fseries,2,7,14,-11,-3,-8,8,False,False,9.0,16.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
fseries,knotplot/knot_T2.7/knot_T2.7.fseries,2,7,14,-11,-2,-9,9,False,False,4.0,9.0,False,False,1.0,SOURCE_FIT_NOT_CANONICAL
