length_m,eta_ent,H_eff_m4_s2,chiral_response_proxy,near_field_proxy_dimless,far_field_proxy_dimless,near_far_proxy_ratio,score_0_100,status
2.2300500321347895e-09,0.7993111352351152,-1.4990677628910003e-16,-0.7993111352351152,1.6087973878009047e-06,0.0,1.6087973878009044e+24,99.9999758472417,CANON-CANDIDATE
2.4100301288187437e-09,0.785053812273865,-1.4723288719958434e-16,-0.7850538122738651,1.580101248180197e-06,0.0,1.5801012481801967e+24,99.9999758472417,CANON-CANDIDATE
2.604535834675401e-09,0.7699316121506145,-1.4439679475579733e-16,-0.7699316121506145,1.549664344471941e-06,0.0,1.549664344471941e+24,99.9999758472417,CANON-CANDIDATE
2.814739464453591e-09,0.7539162839025458,-1.413932006319978e-16,-0.7539162839025458,1.5174298151197532e-06,0.0,1.517429815119753e+24,99.9999758472417,CANON-CANDIDATE
3.0419079466187955e-09,0.7369827486023988,-1.382174014017318e-16,-0.7369827486023988,1.4833471830179277e-06,0.0,1.4833471830179276e+24,99.9999758472417,CANON-CANDIDATE
3.287410459318931e-09,0.7191099257639474,-1.348654435260163e-16,-0.7191099257639475,1.4473740188424142e-06,0.0,1.4473740188424141e+24,99.9999758472417,CANON-CANDIDATE
3.552726682624334e-09,0.7002816496200068,-1.3133429519666282e-16,-0.7002816496200068,1.4094777852709205e-06,0.0,1.4094777852709205e+24,99.9999758472417,CANON-CANDIDATE
3.8394557167789106e-09,0.6804876729989103,-1.2762203460825305e-16,-0.6804876729989103,1.369637857515072e-06,0.0,1.369637857515072e+24,99.9999758472417,CANON-CANDIDATE
4.149325720214717e-09,0.6597247528911654,-1.2372805355069574e-16,-0.6597247528911654,1.327847708272833e-06,0.0,1.3278477082728328e+24,99.9999758472417,CANON-CANDIDATE
4.484204325419178e-09,0.6379978072586521,-1.1965327436296357e-16,-0.6379978072586521,1.2841172360729204e-06,0.0,1.2841172360729202e+24,99.9999758472417,CANON-CANDIDATE
4.846109895433208e-09,0.6153211271142213,-1.1540037725251515e-16,-0.6153211271142212,1.2384752048636019e-06,0.0,1.2384752048636017e+24,99.9999758472417,CANON-CANDIDATE
5.2372236888247355e-09,0.591719621344072,-1.1097403375546007e-16,-0.591719621344072,1.1909717495038622e-06,0.0,1.1909717495038621e+24,99.9999758472417,CANON-CANDIDATE
5.65990300645773e-09,0.567230064165523,-1.0638114069097899e-16,-0.567230064165523,1.1416808865589072e-06,0.0,1.141680886558907e+24,99.9999758472417,CANON-CANDIDATE
6.116695399294274e-09,0.5419023065917684,-1.016310473654349e-16,-0.5419023065917684,1.0907029526514491e-06,0.0,1.090702952651449e+24,99.9999758472417,CANON-CANDIDATE
6.610354022862205e-09,0.5158004039998233,-9.67357670420604e-17,-0.5158004039998233,1.0381668739513784e-06,0.0,1.0381668739513783e+24,99.9999758472417,CANON-CANDIDATE
7.143854230931973e-09,0.4890036021897467,-9.171016187139689e-17,-0.48900360218974664,9.842321508466028e-07,0.0,9.842321508466028e+23,99.9999758472417,CANON-CANDIDATE
7.720411508415287e-09,0.46160711467103416,-8.657208866744144e-17,-0.4616071146710342,9.290904224105787e-07,0.0,9.290904224105786e+23,99.9999758472417,CANON-CANDIDATE
8.343500851569801e-09,0.43372261500169157,-8.134249124335943e-17,-0.43372261500169157,8.729664573478651e-07,0.0,8.72966457347865e+23,99.9999758472417,CANON-CANDIDATE
9.016877712316994e-09,0.4054783607434637,-7.604542365866326e-17,-0.4054783607434637,8.16118403482513e-07,0.0,8.16118403482513e+23,99.9999758472417,CANON-CANDIDATE
9.744600632908491e-09,0.3770188611195059,-7.070798789008303e-17,-0.3770188611195059,7.588371188427382e-07,0.0,7.588371188427382e+23,99.9999758472417,CANON-CANDIDATE
1.0531055707361899e-08,0.34850400012176774,-6.53601693747744e-17,-0.34850400012176774,7.014444067129702e-07,0.0,7.014444067129701e+23,99.9999758472417,CANON-CANDIDATE
1.1380983017100633e-08,0.3201075321364481,-6.0034554872452e-17,-0.3201075321364481,6.442899877342876e-07,0.0,6.442899877342875e+23,99.9999758472417,CANON-CANDIDATE
1.2299505200127782e-08,0.2920148797358225,-5.4765919452342045e-17,-0.2920148797358225,5.877470674542753e-07,0.0,5.8774706745427524e+23,99.9999758472417,CANON-CANDIDATE
1.329215832592545e-08,0.2644201846465711,-4.959067341715005e-17,-0.2644201846465711,5.322064007229258e-07,0.0,5.322064007229257e+23,99.9999758472417,CANON-CANDIDATE
1.4364925262166945e-08,0.23752259428122427,-4.4546165860742926e-17,-0.23752259428122427,4.780688174836029e-07,0.0,4.780688174836028e+23,99.9999758472417,CANON-CANDIDATE
1.552427173434794e-08,0.21152180826767764,-3.9669849442197096e-17,-0.21152180826767764,4.2573625914002374e-07,0.0,4.257362591400237e+23,99.9999758472417,CANON-CANDIDATE
1.6777185295673382e-08,0.18661296187305737,-3.4998320797723063e-17,-0.18661296187305737,3.7560148027070196e-07,0.0,3.7560148027070195e+23,99.9999758472417,CANON-CANDIDATE
1.813121744207744e-08,0.1629809845459742,-3.056626251368816e-17,-0.1629809845459742,3.280366938984986e-07,0.0,3.2803669389849856e+23,99.9999758472417,CANON-CANDIDATE
1.9594529126209934e-08,0.14079463880938864,-2.64053251510069e-17,-0.14079463880938864,2.8338157339230487e-07,0.0,2.8338157339230485e+23,99.9999758472417,CANON-CANDIDATE
2.1175939944708897e-08,0.12020051234279079,-2.2543000490423227e-17,-0.1202005123427908,2.419311601514603e-07,0.0,2.419311601514603e+23,99.9999758472417,CANON-CANDIDATE
2.288498129521791e-08,0.10131729725684757,-1.900154863929294e-17,-0.10131729725684757,2.0392434933102541e-07,0.0,2.039243493310254e+23,99.9999758472417,CANON-CANDIDATE
2.473195382353419e-08,0.08423073653573104,-1.5797050262303468e-17,-0.08423073653573104,1.69533718395366e-07,0.0,1.6953371839536597e+23,99.9999758472417,CANON-CANDIDATE
2.6727989507128988e-08,0.06898963861140367,-1.2938659134960597e-17,-0.06898963861140367,1.3885750553282e-07,0.0,1.3885750553282e+23,99.9999758472417,CANON-CANDIDATE
2.8885118749227603e-08,0.05560334737659763,-1.042812765726944e-17,-0.055603347376597625,1.1191451747528045e-07,0.0,1.1191451747528044e+23,99.9999758472417,CANON-CANDIDATE
3.1216342887834395e-08,0.04404099876560451,-8.259667429207067e-18,-0.04404099876560451,8.864263319615355e-08,0.0,8.864263319615355e+22,99.9999758472417,CANON-CANDIDATE
3.373571255672634e-08,0.03423279228125114,-6.420187719200561e-18,-0.03423279228125114,6.890136315066854e-08,0.0,6.890136315066853e+22,99.9999758472417,CANON-CANDIDATE
3.6458412370707325e-08,0.026073358396393014,-4.8899270033113195e-18,-0.026073358396393014,5.2478626945407615e-08,0.0,5.247862694540761e+22,99.9999758472417,CANON-CANDIDATE
3.940085244553465e-08,0.019427120124739787,-3.643458500830478e-18,-0.019427120124739787,3.910154473199274e-08,0.0,3.910154473199273e+22,99.9999758472417,CANON-CANDIDATE
4.258076730412151e-08,0.014135347123456557,-2.651013135681492e-18,-0.014135347123456557,2.8450635210013386e-08,0.0,2.8450635210013383e+22,99.9999758472417,CANON-CANDIDATE
4.601732276513797e-08,0.01002440883591982,-1.8800273717626704e-18,-0.01002440883591982,2.0176426973874607e-08,0.0,2.0176426973874606e+22,99.9999758472417,CANON-CANDIDATE
4.973123145824376e-08,0.006914579359798101,-1.2967945215946308e-18,-0.006914579359798101,1.391718033367957e-08,0.0,1.3917180333679568e+22,99.9999758472417,CANON-CANDIDATE
5.37448776621805e-08,0.004628660478611496,-8.680819524443544e-19,-0.004628660478611496,9.316243148316793e-09,0.0,9.316243148316792e+21,99.9999758472417,CANON-CANDIDATE
5.8082452218141016e-08,0.0029996933211761615,-5.625773692007829e-19,-0.002999693321176161,6.037572312679597e-09,0.0,6.037572312679596e+21,99.9999758472417,CANON-CANDIDATE
6.277009833155803e-08,0.001877132686482252,-3.520467778979218e-19,-0.0018771326864822522,3.7781610057015384e-09,0.0,3.778161005701538e+21,99.9999758472417,CANON-CANDIDATE
6.783606914108302e-08,0.0011310522169191305,-2.121231447665412e-19,-0.0011310522169191305,2.2765025680652864e-09,0.0,2.2765025680652863e+21,99.9999758472417,CANON-CANDIDATE
7.331089800444455e-08,0.0006542049996873479,-1.2269285164718125e-19,-0.0006542049996873479,1.316737936190157e-09,0.0,1.3167379361901568e+21,99.9999758472417,CANON-CANDIDATE
7.92275825275252e-08,0.00036203913192063846,-6.789861515036086e-20,-0.00036203913192063846,7.286869706178995e-10,0.0,7.286869706178995e+20,99.9999758472417,CANON-CANDIDATE
8.562178344582911e-08,0.00019101122832896147,-3.582319351198987e-20,-0.00019101122832896147,3.8445400249038743e-10,0.0,3.844540024903874e+20,99.9999758472417,CANON-CANDIDATE
9.253203955702539e-08,9.57084510470549e-05,-1.7949637791380086e-20,-9.570845104705492e-05,1.9263525709507502e-10,0.0,1.92635257095075e+20,99.9999758472417,CANON-CANDIDATE
1e-07,4.535455252512251e-05,-8.50601781880079e-21,-4.535455252512252e-05,9.12864620681572e-11,0.0,9.12864620681572e+19,99.9999758472417,CANON-CANDIDATE
