Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,Mbar_kg,N_baryon,Rbar_kpc,Vflat_used_kms,A_chi_obs_m2_s2,C_A_obs,f_A_obs,H_A_eff_m,H_A_eff_AU,H_A_eff_pc,epsilon_g,R_tension,p_chi,Lambda_target,theta_rms_rad,epsilon_z,Lambda_local_LPV,C_Lambda_req,f_Lambda_req,H_Lambda_eff_m,H_Lambda_eff_AU,H_Lambda_eff_pc,C_A_over_C_Lambda
ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,7.1314289233e+39,4.2577538022661866e+66,1.51,109.1,11902810000.0,3.2897517221433626e+32,7.726495882388489e-35,25.55543983576429,1.70827564030056e-10,8.281954015238642e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.0256439961297936e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.814340475004875e-26
ESO444-G084,10,4.83,0.48,2,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2,Co00,4.276204735000001e+38,2.553068559686324e+65,0.46,61.26666666666667,3753604444.444445,3.160406969215145e+31,1.2378856639883732e-34,7.920877630844968,5.294779660821047e-11,2.5669816180265524e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.378167575577739e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.6643702134186406e-27
ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,3.736431371948e+41,2.230801856391021e+68,5.45,314.6,98973160000.0,9.873033561650537e+33,4.425777902849282e-35,139.9997000518594,9.358401920881045e-10,4.537081284564892e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.866185336833224e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.1447402328814421e-24
F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",1.0354957525e+40,6.1823317947298436e+66,3.52,109.9,12078010000.0,7.78170428103918e+32,1.2587005258554272e-34,39.304218000506594,2.62732469497018e-10,1.2737629568384818e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3950550880998427e-09,130849971335155.17,874.6780333361735,0.004240558771273597,9.022586538642431e-26
F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",8.7050643119e+39,5.197278283440128e+66,2.43,116.6,13595560000.0,6.047001118240774e+32,1.1634938112719656e-34,34.6474935829488,2.3160418942345815e-10,1.12284879634777e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.659463464567561e-09,130849971335155.17,874.6780333361735,0.004240558771273597,7.011265002903575e-26
F565-V2,10,51.8,10.4,1,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2,"dB97,dB96",2.4043982699e+39,1.4355237899632233e+66,2.17,78.36666666666666,6141334444.444443,2.439265970634243e+32,1.6992166815269111e-34,22.005506903106888,1.470977280634977e-10,7.131499102531381e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.008046322088648e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.828234987602746e-26
F568-1,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",1.81116608398e+40,1.0813399899992247e+67,5.18,135.0,18225000000.0,1.7279611391046347e+33,1.5979813519204757e-34,58.56913150886516,3.915104622466071e-10,1.8980962839467363e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.97593125781419e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.0035044188161717e-25
F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",1.67475903045e+40,9.998994179806606e+66,4.99,114.66666666666667,13148444444.444445,1.2009131373488239e+33,1.2010339397677807e-34,48.826725114535726,3.263864979231668e-10,1.5823663952258043e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.625561002902907e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.3924125507472226e-25
F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.03908096391e+40,6.203736968471366e+66,2.85,112.3,12611290000.0,6.578714613750242e+32,1.060443833641656e-34,36.13868304188768,2.4157217527754344e-10,1.1711749554994388e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3902416350647553e-09,130849971335155.17,874.6780333361735,0.004240558771273597,7.627766331370606e-26
F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",1.48181977482e+40,8.847068165959573e+66,3.56,139.7,19516090000.0,1.2716848126632043e+33,1.437408177271882e-34,50.244848479019865,3.358660671031855e-10,1.6283246435207779e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.748645839244358e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.4744695837502074e-25
F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",5.0568979417e+39,3.0191742314921583e+66,2.47,83.6,6988960000.0,3.1597024186524222e+32,1.046545239322214e-34,25.045222244294145,1.6741697008855987e-10,8.116603754883979e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.8566398509226618e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.663553314164514e-26
F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",1.5819114007400002e+40,9.444655978191012e+66,4.46,97.8,9564840000.0,7.808169685560792e+32,8.267288616537131e-35,39.37099765866279,2.631788639399584e-10,1.2759271381695695e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.131823802237883e-10,130849971335155.17,874.6780333361735,0.004240558771273597,9.053272156336519e-26
F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",1.77169694295e+40,1.0577753037210504e+67,3.37,112.1,12566410000.0,7.75135809092143e+32,7.327981721310414e-35,39.22750611822344,2.622196822365831e-10,1.2712768940449064e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.153615797437589e-10,130849971335155.17,874.6780333361735,0.004240558771273597,8.987401299449695e-26
F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",6.6028737126e+39,3.942184793268176e+66,2.36,85.8,7361640000.0,3.179971686245468e+32,8.066521112038452e-35,25.125425490251107,1.6795309567364789e-10,8.142595856728332e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.1877953162640053e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.6870547496249646e-26
F583-4,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,"KN08,dB96",3.4003433541e+39,2.0301436080541286e+66,1.93,67.16666666666667,4511361111.111112,1.5936816606048441e+32,7.850093236174417e-35,17.786995125334965,1.188987185586657e-10,5.764372542363343e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.24831691331727e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.8478125329037008e-26
IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",3.7500158036e+39,2.2389123158992065e+66,2.78,66.4,4408960000.0,2.2434563761591878e+32,1.00202958384199e-34,21.103797603422358,1.4107017369079678e-10,6.83927502017968e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.852180081065567e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.601201300965179e-26
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,2.113108890376e+41,1.2616121550626877e+68,4.78,242.6,58854760000.0,5.1492759242603123e+33,4.081504687155184e-35,101.10552313201737,6.758486779184977e-10,3.2766068541468008e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.836247884858681e-11,130849971335155.17,874.6780333361735,0.004240558771273597,5.970387200550667e-25
KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,3.886464615e+38,2.320377819068551e+65,1.34,33.7,1135690000.0,2.785487889300364e+31,1.200445835333195e-34,7.436223526835641,4.970808402579517e-11,2.4099159197447877e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.7169349558863804e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.229665973659536e-27
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",5.6543735226e+39,3.375891511254516e+66,1.34,106.3,11299690000.0,2.771456088179735e+32,8.209553177109752e-35,23.456099730048333,1.5679434219412546e-10,7.60160422162822e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.5547898674487546e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.213396640447738e-26
NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",8.7402204615e+39,5.2182679380019764e+66,6.11,85.6,7327360000.0,8.19455574727359e+32,1.570359330841721e-34,40.33336955144687,2.69611922701296e-10,1.30711548715835e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.652788536163517e-09,130849971335155.17,874.6780333361735,0.004240558771273597,9.501271920041675e-26
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",8.476251069e+39,5.0606674491396845e+66,1.66,88.1,7761610000.0,2.358286578475897e+32,4.6600307215934664e-35,21.63715161271257,1.446354250329084e-10,7.012123282904664e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.7042600631712131e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.734342499889532e-26
NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",1.19073162846e+40,7.109153260982306e+66,3.74,104.9,11004010000.0,7.53284884748794e+32,1.0595986006984875e-34,38.670645819714025,2.5849730105626446e-10,1.2532302808196752e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.2131815294930898e-09,130849971335155.17,874.6780333361735,0.004240558771273597,8.734048243721822e-26
NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,1.442958509069e+41,8.615050566412873e+67,6.74,163.0,26569000000.0,3.2777194619257443e+33,3.8046433235162286e-35,80.66547369122051,5.392153866480167e-10,2.6141899651172673e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.0011193039520885e-10,130849971335155.17,874.6780333361735,0.004240558771273597,3.8003895324930337e-25
NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",5.3805612036e+39,3.2124143939939683e+66,1.75,93.3,8704890000.0,2.788290446035025e+32,8.679734629654572e-35,23.52723031119489,1.572698207608572e-10,7.624656073050811e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.6848010152999875e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.232915430302285e-26
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",3.721269089351e+41,2.2217493555426304e+68,8.72,220.1,48444010000.0,7.732024910041215e+33,3.48015175102989e-35,123.8934711396435,8.281767017131982e-10,4.015113953667298e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.881938079578217e-11,130849971335155.17,874.6780333361735,0.004240558771273597,8.964985220495885e-25
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,1.493429655762e+41,8.916383888315234e+67,2.55,216.1,46699210000.0,2.179648127201918e+33,2.4445427142928525e-35,65.78017020568299,4.3971327865753504e-10,2.1317901325870274e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.672860135443261e-11,130849971335155.17,874.6780333361735,0.004240558771273597,2.5272180927495965e-25
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",2.2331313488e+40,1.3332704558335867e+67,1.61,109.8,12056040000.0,3.5527711271589665e+32,2.664704007813407e-35,26.557391381643807,1.775251964307792e-10,8.606664397129952e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.468825127582216e-10,130849971335155.17,874.6780333361735,0.004240558771273597,4.1193013495626295e-26
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,9.48577541483e+40,5.663394640024869e+67,3.53,164.4,27027360000.0,1.7462845283086933e+33,3.0834590193789233e-35,58.87884766093973,3.935807868483233e-10,1.9081335008592327e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.5228840606667362e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.0247496831958105e-25
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",1.84433972899e+40,1.1011460084978281e+67,1.39,131.2,17213440000.0,4.3794456882840406e+32,3.977170742559776e-35,29.485695140284463,1.970996980258788e-10,9.555663014550424e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.832470317287911e-10,130849971335155.17,874.6780333361735,0.004240558771273597,5.077798678382889e-26
NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",8.36698066556e+40,4.9954285635354603e+67,2.18,154.0,23716000000.0,9.463125718047363e+32,1.8943571302619006e-35,43.34301352908927,2.8973015007685716e-10,1.4046514058717942e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.726517218065324e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.0972129964534337e-25
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",2.1288808378749998e+41,1.2710286507124732e+68,3.64,284.8,81111040000.0,5.404033443638308e+33,4.251700731221979e-35,103.57640009045161,6.923654702155571e-10,3.3566825228833906e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.785601112708783e-11,130849971335155.17,874.6780333361735,0.004240558771273597,6.265768736772561e-25
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",8.81402451402e+40,5.262331966209983e+67,2.33,184.6,34077160000.0,1.45330239373499e+33,2.761707933035783e-35,53.71304743602306,3.590495451886339e-10,1.740721317036063e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.6389489454370066e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.685048177202009e-25
NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,1.9807945058e+39,1.1826150732601414e+66,0.55,83.5,6972250000.0,7.0189526867261535e+31,5.935111808931075e-35,11.804237965807616,7.890645709442986e-11,3.8254929927262203e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.292899965145392e-09,130849971335155.17,874.6780333361735,0.004240558771273597,8.13820542897403e-27
NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,SG06,3.941409421499e+41,2.3531821085457347e+68,18.76,243.0,59049000000.0,2.0275989409558603e+34,8.616413211678357e-35,200.62859250443563,1.341119305813994e-09,6.50192987458748e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.6651194122368016e-11,130849971335155.17,874.6780333361735,0.004240558771273597,2.3509229147925114e-24
