Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,Mbar_kg,N_baryon,Rbar_kpc,Vflat_used_kms,A_chi_obs_m2_s2,C_A_obs,f_A_obs,H_A_eff_m,H_A_eff_AU,H_A_eff_pc,epsilon_g,R_tension,p_chi,Lambda_target,theta_rms_rad,epsilon_z,Lambda_local_LPV,C_Lambda_req,f_Lambda_req,H_Lambda_eff_m,H_Lambda_eff_AU,H_Lambda_eff_pc,C_A_over_C_Lambda
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",1.397936565564e+41,8.346251209081379e+67,44.59,194.2,37713640000.0,3.078028225327105e+34,3.687917063864514e-34,247.19409810912904,1.6523904849210468e-09,8.011015136249439e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.0333613511626578e-10,130849971335155.17,874.6780333361735,0.004240558771273597,3.56885523124622e-24
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",1.830411689722e+41,1.092830401234649e+68,54.59,179.0,32041000000.0,3.2015171362060864e+34,2.9295644892282486e-34,252.10398691796334,1.6852110644243504e-09,8.170133795900887e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.892069452694e-11,130849971335155.17,874.6780333361735,0.004240558771273597,3.712035869410939e-24
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",3.67997990173e+41,2.197098027249724e+68,46.24,209.5,43890250000.0,3.714689810307188e+34,1.690725568106376e-34,271.55829658260564,1.815255092281241e-09,8.800605034416988e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.925493227698852e-11,130849971335155.17,874.6780333361735,0.004240558771273597,4.307039829228006e-24
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",7.3770049683e+39,4.4043727128085076e+66,10.96,90.3,8154090000.0,1.635771846625338e+33,3.71397234813551e-34,56.98534253978563,3.8092348689950724e-10,1.846769179048302e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.9582115295278106e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.8966144832326012e-25
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",2.300177586025e+41,1.373299792806953e+68,50.33,215.0,46225000000.0,4.2583418698717495e+34,3.1008101014622027e-34,290.751564902575,1.943554166527151e-09,9.422616499098043e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.280269953970414e-11,130849971335155.17,874.6780333361735,0.004240558771273597,4.937383463113488e-24
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",2.381657729286e+41,1.4219467601272387e+68,34.72,293.6,86200960000.0,5.478081554192895e+34,3.852522265814442e-34,329.77372148458613,2.2044011718984056e-09,1.068723846790241e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,6.065412340605176e-11,130849971335155.17,874.6780333361735,0.004240558771273597,6.351624670302395e-24
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,4.441134601057e+41,2.6515384136053743e+68,36.43,251.7,63352890000.0,4.224373181293495e+34,1.5931781940694162e-34,289.5895839409624,1.9357868035548345e-09,9.384959260746815e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.252712984396124e-11,130849971335155.17,874.6780333361735,0.004240558771273597,4.897998076412495e-24
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",1.7383244509399999e+40,1.0378505654568254e+67,23.5,116.3,13525690000.0,5.817869376678688e+33,5.605690809753393e-34,107.46914200648645,7.183868426977982e-10,3.4828376966897673e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.3101495664388e-10,130849971335155.17,874.6780333361735,0.004240558771273597,6.745595569533936e-25
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",2.984821726315e+41,1.782060256224725e+68,72.41,241.3,58225690000.0,7.717024264059866e+34,4.3303946862090384e-34,391.40532641406696,2.6163830045347494e-09,1.2684582756209198e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.839731651291421e-11,130849971335155.17,874.6780333361735,0.004240558771273597,8.947592548966072e-24
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,8.0786763772e+40,4.823299149756432e+67,20.4,158.9,25249210000.0,9.427892812718321e+33,1.9546564540153833e-34,136.80725113086442,9.144999891423215e-10,4.433621061107196e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.7881315586645362e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.0931278767179839e-24
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",2.784546209467e+41,1.662487607807189e+68,36.31,239.0,57121000000.0,3.7962842687290015e+34,2.283496280454251e-34,274.5245328465288,1.8350831570126675e-09,8.896734204934198e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.1878241895199557e-11,130849971335155.17,874.6780333361735,0.004240558771273597,4.401645462595272e-24
NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",9.2864134011e+39,5.544367390210597e+66,7.87,95.43333333333334,9107521111.111113,1.3119328100231002e+33,2.36624436602003e-34,51.033763332500165,3.4113963717332617e-10,1.6538916327037178e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.5555775473659043e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.5211355872465803e-25
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,7.6929131972e+40,4.5929828044510856e+67,19.53,218.9,47917210000.0,1.7128938138163467e+34,3.729371275146886e-34,184.4025910242913,1.2326551852739125e-09,5.976080979114026e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.8777978916448504e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.9860344351969406e-24
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",3.1603211058100005e+40,1.8868405405656114e+67,53.75,129.3,16718490000.000004,1.644796574423506e+34,8.717199673537073e-34,180.69989281639062,1.207904176515733e-09,5.8560847024417535e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.5709710180246115e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.9070783076862066e-24
UGC00191,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",5.5442321693e+39,3.31013263307687e+66,9.98,80.5,6480250000.0,1.1837472320298545e+33,3.576132328357867e-34,48.47650340834978,3.2404541041605733e-10,1.5710164827045914e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.6055431556959647e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.3725093443722482e-25
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",5.1000477407e+39,3.044936420631983e+66,10.91,73.3,5372890000.0,1.0729250235452528e+33,3.5236368689844924e-34,46.15157065082005,3.0850419484493403e-10,1.4956705434050601e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.8324707761120435e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.2440152599989645e-25
UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",2.4581267293e+40,1.4676018706341018e+67,36.54,103.7,10753690000.0,7.192216139304177e+33,4.900658879779609e-34,119.49044091978416,7.987442626065677e-10,3.87242146219412e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.876725561022118e-10,130849971335155.17,874.6780333361735,0.004240558771273597,8.33909773204937e-25
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",1.1284964944e+39,6.737584138540722e+65,4.99,55.2,3047040000.0,2.7830139006089644e+32,4.1305812935075735e-34,23.504958369090453,1.5712094202347795e-10,7.617438228180034e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.2800869346066978e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.226797479013939e-26
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",5.346365286163e+41,3.1919980371803056e+68,80.38,332.0,110224000000.0,1.6216638805366505e+35,5.0804037522816556e-34,567.390709588069,3.792772630607161e-09,1.8387880606561563e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.7019732863551632e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.8802568396724917e-23
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",5.071836322575e+41,3.028093053884459e+68,74.07,289.5,83810250000.0,1.1362559103223622e+35,3.752381086389552e-34,474.94123385655416,3.1747860556718082e-09,1.5391797143854737e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.8482260198363072e-11,130849971335155.17,874.6780333361735,0.004240558771273597,1.3174449851438434e-23
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",1.385792780427e+41,8.273747861018788e+67,40.04,219.6,48224160000.0,3.5342349299737884e+34,4.271625132094127e-34,264.8802062829113,1.770614815862558e-09,8.5841828670541e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.0424167585761187e-10,130849971335155.17,874.6780333361735,0.004240558771273597,4.097809342521432e-24
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",1.078262771025e+41,6.437668330639881e+67,29.23,196.9,38769610000.0,2.074230051813111e+34,3.2220206840120637e-34,202.92252589624846,1.3564533034242476e-09,6.576271192862998e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.339723170501087e-10,130849971335155.17,874.6780333361735,0.004240558771273597,2.4049898926559243e-24
UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",4.2509113966e+39,2.5379674054992923e+66,6.69,91.4,8353960000.0,1.0229518302405599e+33,4.030594829642091e-34,45.06396390808998,3.012339928183883e-10,1.4604236093360636e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.3982680029188837e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.1860732661991583e-25
UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",3.8074030478e+39,2.273174840257517e+66,5.59,90.9,8262810000.0,8.454272632538452e+32,3.7191475476566102e-34,40.96754344553371,2.738511133469877e-10,1.3276676633769788e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.794117933129266e-09,130849971335155.17,874.6780333361735,0.004240558771273597,9.8024036500868e-26
UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",4.45218433e+39,2.658135552261185e+66,8.18,72.8,5299840000.0,7.935106076362444e+32,2.9852149825889508e-34,39.689732048694935,2.6530947173899137e-10,1.2862566162700682e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.244640183689116e-09,130849971335155.17,874.6780333361735,0.004240558771273597,9.200450014752631e-26
UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",1.22563126543e+40,7.31751832162427e+66,28.61,98.9,9781210000.0,5.122088942144188e+33,6.999762374366338e-34,100.83826304580766,6.74062154587924e-10,3.2679455446239656e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.1786363965870981e-09,130849971335155.17,874.6780333361735,0.004240558771273597,5.938864941414588e-25
UGC05414,10,9.4,2.82,1,55.0,3.0,1.123,0.028,2.33,32.87,1.47,127.3,0.574,6.65,0.0,0.0,1,"Sw09,Sw02",2.6345636723999998e+39,1.5729419186698922e+66,4.11,56.666666666666664,3211111111.1111107,2.415648995753065e+32,1.5357521896267987e-34,21.89871912775234,1.4638389587554697e-10,7.096891541457895e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,5.4831607729371825e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.8008520144196635e-26
UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",2.0142405712000002e+39,1.2025837378376462e+66,6.74,79.7,6352090000.0,7.836338972826942e+32,6.516252237800409e-34,39.44195247355997,2.6365316758188303e-10,1.278226627115621e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.1718028069024744e-09,130849971335155.17,874.6780333361735,0.004240558771273597,9.085933360477879e-26
UGC05750,8,58.7,11.7,1,64.0,10.0,3.336,0.264,8.8,6.87,3.46,124.98,1.099,16.79,0.0,0.0,1,"dB01,VdH93",6.2232549049e+39,3.715536888720528e+66,22.85,76.63333333333334,5872667777.77778,2.4561693747782138e+33,6.610536911191894e-34,69.82821726786526,4.667728019197351e-10,2.262978403405191e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.321250921432589e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.847833833970917e-25
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",4.0652678374e+39,2.427130632315235e+66,7.85,85.0,7225000000.0,1.0381119315690637e+33,4.277116022300006e-34,45.396658796395045,3.0345792078439686e-10,1.4712055163732941e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.553452505492967e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.203650820065385e-25
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",4.6292973529e+39,2.7638792475000878e+66,10.22,82.2,6756840000.0,1.2639538158154993e+33,4.573115185689599e-34,50.091888039829755,3.3484358972115873e-10,1.6233675332864616e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.1205029794121014e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.4655057905284129e-25
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",1.815195519588e+41,1.083745727329775e+68,64.59,199.8,39920040000.0,4.719466707504491e+34,4.354773069447494e-34,306.0893801805775,2.046081129018219e-09,9.919681240080782e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.958226001785081e-11,130849971335155.17,874.6780333361735,0.004240558771273597,5.472039960250802e-24
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",3.5284803609e+39,2.1066466250205022e+66,7.85,83.8,7022440000.0,1.0090074398239246e+33,4.78963784357571e-34,44.7557647898577,2.991738089615583e-10,1.4504355561421418e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.094038992645652e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.1699052823335586e-25
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",8.6286474097999995e+40,5.151654277511858e+67,34.05,219.4,48136360000.0,3.000039944222766e+34,5.82344967774453e-34,244.0424167434483,1.6313227962505238e-09,7.90887609928118e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.6741599808449974e-10,130849971335155.17,874.6780333361735,0.004240558771273597,3.47843082165019e-24
UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",1.2142771017299999e+40,7.249729335454501e+66,10.47,108.7,11815690000.0,2.2643442013269867e+33,3.1233499852929753e-34,67.04602284600834,4.4817498091574335e-10,2.172813622789576e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.18965729994644e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.6254199301207103e-25
UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",1.74412879487e+40,1.0413159954153117e+67,16.61,107.2,11491840000.0,3.493782600382226e+33,3.3551607924631835e-34,83.28172985192342,5.567039788884069e-10,2.6989770529321393e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.282493944712224e-10,130849971335155.17,874.6780333361735,0.004240558771273597,4.0509064236686974e-25
UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",1.31141783817e+40,7.829699134467737e+66,15.68,109.0,11881000000.0,3.4098535645195456e+33,4.3550250219817e-34,82.27533568428159,5.499766493954621e-10,2.666362039177027e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.1015357395524762e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.95359393763386e-25
UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1.4938520067899997e+40,8.918905496137027e+66,18.68,65.2,4251040000.0,1.4534789210391192e+33,1.62966063679972e-34,53.71630950026666,3.590713507412687e-10,1.740827033338478e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,9.670125364928292e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.6852528538153084e-25
UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",3.8999464416e+39,2.328427019177676e+66,5.5,73.5,5402250000.0,5.438436251119276e+32,2.3356696200166727e-34,32.85782555774835,2.196409975890676e-10,1.064849605637266e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.7040857864659464e-09,130849971335155.17,874.6780333361735,0.004240558771273597,6.30565746762881e-26
UGC07323,8,8.0,2.4,1,47.0,3.0,4.109,0.042,3.26,61.49,2.26,283.68,0.722,7.14,0.0,0.0,1,"Sw09,Sw02",5.9947598172e+39,3.579116006045078e+66,5.82,82.63333333333333,6828267777.777777,7.273948187157537e+32,2.0323309372682913e-34,38.00028905482003,2.540162428583285e-10,1.2315054976176014e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.4097272656131603e-09,130849971335155.17,874.6780333361735,0.004240558771273597,8.433862895065681e-26
UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",3.1196111595e+39,1.8625350429499596e+66,6.13,103.0,10609000000.0,1.1903415639214385e+33,6.390975398970892e-34,48.611340551273976,3.249467410452519e-10,1.5753862569069573e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,4.6306207548713586e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.3801552183360429e-25
UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",7.1268156729e+39,4.254999503703772e+66,10.69,79.5,6320250000.0,1.2366552256273699e+33,2.9063580960489446e-34,49.547998644631654,3.3120791367407916e-10,1.6057412784093974e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.0269552132854354e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.4338541261294616e-25
UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",1.0561559558e+39,6.305681631210387e+65,4.11,61.6,3794560000.0,2.854564895499058e+32,4.526972756395123e-34,23.80519585181549,1.5912790563412405e-10,7.714738569773055e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3677654424972572e-08,130849971335155.17,874.6780333361735,0.004240558771273597,3.309758103063202e-26
UGC07608,10,8.21,2.46,1,25.0,10.0,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0.0,0.0,1,"Sw09,Sw02",1.6773738685e+39,1.0014605828985808e+66,4.78,65.56666666666666,4298987777.777777,3.761237708351958e+32,3.755752121032669e-34,27.325441604929672,1.826592950626113e-10,8.855572522817748e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.612114719079996e-09,130849971335155.17,874.6780333361735,0.004240558771273597,4.3610103250388237e-26
