E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,action_bem,action_pressure,action_total,pressure_Ep,pressure_kappa_eff,d_action_bem_dlogE,d2_action_bem_dlogE2,d_action_pressure_dlogE,d2_action_pressure_dlogE2,d_action_total_dlogE,d2_action_total_dlogE2,d_lambda_min_dlogE,d2_lambda_min_dlogE2
264.50266609717323,264.50266609717323,161.12292648704567,29.813579387621285,200.96775364775567,145.18795479227623,216.90272534252512,2,3,1405.4822207147197,2257.7750347690258,3663.257255483745,274.0748756567669,6736.341149140669,-0.00529132760129869,0.010203299830943813,-681.442683230387,18164.70824896713,-681.4479745579883,18164.7184520975,-0.0020557276729959995,0.003962987148180108
264.68438574845356,264.68438574845356,161.12292467297402,29.81357938740568,200.9677536472718,145.18795338136175,216.90272493888403,2,3,1405.4822170831053,2257.3113120515172,3662.7935291346225,274.0748756567669,6736.341149140669,-0.005284325103275478,0.010189400263117765,-668.9545277568977,18202.17274272343,-668.9598120823503,18202.182931954216,-0.002053007687209174,0.003957848969525113
264.86623024547634,264.86623024547634,161.1229228613023,29.813579387190217,200.96775364678922,145.18795197231415,216.9027245357774,2,3,1405.4822134562974,2256.8561748849024,3662.3383883412,274.0748756567669,6736.341149140669,-0.005277331685647368,0.010176771997221223,-656.4406156111509,18239.714505860757,-656.4458929430693,18239.724682887027,-0.0020502912666415796,0.003952689602501724
265.04819967401306,265.04819967401306,161.12292105202732,29.81357938697485,200.96775364630793,145.18795056513088,216.90272413320437,2,3,1405.4822098342893,2256.4096409767776,3661.891850811067,274.0748756567669,6736.341149140669,-0.005270346533507109,0.010163889470936827,-643.9008936728351,18277.333697727125,-643.9061640193686,18277.343861870875,-0.0020475783676374704,0.003947593800575078
265.2302941198952,265.2302941198952,161.12291924514608,29.813579386759592,200.967753645828,145.18794915980965,216.90272373116443,2,3,1405.4822062170758,2255.9717280712584,3661.4539342883345,274.0748756567669,6736.341149140669,-0.005263370811007917,0.010150074656566588,-631.3353087080177,18315.030479523877,-631.3405720787123,18315.040629598487,-0.0020448689465411007,0.003942434433551689
265.41251366901207,265.41251366901207,161.12291744065533,29.81357938654443,200.96775364534938,145.18794775634797,216.90272332965674,2,3,1405.4822026046495,2255.542453949062,3661.0246565537113,274.0748756567669,6736.341149140669,-0.005256404634565115,0.010136937869888563,-618.7438073749654,18352.805010236334,-618.7490637796,18352.81514708948,-0.0020421631343197078,0.003937275066525858
265.5948584073132,265.5948584073132,161.12291563855203,29.813579386329398,200.96775364487203,145.1879463547434,216.90272292868067,2,3,1405.4821989970046,2255.121836427572,3660.6040354245765,274.0748756567669,6736.341149140669,-0.005249446956440806,0.010124055343603278,-606.1263362213504,18390.657450581028,-606.1315856683068,18390.667574721156,-0.0020394608000060543,0.003932200452964718
265.77732842080593,265.77732842080593,161.12291383883309,29.81357938611447,200.96775364439603,145.18794495499355,216.90272252823556,2,3,1405.482195394135,2254.709893360927,3660.192088755062,274.0748756567669,6736.341149140669,-0.005242498475126922,0.010110664296552052,-593.4828416847158,18428.587960233446,-593.4880841830745,18428.598071491055,-0.0020367619581520557,0.003927072868492587
265.9599237955579,265.9599237955579,161.12291204149537,29.813579385899654,200.9677536439213,145.18794355709605,216.90272212832062,2,3,1405.4821917960344,2254.3066426400833,3659.7888344361177,274.0748756567669,6736.341149140669,-0.005235559190623462,0.010097527509880688,-580.8132700934075,18466.596702235518,-580.8185056517832,18466.606799424044,-0.002034066666965373,0.0039219452840175695
266.1426446176948,266.1426446176948,161.1229102465358,29.813579385684946,200.96775364344788,145.1879421610484,216.9027217289353,2,3,1405.4821882026968,2253.9121021929013,3659.394290395598,274.0748756567669,6736.341149140669,-0.005228628753684461,0.010084729737052545,-568.1175676609855,18504.68383761862,-568.1227962900884,18504.69392192457,-0.002031374868238345,0.003916891858819493
