q_m_inv,power
-5.0003922135116088e+16,6.6966645452977124e-09
-4.9978895147060472e+16,4.6946880585764549e-09
-4.9953868159004864e+16,3.9787202007661758e-09
-4.9928841170949248e+16,1.8017954852528709e-09
-4.9903814182893632e+16,9.8598579069118828e-10
-4.9878787194838024e+16,2.4381119486498257e-10
-4.9853760206782408e+16,5.6753341063061272e-10
-4.9828733218726792e+16,1.2850227858174051e-09
-4.9803706230671176e+16,2.5120317799412203e-09
-4.9778679242615568e+16,4.1630727417895870e-09
-4.9753652254559952e+16,6.3173205401969006e-09
-4.9728625266504336e+16,7.6376367295509235e-09
-4.9703598278448728e+16,8.7158977303209495e-09
-4.9678571290393112e+16,9.1081281285852401e-09
-4.9653544302337496e+16,9.4770605686234385e-09
-4.9628517314281888e+16,7.5272980019240726e-09
-4.9603490326226272e+16,6.7584531809303260e-09
-4.9578463338170664e+16,4.5419642134802146e-09
-4.9553436350115048e+16,3.1210437084940639e-09
-4.9528409362059432e+16,1.0361686033497838e-09
-4.9503382374003816e+16,4.7840331221921100e-10
-4.9478355385948208e+16,4.9024989225765235e-11
-4.9453328397892592e+16,3.4304148424366744e-10
-4.9428301409836976e+16,1.8288951560538268e-09
-4.9403274421781368e+16,2.5552570273164804e-09
-4.9378247433725752e+16,5.5897947516839601e-09
-4.9353220445670136e+16,6.0461636397417164e-09
-4.9328193457614520e+16,8.4099467640278955e-09
-4.9303166469558912e+16,8.0444673118322090e-09
-4.9278139481503296e+16,9.7153567942255341e-09
-4.9253112493447680e+16,7.4286759922374038e-09
-4.9228085505392064e+16,7.4092058735919155e-09
-4.9203058517336456e+16,5.1389901219273949e-09
-4.9178031529280840e+16,3.9544996508112183e-09
-4.9153004541225224e+16,1.7715593330983571e-09
-4.9127977553169608e+16,9.5336697637082465e-10
-4.9102950565114000e+16,1.1242091043435649e-10
-4.9077923577058384e+16,8.3769534257635691e-11
-4.9052896589002768e+16,6.1626360438235709e-10
-4.9027869600947152e+16,1.5632627665534459e-09
-4.9002842612891544e+16,2.8464861722623823e-09
-4.8977815624835928e+16,4.4739210070039944e-09
-4.8952788636780312e+16,4.9569176998668069e-09
-4.8927761648724704e+16,6.4987230066987189e-09
-4.8902734660669088e+16,6.0805601488879148e-09
-4.8877707672613472e+16,6.6011144571275919e-09
-4.8852680684557864e+16,4.8001600230229979e-09
-4.8827653696502248e+16,5.0145815683900427e-09
-4.8802626708446632e+16,2.7031549296055564e-09
-4.8777599720391024e+16,2.2894521591747578e-09
-4.8752572732335408e+16,7.0478850423609660e-10
-4.8727545744279800e+16,5.3856218678062152e-10
-4.8702518756224184e+16,1.2423207454076125e-10
-4.8677491768168568e+16,1.4501487133569455e-10
-4.8652464780112952e+16,9.8454474176521771e-10
-4.8627437792057344e+16,1.1367896845918382e-09
-4.8602410804001728e+16,2.6963444829082727e-09
-4.8577383815946112e+16,2.3230828104803575e-09
-4.8552356827890496e+16,3.7383068877700200e-09
-4.8527329839834888e+16,3.0560109028197238e-09
-4.8502302851779272e+16,3.7216746965703076e-09
-4.8477275863723656e+16,2.4729787995668666e-09
-4.8452248875668048e+16,2.7078700712096269e-09
-4.8427221887612432e+16,1.4759406862137575e-09
