E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,action_bem,action_pressure,action_total,pressure_Ep,pressure_kappa_eff,d_action_bem_dlogE,d2_action_bem_dlogE2,d_action_pressure_dlogE,d2_action_pressure_dlogE2,d_action_total_dlogE,d2_action_total_dlogE2,d_lambda_min_dlogE,d2_lambda_min_dlogE2
267.79279138940086,267.79279138940086,576.7105906573896,363.133790709151,818.3057083307111,314.80957335913195,1080.2067256289688,2,3,7014.599613057886,2250.756176943426,9265.355790001311,274.0748756567669,6736.341149140669,-0.013756572268903255,0.025716234574097996,-452.67142861057073,18851.02249842265,-452.68518518377095,18851.048214996234,-0.004521395923802629,0.008451466951587161
267.976771435367,267.976771435367,576.7105859400012,363.1337907087994,818.3057083296225,314.80957025588464,1080.2067240137392,2,3,7014.5996036161,2250.4497334376956,9265.049337053795,274.0748756567669,6736.341149140669,-0.013738922774791718,0.02568504529993554,-439.7114351678174,18889.902506865736,-439.7251740898937,18889.928192589025,-0.004515595122938976,0.008441084652444086
268.1608778800203,268.1608778800203,576.7105812286635,363.1337907084478,818.3057083285372,314.80956715661887,1080.2067224005818,2,3,7014.599594186431,2250.152199869348,9264.75179405578,274.0748756567669,6736.341149140669,-0.013721291907131672,0.02565385602575887,-426.72471189312637,18928.862704784842,-426.7384331850335,18928.888359149394,-0.004509801452513784,0.008430575223101755
268.3451108102001,268.3451108102001,576.7105765233696,363.13379070809634,818.3057083274548,314.80956406132964,1080.2067207894947,2,3,7014.599584768864,2249.8635946150202,9264.463179383883,274.0748756567669,6736.341149140669,-0.013703685253858566,0.025620632668497123,-413.7112036575563,18967.90325662645,-413.7249073414132,18967.928876072576,-0.004504015087150037,0.008420171735592064
268.5294703128045,268.5294703128045,576.710571824111,363.13379070774454,818.3057083263752,314.80956097001183,1080.2067191804745,2,3,7014.599575363378,2249.5839360892546,9264.183511452633,274.0748756567669,6736.341149140669,-0.013686100021004677,0.025590121422052192,-400.6708552178461,19007.024329015752,-400.68454131949693,19007.049917611585,-0.0044982357067056,0.008409831813185331
268.71395647479227,268.71395647479227,576.7105671308813,363.1337907073928,818.3057083252988,314.809557882661,1080.2067175735192,2,3,7014.599565969964,2249.31324274457,9263.912808714533,274.0748756567669,6736.341149140669,-0.013668535277247429,0.02555689806477801,-387.6036112161819,19046.226089049887,-387.61727975215763,19046.25164781249,-0.004492463544011116,0.008399110500187046
268.8985693831812,268.8985693831812,576.7105624436724,363.13379070704116,818.3057083242252,314.8095547992717,1080.2067159686258,2,3,7014.599556588606,2249.0515330715452,9263.65108966015,274.0748756567669,6736.341149140669,-0.013650995679199696,0.025520962596738528,-374.5094161797315,19085.508702555613,-374.52306717447937,19085.534225382842,-0.00448669889010489,0.008388601070855373
269.0833091250488,269.0833091250488,576.7105577624769,363.1337907066894,818.3057083231542,314.80955171983913,1080.206714365792,2,3,7014.599547219284,2248.7988255988967,9263.398372818181,274.0748756567669,6736.341149140669,-0.013633480295538902,0.02549248543335736,-361.3882145229727,19124.87233543102,-361.4018480014056,19124.897826560395,-0.004480941162910312,0.00837840946699675
269.26817578753327,269.26817578753327,576.710553087287,363.1337907063374,818.3057083220863,314.80954864435853,1080.2067127650148,2,3,7014.599537861986,2248.555138893553,9263.15467675554,274.0748756567669,6736.341149140669,-0.013615979813039303,0.025467398408485664,-348.23995054513216,19164.317154677527,-348.2535665258765,19164.342620211362,-0.004475190507946536,0.008367984791121774
269.45316945783156,269.45316945783156,576.7105484180963,363.1337907059857,818.3057083210213,314.80954557282485,1080.2067111662927,2,3,7014.599528516701,2248.3204915607394,9262.92002007744,274.0748756567669,6736.341149140669,-0.01359849888831377,0.02543281899584393,-335.06456843134947,19203.84332878489,-335.0781669309363,19203.8687629599,-0.004469447099836543,0.008357623680349757
