selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g011_nc8_nt4_ns14_tf0p3_of2p2,8,4,14,0.3,2.2,16.371637,137.15470540383689,18975.220015991035,12061.372412689605,1.57322229732559,0.786611148662795,137.94131655249967,0.0057352108069986035,PASS_SUBLEADING_CORRECTION
M_Lcert2,g012_nc8_nt4_ns14_tf0p3_of2p8,8,4,14,0.3,2.8,16.371637,137.15470540383689,10913.17143261799,12061.372412689605,0.9048034551305614,0.4524017275652807,137.60710713140216,0.003298477629573362,PASS_SUBLEADING_CORRECTION
M_Lcert2,g013_nc8_nt4_ns18_tf0p36_of2p2,8,4,18,0.36,2.2,16.371637,137.15470540383689,32652.807383171992,13133.49440492868,2.4862238773953558,1.2431119386976779,138.39781734253455,0.009063574851752057,PASS_SUBLEADING_CORRECTION
M_Lcert2,g014_nc8_nt4_ns18_tf0p36_of2p8,8,4,18,0.36,2.8,16.371637,137.15470540383689,19628.42838307524,13133.49440492868,1.4945320550568149,0.7472660275284074,137.9019714313653,0.005448344082167397,PASS_SUBLEADING_CORRECTION
M_Lcert2,g015_nc8_nt4_ns18_tf0p3_of2p2,8,4,18,0.3,2.2,16.371637,137.15470540383689,19554.968467268904,13133.49440492868,1.4889387290506935,0.7444693645253467,137.89917476836223,0.00542795350938445,PASS_SUBLEADING_CORRECTION
M_Lcert2,g016_nc8_nt4_ns18_tf0p3_of2p8,8,4,18,0.3,2.8,16.371637,137.15470540383689,11266.801169036153,13133.49440492868,0.8578677404246654,0.4289338702123327,137.5836392740492,0.0031273726187474524,PASS_SUBLEADING_CORRECTION
M_Lcert2,g017_nc10_nt3_ns14_tf0p36_of2p2,10,3,14,0.36,2.2,16.371637,137.15470540383689,-362.2374918347202,11525.311416570066,-0.03142973571316497,-0.015714867856582486,137.1389905359803,0.00011457767934619372,PASS_SUBLEADING_CORRECTION
M_Lcert2,g018_nc10_nt3_ns14_tf0p36_of2p8,10,3,14,0.36,2.8,16.371637,137.15470540383689,-272.5302192628783,11525.311416570066,-0.02364623474477736,-0.01182311737238868,137.1428822864645,8.620278347415655e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g019_nc10_nt3_ns14_tf0p3_of2p2,10,3,14,0.3,2.2,16.371637,137.15470540383689,-418.04722934091285,11525.311416570066,-0.03627209836082015,-0.018136049180410074,137.13656935465647,0.00013223060140015233,PASS_SUBLEADING_CORRECTION
M_Lcert2,g020_nc10_nt3_ns14_tf0p3_of2p8,10,3,14,0.3,2.8,16.371637,137.15470540383689,-313.5899936758904,11525.311416570066,-0.02720880871167079,-0.013604404355835395,137.14110099948104,9.919021236477982e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g021_nc10_nt3_ns18_tf0p36_of2p2,10,3,18,0.36,2.2,16.371637,137.15470540383689,-337.2315601875604,12597.433408809144,-0.026769862498478524,-0.013384931249239262,137.14132047258764,9.759002587500596e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g022_nc10_nt3_ns18_tf0p36_of2p8,10,3,18,0.36,2.8,16.371637,137.15470540383689,-134.444397000165,12597.433408809144,-0.010672364174288915,-0.0053361820871444575,137.14936922174974,3.8906299797973817e-05,PASS_SUBLEADING_CORRECTION
