file,relative_path,input_format_detected,knot_id,harmonics_N,scale_m_per_unit,length_series_units,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3.000),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),H_used,xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,mass_fluid_over_m_e,mass_fluid_over_m_p,mass_energy_over_m_e,mass_energy_over_m_p,fit_source_txt_found,fit_rms_raw_vs_fs,fit_rel_bbox,type_meta,chiral_meta
knot_3.1.fseries,knot_3.1\knot_3.1.fseries,fseries,3_1,100,1.0,57.0069477144071,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4215362578655121,0.02851952439126358,,
knot_3.1_ideal.txt,knot_3.1\knot_3.1_ideal.txt,ideal,3_1,100,1.0,57.0069477144071,57.0069477144071,3.3725391599322694,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4215362578655121,0.02851952439126358,,
knot_4.1.fseries,knot_4.1\knot_4.1.fseries,fseries,4_1,100,1.0,82.18879026426585,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.332335575236474,0.017255225194180258,,
knot_4.1_ideal.txt,knot_4.1\knot_4.1_ideal.txt,ideal,4_1,100,1.0,82.18879026426585,82.18879026426585,-0.0030673530555624345,4,0.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,0.332335575236474,0.017255225194180258,,
knot_4.2.1.fseries,knot_4.2.1\knot_4.2.1.fseries,fseries,4_2_1,100,1.0,114.90304299053389,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,-3.0,,,-3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-3.3935322986146806e-36,-2.8356086869041814e-06,-3.725314916810325e-06,-2.0288699140856354e-09,-3.1128436125017487e+24,-1.6953076165882701e+21,True,2.305178495042742,0.09207906657381731,,
knot_4.2.1_ideal.txt,knot_4.2.1\knot_4.2.1_ideal.txt,ideal,4_2_1,100,1.0,114.90304299053389,114.90304299053389,-3.5854023170870244,6,-1.0,writhe_fallback,-3.0,,,-3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-3.3935322986146806e-36,-2.8356086869041814e-06,-3.725314916810325e-06,-2.0288699140856354e-09,-3.1128436125017487e+24,-1.6953076165882701e+21,True,2.305178495042742,0.09207906657381731,,
knot_5.1.fseries,knot_5.1\knot_5.1.fseries,fseries,5_1,100,1.0,84.18497548443696,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,2.0,,,2.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.657539121269153e-36,1.3850265497909178e-06,1.8195952389141468e-06,9.909825393251019e-10,1.520439357014736e+24,8.280571539654262e+20,True,0.37219331942136025,0.018648839289347952,,
knot_5.1_ideal.txt,knot_5.1\knot_5.1_ideal.txt,ideal,5_1,100,1.0,84.18497548443696,84.18497548443696,6.12780141903554,5,1.0,writhe_fallback,2.0,,,2.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.657539121269153e-36,1.3850265497909178e-06,1.8195952389141468e-06,9.909825393251019e-10,1.520439357014736e+24,8.280571539654262e+20,True,0.37219331942136025,0.018648839289347952,,
knot_5.2.1.fseries,knot_5.2.1\knot_5.2.1.fseries,fseries,5_2_1,100,1.0,104.30579902405988,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,3.08055460245835e-36,2.574087005088912e-06,3.3817376711786648e-06,1.841751897919815e-09,2.825753189719134e+24,1.538953285635629e+21,True,1.7173189741145747,0.07661240138613219,,
knot_5.2.1_ideal.txt,knot_5.2.1\knot_5.2.1_ideal.txt,ideal,5_2_1,100,1.0,104.30579902405988,104.30579902405988,0.4401975627750085,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,3.08055460245835e-36,2.574087005088912e-06,3.3817376711786648e-06,1.841751897919815e-09,2.825753189719134e+24,1.538953285635629e+21,True,1.7173189741145747,0.07661240138613219,,
knot_5.2.fseries,knot_5.2\knot_5.2.fseries,fseries,5_2,100,1.0,96.78292815701381,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,2.8583750622025586e-36,2.388435542552697e-06,3.137835835954394e-06,1.708918806885329e-09,2.6219507497081324e+24,1.42795900778553e+21,True,0.45488410983317673,0.019948779807708598,,
knot_5.2_ideal.txt,knot_5.2\knot_5.2_ideal.txt,ideal,5_2,100,1.0,96.78292815701381,96.78292815701381,4.602471614086812,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,2.8583750622025586e-36,2.388435542552697e-06,3.137835835954394e-06,1.708918806885329e-09,2.6219507497081324e+24,1.42795900778553e+21,True,0.45488410983317673,0.019948779807708598,,
knot_6.1.fseries,knot_6.1\knot_6.1.fseries,fseries,6_1,100,1.0,114.39697947735063,114.39697947735063,1.2309552709480258,7,1.0,writhe_fallback,4.0,,,4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,4.5047817083177064e-36,3.764159884356283e-06,4.945210187573858e-06,2.693245642972101e-09,4.1321784301790423e+24,2.2504547088872927e+21,True,0.4923343943555389,0.020665984224675492,,
knot_6.1_ideal.txt,knot_6.1\knot_6.1_ideal.txt,ideal,6_1,100,1.0,114.39697947735063,114.39697947735063,1.2309552709480258,7,1.0,writhe_fallback,4.0,,,4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,4.5047817083177064e-36,3.764159884356283e-06,4.945210187573858e-06,2.693245642972101e-09,4.1321784301790423e+24,2.2504547088872927e+21,True,0.4923343943555389,0.020665984224675492,,
knot_6.2.1.fseries,knot_6.2.1\knot_6.2.1.fseries,fseries,6_2_1,100,1.0,136.24785304398964,136.24785304398964,6.333929063591331,8,1.0,writhe_fallback,5.0,,,5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,6.706545476487458e-36,5.603936234822052e-06,7.362238430447409e-06,4.00960036545021e-09,6.151828069224131e+24,3.35039027974661e+21,True,2.4698677795900976,0.10264715209686505,,
knot_6.2.1_ideal.txt,knot_6.2.1\knot_6.2.1_ideal.txt,ideal,6_2_1,100,1.0,136.24785304398964,136.24785304398964,6.333929063591331,8,1.0,writhe_fallback,5.0,,,5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,6.706545476487458e-36,5.603936234822052e-06,7.362238430447409e-06,4.00960036545021e-09,6.151828069224131e+24,3.35039027974661e+21,True,2.4698677795900976,0.10264715209686505,,
knot_6.2.fseries,knot_6.2\knot_6.2.fseries,fseries,6_2,100,1.0,100.43649513455651,100.43649513455651,2.739172950559971,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,2.9662790586568963e-36,2.4785992665940157e-06,3.256289509649761e-06,1.7734306938372163e-09,2.7209297004207607e+24,1.481864629112319e+21,True,0.4072821733997847,0.020068971923476946,,
knot_6.2_ideal.txt,knot_6.2\knot_6.2_ideal.txt,ideal,6_2,100,1.0,100.43649513455651,100.43649513455651,2.739172950559971,6,1.0,writhe_fallback,3.0,,,3.0,1.0,9.844625550645778e-39,8.226091068037216e-09,2.9662790586568963e-36,2.4785992665940157e-06,3.256289509649761e-06,1.7734306938372163e-09,2.7209297004207607e+24,1.481864629112319e+21,True,0.4072821733997847,0.020068971923476946,,
knot_6.3.1.fseries,knot_6.3.1\knot_6.3.1.fseries,fseries,6_3_1,100,1.0,134.9944544932001,134.9944544932001,-2.731098375171786,7,-1.0,writhe_fallback,-4.0,,,-4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-5.315879423596985e-36,-4.441906705364279e-06,-5.835608201158157e-06,-3.1781715570662446e-09,-4.876187951807158e+24,-2.655654958512628e+21,True,2.3137479683076885,0.10314599304767219,,
knot_6.3.1_ideal.txt,knot_6.3.1\knot_6.3.1_ideal.txt,ideal,6_3_1,100,1.0,134.9944544932001,134.9944544932001,-2.731098375171786,7,-1.0,writhe_fallback,-4.0,,,-4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-5.315879423596985e-36,-4.441906705364279e-06,-5.835608201158157e-06,-3.1781715570662446e-09,-4.876187951807158e+24,-2.655654958512628e+21,True,2.3137479683076885,0.10314599304767219,,
knot_6.3.2.fseries,knot_6.3.2\knot_6.3.2.fseries,fseries,6_3_2,100,1.0,150.73621632012814,150.73621632012814,-2.499102660380486,13,-1.0,writhe_fallback,-10.0,,,-10.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.4839416065928024e-35,-1.2399698427007317e-05,-1.6290252504661194e-05,-8.871948798321699e-09,-1.3612005853881767e+25,-7.413330084572925e+21,True,1.5341245408545972,0.06998777215356607,,
knot_6.3.2_ideal.txt,knot_6.3.2\knot_6.3.2_ideal.txt,ideal,6_3_2,100,1.0,150.73621632012814,150.73621632012814,-2.499102660380486,13,-1.0,writhe_fallback,-10.0,,,-10.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-1.4839416065928024e-35,-1.2399698427007317e-05,-1.6290252504661194e-05,-8.871948798321699e-09,-1.3612005853881767e+25,-7.413330084572925e+21,True,1.5341245408545972,0.06998777215356607,,
