target,target_id,run_dir,returncode,mode,status,command
7_4,7:1:4,outputs_routeB_BEM_v18_knotplot\runs\7_4,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_4 --ideal-xml-knot-ids 0:1:1,7:1:4 --target 7_4 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_5,7:1:5,outputs_routeB_BEM_v18_knotplot\runs\7_5,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_5 --ideal-xml-knot-ids 0:1:1,7:1:5 --target 7_5 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_6,7:1:6,outputs_routeB_BEM_v18_knotplot\runs\7_6,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_6 --ideal-xml-knot-ids 0:1:1,7:1:6 --target 7_6 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_7,7:1:7,outputs_routeB_BEM_v18_knotplot\runs\7_7,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_7 --ideal-xml-knot-ids 0:1:1,7:1:7 --target 7_7 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
8_1,8:1:1,outputs_routeB_BEM_v18_knotplot\runs\8_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\8_1 --ideal-xml-knot-ids 0:1:1,8:1:1 --target 8_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
9_1,9:1:1,outputs_routeB_BEM_v18_knotplot\runs\9_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\9_1 --ideal-xml-knot-ids 0:1:1,9:1:1 --target 9_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
9_2,9:1:2,outputs_routeB_BEM_v18_knotplot\runs\9_2,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\9_2 --ideal-xml-knot-ids 0:1:1,9:1:2 --target 9_2 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
10_1,10:1:1,outputs_routeB_BEM_v18_knotplot\runs\10_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\10_1 --ideal-xml-knot-ids 0:1:1,10:1:1 --target 10_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
K11a367,K11a367,outputs_routeB_BEM_v18_knotplot\runs\K11a367,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\K11a367 --ideal-xml-knot-ids 0:1:1,K11a367 --target K11a367 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
K11a247,K11a247,outputs_routeB_BEM_v18_knotplot\runs\K11a247,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\K11a247 --ideal-xml-knot-ids 0:1:1,K11a247 --target K11a247 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
