label,profile,normalization,c_over_v_ref,n,continuous_ratio,fd_ratio,fd_relative_error_vs_cont
uniform boundary,uniform,boundary,1.0,25,1.0,0.9999387225573008,-6.127744269923685e-05
uniform boundary,uniform,boundary,1.0,26,1.0,0.9999337224173995,-6.627758260047134e-05
uniform boundary,uniform,boundary,1.0,27,1.0,0.9999285262094763,-7.147379052374614e-05
uniform boundary,uniform,boundary,1.0,28,1.0,0.9999231339353649,-7.686606463508383e-05
uniform boundary,uniform,boundary,1.0,29,1.0,0.9999175455969687,-8.24544030313401e-05
uniform boundary,uniform,boundary,1.0,30,1.0,0.99991176119626,-8.823880373998172e-05
uniform boundary,uniform,boundary,1.0,31,1.0,0.9999057807352808,-9.42192647191975e-05
uniform boundary,uniform,boundary,1.0,32,1.0,0.9998996042161418,-0.00010039578385823145
solid-body boundary,solid_body,boundary,0.8164965809200705,1,0.8164965809200705,0.8164965008660853,-9.80457078858521e-08
solid-body boundary,solid_body,boundary,0.8164965809200705,2,0.8164965809200705,0.8164962607041578,-3.921827967934277e-07
solid-body boundary,solid_body,boundary,0.8164965809200705,3,0.8164965809200705,0.8164958604343729,-8.824111630278964e-07
solid-body boundary,solid_body,boundary,0.8164965809200705,4,0.8164965809200705,0.8164953000568719,-1.5687306335054885e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,5,0.8164965809200705,0.8164945795718525,-2.45114096597554e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,6,0.8164965809200705,0.816493698979569,-3.5296418489094705e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,7,0.8164965809200705,0.8164926582803322,-4.804232901833849e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,8,0.8164965809200705,0.8164914574745097,-6.27491367455324e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,9,0.8164965809200705,0.8164900965625249,-7.941683648260423e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,10,0.8164965809200705,0.8164885755448585,-9.804542234537195e-06
solid-body boundary,solid_body,boundary,0.8164965809200705,11,0.8164965809200705,0.8164868944220472,-1.1863488775798459e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,12,0.8164965809200705,0.8164850531946846,-1.4118522545403245e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,13,0.8164965809200705,0.8164830518634202,-1.6569642747321645e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,14,0.8164965809200705,0.8164808904289605,-1.921684851668992e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,15,0.8164965809200705,0.8164785688920688,-2.2060138918589267e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,16,0.8164965809200705,0.8164760872535641,-2.5099512949933178e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,17,0.8164965809200705,0.8164734455143225,-2.833496953758008e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,18,0.8164965809200705,0.8164706436752764,-3.1766507539887634e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,19,0.8164965809200705,0.8164676817374147,-3.539412574538048e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,20,0.8164965809200705,0.8164645597017829,-3.921782287386044e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,21,0.8164965809200705,0.8164612775694831,-4.323759757529633e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,22,0.8164965809200705,0.8164578353416733,-4.745344843148924e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,23,0.8164965809200705,0.816454233019569,-5.1865373953852156e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,24,0.8164965809200705,0.8164504706044416,-5.6473372585186254e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,25,0.8164965809200705,0.8164465480976191,-6.127744269923685e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,26,0.8164965809200705,0.8164424655004856,-6.627758260047134e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,27,0.8164965809200705,0.8164382228144824,-7.147379052374614e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,28,0.8164965809200705,0.8164338200411072,-7.686606463508383e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,29,0.8164965809200705,0.8164292571819136,-8.24544030313401e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,30,0.8164965809200705,0.8164245342385124,-8.823880373998172e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,31,0.8164965809200705,0.8164196512125704,-9.42192647191975e-05
solid-body boundary,solid_body,boundary,0.8164965809200705,32,0.8164965809200705,0.8164146081058115,-0.00010039578385823145
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,1,1.4053310173642826,1.405330879577608,-9.80457078858521e-08
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,2,1.4053310173642826,1.4053304662176338,-3.921827967934277e-07
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,3,1.4053310173642826,1.405329777284505,-8.824111630278964e-07
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,4,1.4053310173642826,1.4053288127784653,-1.5687306335054885e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,5,1.4053310173642826,1.405327572699855,-2.45114096597554e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,6,1.4053310173642826,1.4053260570491122,-3.5296418489094705e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,7,1.4053310173642826,1.405324265826771,-4.804232901833849e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,8,1.4053310173642826,1.4053221990334643,-6.27491367455324e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,9,1.4053310173642826,1.4053198566699217,-7.941683648260423e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,10,1.4053310173642826,1.4053172387369692,-9.804542234537195e-06
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,11,1.4053310173642826,1.405314345235532,-1.1863488775798459e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,12,1.4053310173642826,1.4053111761666301,-1.4118522545403245e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,13,1.4053310173642826,1.405307731531383,-1.6569642747321645e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,14,1.4053310173642826,1.405304011331006,-1.921684851668992e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,15,1.4053310173642826,1.405300015566813,-2.2060138918589267e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,16,1.4053310173642826,1.4052957442402132,-2.5099512949933178e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,17,1.4053310173642826,1.4052911973527153,-2.833496953758008e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,18,1.4053310173642826,1.4052863749059235,-3.1766507539887634e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,19,1.4053310173642826,1.4052812769015401,-3.539412574538048e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,20,1.4053310173642826,1.4052759033413644,-3.921782287386044e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,21,1.4053310173642826,1.4052702542272937,-4.323759757529633e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,22,1.4053310173642826,1.405264329561321,-4.745344843148924e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,23,1.4053310173642826,1.405258129345538,-5.1865373953852156e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,24,1.4053310173642826,1.4052516535821333,-5.6473372585186254e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,25,1.4053310173642826,1.4052449022733926,-6.127744269923685e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,26,1.4053310173642826,1.405237875421698,-6.627758260047134e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,27,1.4053310173642826,1.405230573029531,-7.147379052374614e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,28,1.4053310173642826,1.4052229950994681,-7.686606463508383e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,29,1.4053310173642826,1.4052151416341843,-8.24544030313401e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,30,1.4053310173642826,1.4052070126364518,-8.823880373998172e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,31,1.4053310173642826,1.4051986081091394,-9.42192647191975e-05
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,1.4053310173642826,32,1.4053310173642826,1.405189928055214,-0.00010039578385823145
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,1,0.17301485645991413,0.17301483949655005,-9.80457078858521e-08
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,2,0.17301485645991413,0.17301478860646383,-3.921827967934277e-07
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,3,0.17301485645991413,0.17301470378967343,-8.824111630278964e-07
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,4,0.17301485645991413,0.17301458504620876,-1.5687306335054885e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,5,0.17301485645991413,0.17301443237611175,-2.45114096597554e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,6,0.17301485645991413,0.17301424577943628,-3.5296418489094705e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,7,0.17301485645991413,0.1730140252562482,-4.804232901833849e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,8,0.17301485645991413,0.17301377080662542,-6.27491367455324e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,9,0.17301485645991413,0.17301348243065767,-7.941683648260423e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,10,0.17301485645991413,0.17301316012844675,-9.804542234537195e-06
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,11,0.17301485645991413,0.17301280390010648,-1.1863488775798459e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,12,0.17301485645991413,0.1730124137457625,-1.4118522545403245e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,13,0.17301485645991413,0.17301198966555262,-1.6569642747321645e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,14,0.17301485645991413,0.1730115316596264,-1.921684851668992e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,15,0.17301485645991413,0.17301103972814563,-2.2060138918589267e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,16,0.17301485645991413,0.17301051387128388,-2.5099512949933178e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,17,0.17301485645991413,0.1730099540892268,-2.833496953758008e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,18,0.17301485645991413,0.17300936038217188,-3.1766507539887634e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,19,0.17301485645991413,0.17300873275032877,-3.539412574538048e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,20,0.17301485645991413,0.17300807119391895,-3.921782287386044e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,21,0.17301485645991413,0.17300737571317598,-4.323759757529633e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,22,0.17301485645991413,0.17300664630834522,-4.745344843148924e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,23,0.17301485645991413,0.17300588297968425,-5.1865373953852156e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,24,0.17301485645991413,0.1730050857274625,-5.6473372585186254e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,25,0.17301485645991413,0.17300425455196128,-6.127744269923685e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,26,0.17301485645991413,0.173003389453474,-6.627758260047134e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,27,0.17301485645991413,0.173002490432306,-7.147379052374614e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,28,0.17301485645991413,0.17300155748877466,-7.686606463508383e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,29,0.17301485645991413,0.17300059062320916,-8.24544030313401e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,30,0.17301485645991413,0.17299958983595087,-8.823880373998172e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,31,0.17301485645991413,0.172998555127353,-9.42192647191975e-05
"Gaussian core max, sigma=0.35",gaussian_core,max,0.17301485645991413,32,0.17301485645991413,0.1729974864977807,-0.00010039578385823145
