selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g011_nc12_nt5_ns24_tf0p28_of2p6,12,5,24,0.28,2.6,16.371637,137.15470540383689,9303.814251304942,22246.531338960827,0.418214152559189,0.2091070762795945,137.36381248011648,0.0015246073815980414,PASS_SUBLEADING_CORRECTION
M_Lcert2,g012_nc12_nt5_ns24_tf0p28_of3p2,12,5,24,0.28,3.2,16.371637,137.15470540383689,6564.721649633943,22246.531338960827,0.29508967261502944,0.14754483630751472,137.3022502401444,0.0010757548264427768,PASS_SUBLEADING_CORRECTION
M_Lcert2,g013_nc12_nt5_ns36_tf0p32_of2p6,12,5,36,0.32,2.6,16.371637,137.15470540383689,314.9074557226224,25462.897315678056,0.012367306509488496,0.006183653254744248,137.16088905709162,4.508524324074164e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g014_nc12_nt5_ns36_tf0p32_of3p2,12,5,36,0.32,3.2,16.371637,137.15470540383689,48.86769896350333,25462.897315678056,0.0019191727617506604,0.0009595863808753302,137.15566499021776,6.996379585009016e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g015_nc12_nt5_ns36_tf0p28_of2p6,12,5,36,0.28,2.6,16.371637,137.15470540383689,11743.069835392786,25462.897315678056,0.46118356798942606,0.23059178399471303,137.3852971878316,0.0016812531754981427,PASS_SUBLEADING_CORRECTION
M_Lcert2,g016_nc12_nt5_ns36_tf0p28_of3p2,12,5,36,0.28,3.2,16.371637,137.15470540383689,7180.733935196241,25462.897315678056,0.2820077325126276,0.1410038662563138,137.2957092700932,0.001028064373301255,PASS_SUBLEADING_CORRECTION
M_Lcert2,g017_nc16_nt4_ns24_tf0p32_of2p6,16,4,24,0.32,2.6,16.371637,137.15470540383689,310.3759894450595,23318.653331199905,0.013310202138893777,0.006655101069446888,137.16136050490633,4.852258659191953e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g018_nc16_nt4_ns24_tf0p32_of3p2,16,4,24,0.32,3.2,16.371637,137.15470540383689,186.85478229106107,23318.653331199905,0.008013103485742593,0.004006551742871296,137.15871195557975,2.9211916070064435e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g019_nc16_nt4_ns24_tf0p28_of2p6,16,4,24,0.28,2.6,16.371637,137.15470540383689,403.4444701595495,23318.653331199905,0.01730136232265817,0.008650681161329086,137.1633560849982,6.307243441526931e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g020_nc16_nt4_ns24_tf0p28_of3p2,16,4,24,0.28,3.2,16.371637,137.15470540383689,239.89173239373125,23318.653331199905,0.010287546582836359,0.0051437732914181794,137.1598491771283,3.750344019385195e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g021_nc16_nt4_ns36_tf0p32_of2p6,16,4,36,0.32,2.6,16.371637,137.15470540383689,404.39545622765297,26535.01930791713,0.015240066401873519,0.007620033200936759,137.16232543703782,5.555794224121158e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g022_nc16_nt4_ns36_tf0p32_of3p2,16,4,36,0.32,3.2,16.371637,137.15470540383689,184.96338862614684,26535.01930791713,0.006970539063107453,0.0034852695315537264,137.15819067336844,2.5411228300857305e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g023_nc16_nt4_ns36_tf0p28_of2p6,16,4,36,0.28,2.6,16.371637,137.15470540383689,474.9212889644079,26535.01930791713,0.017897906289546503,0.008948953144773251,137.16365435698165,6.524714641341722e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g024_nc16_nt4_ns36_tf0p28_of3p2,16,4,36,0.28,3.2,16.371637,137.15470540383689,183.71919036078512,26535.01930791713,0.006923650148088254,0.003461825074044127,137.15816722891094,2.5240293899149618e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g025_nc16_nt5_ns24_tf0p32_of2p6,16,5,24,0.32,2.6,16.371637,137.15470540383689,-177.3947241837556,27607.141300156207,-0.0064256824803063505,-0.0032128412401531753,137.15149256259673,2.342494361161959e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g026_nc16_nt5_ns24_tf0p32_of3p2,16,5,24,0.32,3.2,16.371637,137.15470540383689,-120.53954345561084,27607.141300156207,-0.004366245028598046,-0.002183122514299023,137.15252228132258,1.591722652074575e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g027_nc16_nt5_ns24_tf0p28_of2p6,16,5,24,0.28,2.6,16.371637,137.15470540383689,-184.1967862687102,27607.141300156207,-0.006672070254071108,-0.003336035127035554,137.15136936870985,2.4323154770468625e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g028_nc16_nt5_ns24_tf0p28_of3p2,16,5,24,0.28,3.2,16.371637,137.15470540383689,-127.90992903498146,27607.141300156207,-0.0046332189068144375,-0.0023166094534072187,137.15238879438348,1.6890484701827895e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g029_nc16_nt5_ns36_tf0p32_of2p6,16,5,36,0.32,2.6,16.371637,137.15470540383689,-145.75912259508507,30823.507276873435,-0.004728829892257156,-0.002364414946128578,137.15234098889076,1.7239036306970433e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g030_nc16_nt5_ns36_tf0p32_of3p2,16,5,36,0.32,3.2,16.371637,137.15470540383689,-45.84601253036607,30823.507276873435,-0.001487371703633605,-0.0007436858518168025,137.15396171798506,5.422240889418279e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g031_nc16_nt5_ns36_tf0p28_of2p6,16,5,36,0.28,2.6,16.371637,137.15470540383689,-148.7205845001163,30823.507276873435,-0.0048249079238202024,-0.0024124539619101012,137.15229294987498,1.7589290537330797e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g032_nc16_nt5_ns36_tf0p28_of3p2,16,5,36,0.28,3.2,16.371637,137.15470540383689,-46.02824690065659,30823.507276873435,-0.0014932838916482136,-0.0007466419458241068,137.15395876189106,5.443793879515121e-06,PASS_SUBLEADING_CORRECTION
