knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
4_1,0_1,5,1.0317167818401973,0.9172905780408996,0.11442620379929769,0.057213101899648844
4_1,0_1,6,1.1481543307779711,0.9982082004739338,0.14994613030403736,0.07497306515201868
4_1,0_1,7,1.2622106953442083,1.077566407896901,0.18464428744730732,0.09232214372365366
4_1,0_1,8,1.3690933779930758,1.1555455772770615,0.2135478007160143,0.10677390035800716
4_1,0_1,9,1.469426109327042,1.2298549505749465,0.23957115875209545,0.11978557937604772
4_1,0_1,10,1.5669503651763277,1.2696735801767975,0.29727678499953014,0.14863839249976507
4_1,0_1,11,1.6361005618324402,1.3082287804880606,0.32787178134437966,0.16393589067218983
4_1,0_1,12,1.701251646488645,1.3456031789672915,0.3556484675213534,0.1778242337606767
4_1,0_1,13,1.7610316328891442,1.3825630118244199,0.37846862106472434,0.18923431053236217
4_1,0_1,14,1.815463325239597,1.4170376928535728,0.39842563238602424,0.19921281619301212
4_1,0_1,15,1.866809777763353,1.450257273258438,0.416552504504915,0.2082762522524575
4_1,0_1,16,1.9138302051476073,1.4807939924823035,0.4330362126653038,0.2165181063326519
4_1,0_1,17,1.9583023497281509,1.5033177596715757,0.4549845900565752,0.2274922950282876
4_1,0_1,18,1.999311527652224,1.5239810445438595,0.47533048310836445,0.23766524155418223
4_1,0_1,19,2.035508741069961,1.5441906652826651,0.4913180757872959,0.24565903789364796
4_1,0_1,20,2.0682372730422807,1.5639871663119922,0.5042501067302885,0.25212505336514424
4_1,0_1,21,2.0977925378934605,1.582997041127219,0.5147954967662416,0.2573977483831208
4_1,0_1,22,2.126386070100069,1.6011115839018435,0.5252744861982255,0.26263724309911274
4_1,0_1,23,2.150383546478781,1.6177941626795445,0.5325893837992366,0.2662946918996183
4_1,0_1,24,2.172234246946942,1.6344762575954683,0.5377579893514737,0.26887899467573684
4_1,0_1,25,2.193166003551832,1.6499662974739768,0.5431997060778551,0.27159985303892753
4_1,0_1,26,2.21328902971247,1.664797289861674,0.5484917398507958,0.2742458699253979
4_1,0_1,27,2.233229365958934,1.671983795490171,0.5612455704687629,0.28062278523438144
4_1,0_1,28,2.2523526065463604,1.6791701487742077,0.5731824577721527,0.28659122888607635
4_1,0_1,29,2.269251027331849,1.6836133636153119,0.585637663716537,0.2928188318582685
4_1,0_1,30,2.285098496354815,1.6873447963241874,0.5977537000306277,0.29887685001531383
4_1,0_1,31,2.3001811563596988,1.6910760753986442,0.6091050809610545,0.30455254048052727
4_1,0_1,32,2.3136185570282684,1.6946981924575333,0.6189203645707351,0.30946018228536754
4_1,0_1,33,2.3243397452766397,1.697355549103284,0.6269841961733558,0.3134920980866779
4_1,0_1,34,2.3347174028036695,1.7000124745025222,0.6347049283011472,0.3173524641505736
4_1,0_1,35,2.344056373550763,1.7022760628186253,0.6417803107321376,0.3208901553660688
4_1,0_1,36,2.3522075468997623,1.7045395892419177,0.6476679576578446,0.3238339788289223
4_1,0_1,37,2.3573155416308724,1.706759542482051,0.6505559991488215,0.3252779995744107
4_1,0_1,38,2.361211959217216,1.7089768324747594,0.6522351267424564,0.3261175633712282
4_1,0_1,39,2.3638805872511117,1.7106260324347888,0.6532545548163229,0.32662727740816144
4_1,0_1,40,2.366076670283141,1.7122751551971436,0.6538015150859975,0.32690075754299874
4_1,0_1,41,2.3675679576046105,1.713804408813157,0.6537635487914535,0.32688177439572674
4_1,0_1,42,2.36871385867004,1.7153336587909296,0.6533801998791104,0.3266900999395552
4_1,0_1,43,2.3694891880030506,1.7168106556860179,0.6526785323170328,0.3263392661585164
4_1,0_1,44,2.3701885329275014,1.7182876495287442,0.6519008833987572,0.3259504416993786
4_1,0_1,45,2.370729380369845,1.719614543492441,0.6511148368774038,0.3255574184387019
4_1,0_1,46,2.371211462715795,1.7206948110422218,0.6505166516735734,0.3252583258367867
4_1,0_1,47,2.3716225326523652,1.7217750613963534,0.6498474712560118,0.3249237356280059
4_1,0_1,48,2.3719857661808548,1.7227463458315968,0.649239420349258,0.324619710174629
4_1,0_1,49,2.372327069188495,1.7237176223898074,0.6486094467986874,0.3243047233993437
4_1,0_1,50,2.3726351390537648,1.7244603509222607,0.6481747881315041,0.32408739406575204
4_1,0_1,51,2.3729347680580917,1.7252030700363512,0.6477316980217405,0.32386584901087023
4_1,0_1,52,2.373200466507571,1.7258527680748328,0.6473476984327382,0.3236738492163691
4_1,0_1,53,2.3734516788119153,1.726502005022663,0.6469496737892524,0.3234748368946262
4_1,0_1,54,2.37367424699802,1.7271148650184804,0.6465593819795397,0.32327969098976983
4_1,0_1,55,2.373865931794997,1.7276726902483293,0.6461932415466678,0.3230966207733339
4_1,0_1,56,2.374035732598231,1.7282305154429163,0.6458052171553148,0.3229026085776574
4_1,0_1,57,2.374169754852802,1.7287372488956154,0.6454325059571864,0.3227162529785932
4_1,0_1,58,2.3742795901680966,1.729243972956138,0.6450356172119587,0.32251780860597934
4_1,0_1,59,2.3743615799147118,1.7297422951269024,0.6446192847878094,0.3223096423939047
4_1,0_1,60,2.3504544669102425,1.7302083038567877,0.6202461630534548,0.3101230815267274
4_1,0_1,61,2.3246362422670206,1.7306743121618553,0.5939619301051653,0.29698096505258265
4_1,0_1,62,2.291140058174754,1.7310798715198765,0.5600601866548773,0.28003009332743867
4_1,0_1,63,2.2563346899257435,1.7314574759824592,0.5248772139432842,0.2624386069716421
4_1,0_1,64,2.208765717795364,1.7318350744900992,0.4769306433052649,0.23846532165263246
4_1,0_1,65,2.1597405711836166,1.7320852356319303,0.42765533555168633,0.21382766777584317
4_1,0_1,66,2.1047007972922707,1.7323353967701778,0.3723654005220929,0.18618270026104644
4_1,0_1,67,2.044917457510642,1.7324734938351418,0.3124439636755003,0.15622198183775016
4_1,0_1,68,1.9692712427335561,1.7326115664521948,0.2366596762813613,0.11832983814068065
4_1,0_1,69,1.8935167511969857,1.7326661292710746,0.16085062192591115,0.08042531096295558
4_1,0_1,70,1.8026555076155906,1.7327206920710962,0.06993481554449432,0.03496740777224716
4_1,0_1,71,1.7013015508607503,1.732742624511499,-0.03144107365074866,-0.01572053682537433
