knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,34,2.562557815470706,1.806847768090001,0.755710047380705,0.3778550236903525
3_1,0_1,35,2.5802609269544736,1.817147516130044,0.7631134108244295,0.38155670541221476
3_1,0_1,36,2.597702644726721,1.8267217498055,0.7709808949212209,0.38549044746061045
3_1,0_1,37,2.6135954058898188,1.8354401055163996,0.7781553003734192,0.3890776501867096
3_1,0_1,38,2.629052133255071,1.8439167598746589,0.7851353733804123,0.39256768669020614
3_1,0_1,39,2.6441470229651594,1.850330833685616,0.7938161892795434,0.3969080946397717
3_1,0_1,40,2.6587145986783276,1.8567449022598745,0.8019696964184531,0.40098484820922653
3_1,0_1,41,2.6727248567858566,1.8608439155802823,0.8118809412055743,0.40594047060278715
3_1,0_1,42,2.6856944996939838,1.8641818133045798,0.821512686389404,0.410756343194702
3_1,0_1,43,2.6983083293242593,1.8674917160983666,0.8308166132258927,0.41540830661294637
3_1,0_1,44,2.7107332223172933,1.870801615504085,0.8399316068132083,0.41996580340660417
3_1,0_1,45,2.7221765979131387,1.8732160979199404,0.8489604999931983,0.42448024999659917
3_1,0_1,46,2.732907575229775,1.8756305241239526,0.8572770511058223,0.42863852555291115
3_1,0_1,47,2.7434259281723796,1.877718327902356,0.8657076002700237,0.43285380013501185
3_1,0_1,48,2.753855221062066,1.8798061311306171,0.874049089931449,0.4370245449657245
3_1,0_1,49,2.76339953557595,1.8817974865765423,0.8816020489994076,0.4408010244997038
3_1,0_1,50,2.772732185085913,1.883788574557025,0.8889436105288877,0.44447180526444385
3_1,0_1,51,2.7820089437952205,1.8853106546656975,0.896698289129523,0.4483491445647615
3_1,0_1,52,2.790707554664807,1.8868327326211478,0.903874822043659,0.4519374110218295
3_1,0_1,53,2.799179307255987,1.8882345707726165,0.9109447364833705,0.45547236824168524
3_1,0_1,54,2.807014468476093,1.889636408299946,0.9173780601761472,0.4586890300880736
3_1,0_1,55,2.813188531991935,1.8910236083852423,0.9221649236066929,0.46108246180334644
3_1,0_1,56,2.819268116170819,1.8924108077321427,0.9268573084386762,0.4634286542193381
3_1,0_1,57,2.8246673124648556,1.8936411926516417,0.9310261198132139,0.46551305990660696
3_1,0_1,58,2.8277889522117663,1.89467501194079,0.9331139402709763,0.46655697013548814
3_1,0_1,59,2.83089488431618,1.8957088307746122,0.9351860535415679,0.46759302677078396
3_1,0_1,60,2.8337147415803496,1.8966538202675285,0.9370609213128211,0.4685304606564106
3_1,0_1,61,2.83533833692299,1.8975988096492085,0.9377395272737816,0.4688697636368908
3_1,0_1,62,2.8369556175452892,1.8983496196128526,0.9386059979324366,0.4693029989662183
3_1,0_1,63,2.8380621761780036,1.8991003931959125,0.9389617829820911,0.46948089149104555
3_1,0_1,64,2.8387486015448267,1.8997672509184922,0.9389813506263345,0.46949067531316724
3_1,0_1,65,2.839371404823562,1.9004340535966304,0.9389373512269317,0.46946867561346584
3_1,0_1,66,2.8399932472973695,1.9010331418334463,0.9389601054639232,0.4694800527319616
3_1,0_1,67,2.8404852445686783,1.901632230037555,0.9388530145311234,0.4694265072655617
3_1,0_1,68,2.840968777496722,1.902183243586183,0.9387855339105389,0.46939276695526944
3_1,0_1,69,2.841451607790979,1.9026895828377104,0.9387620249532687,0.46938101247663433
3_1,0_1,70,2.8419049928200106,1.9031959220207406,0.93870907079927,0.469354535399635
3_1,0_1,71,2.842357977629615,1.9036481621830155,0.9387098154465994,0.4693549077232997
3_1,0_1,72,2.834073743464126,1.9040702005176582,0.9300035429464677,0.46500177147323385
3_1,0_1,73,2.8209203408953187,1.9044159081973318,0.916504432697987,0.4582522163489935
3_1,0_1,74,2.807660126426714,1.904761614298599,0.9028985121281148,0.4514492560640574
3_1,0_1,75,2.793905331838403,1.905091581490694,0.8888137503477092,0.4444068751738546
3_1,0_1,76,2.7760915444665684,1.905379668643717,0.8707118758228514,0.4353559379114257
3_1,0_1,77,2.7582310884302443,1.9056677533083604,0.852563335121884,0.426281667560942
3_1,0_1,78,2.7377200375583475,1.9059188578460686,0.8318011797122788,0.4159005898561394
3_1,0_1,79,2.7134678140695034,1.9061699622987252,0.8072978517707783,0.40364892588538914
3_1,0_1,80,2.688907981546438,1.9064027997614237,0.7825051817850142,0.3912525908925071
3_1,0_1,81,2.664178550563434,1.9066356370116961,0.757542913551738,0.378771456775869
3_1,0_1,82,2.6319747983782302,1.9068147314643369,0.7251600669138933,0.36258003345694667
3_1,0_1,83,2.599569074143007,1.9069938257652614,0.6925752483777456,0.3462876241888728
3_1,0_1,84,2.56351724016642,1.9071553573260025,0.6563618828404176,0.3281809414202088
3_1,0_1,85,2.527351492357225,1.9073168888230396,0.6200346035341855,0.31001730176709275
3_1,0_1,86,2.48760237127616,1.9074516736022624,0.5801506976738975,0.29007534883694874
3_1,0_1,87,2.447704483626024,1.9075864500131101,0.5401180336129139,0.27005901680645694
3_1,0_1,88,2.407592276171796,1.9076913229058552,0.49990095326594064,0.24995047663297032
3_1,0_1,89,2.355498245048612,1.907796195794926,0.44770204925368584,0.22385102462684292
3_1,0_1,90,2.2921950813174004,1.907890255001381,0.38430482631601937,0.19215241315800968
3_1,0_1,91,2.2229799291654837,1.9079786703381394,0.3150012588273443,0.15750062941367216
3_1,0_1,92,2.153628506422956,1.9080670821954895,0.2455614242274664,0.1227807121137332
3_1,0_1,93,2.0704509293797524,1.9081066964085065,0.1623442329712459,0.08117211648562295
3_1,0_1,94,1.9871768687711726,1.9081463106167065,0.07903055815446614,0.03951527907723307
3_1,0_1,95,1.8743205622151897,1.9081685390967704,-0.0338479768815807,-0.01692398844079035
4_1,0_1,1,0.23038285289187563,0.2156883937230632,0.01469445916881243,0.007347229584406215
4_1,0_1,2,0.4564833265101991,0.4313131905479899,0.025170135962209184,0.012585067981104592
4_1,0_1,3,0.6814471592780269,0.6456598547846,0.03578730449342693,0.017893652246713465
4_1,0_1,4,0.8832405317201806,0.819917513254004,0.0633230184661766,0.0316615092330883
