t,delta,kappa_tau
0.091,-1.859244401336214,0.35
0.092,-1.8597482462855046,0.35
0.093,-1.8602889361756914,0.35
0.094,-1.8608662347945444,0.35
0.095,-1.8614798900207825,0.35
0.096,-1.8621296339559885,0.35
0.097,-1.8628151830647073,0.35
0.098,-1.8635362383226206,0.35
0.099,-1.864292485372717,0.35
0.1,-1.8650835946893287,0.35
0.101,-1.8659092217499516,0.35
0.10200000000000001,-1.8667690072147103,0.35
0.10300000000000001,-1.8676625771133604,0.35
0.10400000000000001,-1.868589543039691,0.35
0.105,-1.8695495023532063,0.35
0.106,-1.8705420383879425,0.35
0.107,-1.8715667206682705,0.35
0.108,-1.8726231051315536,0.35
0.109,-1.8737107343574886,0.35
0.11,-1.874829137803986,0.35
0.111,-1.8759778320494154,0.35
0.112,-1.8771563210410585,0.35
0.113,-1.8783640963495896,0.35
0.114,-1.8796006374294065,0.35
0.115,-1.880865411884637,0.35
0.116,-1.8821578757406257,0.35
0.117,-1.8834774737207187,0.35
0.11800000000000001,-1.8848236395281486,0.35
0.11900000000000001,-1.8861957961328208,0.35
0.12,-1.8875933560628022,0.35
0.121,-1.8890157217003023,0.35
0.122,-1.8904622855819468,0.35
0.123,-1.8919324307031227,0.35
0.124,-1.8934255308261876,0.35
0.125,-1.8949409507923196,0.35
0.126,-1.896478046836794,0.35
0.127,-1.8980361669074637,0.35
0.128,-1.8996146509862135,0.35
0.129,-1.9012128314131749,0.35
0.13,-1.902830033213462,0.35
0.131,-1.9044655744262058,0.35
0.132,-1.9061187664356591,0.35
0.133,-1.9077889143041413,0.35
0.134,-1.9094753171065886,0.35
0.135,-1.9111772682664863,0.35
0.136,-1.9128940558929468,0.35
0.137,-1.9146249631187064,0.35
0.138,-1.916369268438812,0.35
0.139,-1.9181262460497686,0.35
0.14,-1.9198951661889212,0.35
0.14100000000000001,-1.921675295473845,0.35
0.14200000000000002,-1.9234658972415226,0.35
0.14300000000000002,-1.9252662318870866,0.35
0.14400000000000002,-1.9270755572019058,0.35
0.145,-1.928893128710802,0.35
0.146,-1.9307182000081835,0.35
0.147,-1.9325500230928898,0.35
0.148,-1.9343878487015282,0.35
0.149,-1.9362309266401176,0.35
0.15,-1.9380785061138286,0.35
0.151,-1.9399298360546275,0.35
0.152,-1.941784165446642,0.35
0.153,-1.9436407436490533,0.35
0.154,-1.9454988207163426,0.35
0.155,-1.9473576477157137,0.35
0.156,-1.9492164770415257,0.35
0.157,-1.951074562726566,0.35
0.158,-1.9529311607500137,0.35
0.159,-1.9547855293419336,0.35
0.16,-1.9566369292841634,0.35
0.161,-1.9584846242074456,0.35
0.162,-1.9603278808846767,0.35
0.163,-1.9621659695201452,0.35
0.164,-1.9639981640346371,0.35
0.165,-1.965823742346299,0.35
0.166,-1.9676419866471453,0.35
0.167,-1.9694521836751147,0.35
0.168,-1.9712536249815829,0.35
0.169,-1.973045607194241,0.35
0.17,-1.9748274322752648,0.35
0.171,-1.9765984077746954,0.35
0.17200000000000001,-1.9783578470789758,0.35
0.17300000000000001,-1.980105069654572,0.35
0.17400000000000002,-1.9818394012866403,0.35
0.17500000000000002,-1.983560174312681,0.35
0.176,-1.9852667278511515,0.35
0.177,-1.9869584080249965,0.35
0.178,-1.9886345681800819,0.35
0.179,-1.9902945690985003,0.35
0.18,-1.9919377792067445,0.35
0.181,-1.9935635747787344,0.35
0.182,-1.9951713401337074,0.35
0.183,-1.9967604678289637,0.35
0.184,-1.9983303588474883,0.35
0.185,-1.999880422780461,0.35
0.186,-2.001410078004676,0.35
0.187,-2.0029187518549,0.35
0.188,-2.0044058807911997,0.35
0.189,-2.0058709105612733,0.35
0.19,-2.007313296357829,0.35
0.191,-2.008732502971059,0.35
0.192,-2.0101280049362513,0.35
0.193,-2.011499286676596,0.35
0.194,-2.012845842641248,0.35
0.195,-2.0141671774386998,0.35
0.196,-2.015462805965533,0.35
0.197,-2.0167322535306065,0.35
0.198,-2.017975055974767,0.35
0.199,-2.0191907597861327,0.35
0.2,-2.020378922211046,0.35
0.201,-2.021539111360749,0.35
0.202,-2.022670906313878,0.35
0.203,-2.023773897214846,0.35
0.20400000000000001,-2.0248476853681963,0.35
0.20500000000000002,-2.0258918833290043,0.35
0.20600000000000002,-2.0269061149894174,0.35
0.20700000000000002,-2.0278900156614066,0.35
0.20800000000000002,-2.02884323215582,0.35
0.209,-2.0297654228578113,0.35
0.21,-2.0306562577987375,0.35
0.211,-2.031515418724597,0.35
0.212,-2.0323425991610913,0.35
0.213,-2.0331375044753974,0.35
0.214,-2.033899851934721,0.35
0.215,-2.034629370761711,0.35
0.216,-2.035325802186815,0.35
0.217,-2.035988899497646,0.35
0.218,-2.036618428085429,0.35
0.219,-2.037214165488612,0.35
0.22,-2.0377759014336867,0.35
0.221,-2.038303437873312,0.35
0.222,-2.038796589021776,0.35
0.223,-2.0392551813878743,0.35
0.224,-2.0396790538052594,0.35
0.225,-2.040068057460303,0.35
0.226,-2.0404220559175394,0.35
0.227,-2.040740925142731,0.35
0.228,-2.0410245535235862,0.35
0.229,-2.0412728418881976,0.35
0.23,-2.0414857035212117,0.35
0.231,-2.0416630641777784,0.35
0.232,-2.0418048620953035,0.35
0.233,-2.041911048003035,0.35
0.234,-2.0419815851294967,0.35
0.23500000000000001,-2.0420164492077983,0.35
0.23600000000000002,-2.0420156284788185,0.35
0.23700000000000002,-2.041979123692297,0.35
0.23800000000000002,-2.041906948105809,0.35
0.23900000000000002,-2.041799127481654,0.35
0.24,-2.041655700081635,0.35
0.241,-2.041476716659732,0.35
0.242,-2.0412622404526566,0.35
0.243,-2.041012347168273,0.35
0.244,-2.040727124971869,0.35
0.245,-2.0404066744702485,0.35
0.246,-2.0400511086936275,0.35
0.247,-2.039660553075297,0.35
0.248,-2.039235145429025,0.35
0.249,-2.0387750359241466,0.35
0.25,-2.0382803870583235,0.35
0.251,-2.0377513736279056,0.35
0.252,-2.0371881826958607,0.35
0.253,-2.0365910135572154,0.35
0.254,-2.035960077701957,0.35
0.255,-2.035295598775331,0.35
0.256,-2.0345978125354858,0.35
0.257,-2.0338669668083886,0.35
0.258,-2.033103321439958,0.35
0.259,-2.03230714824534,0.35
0.26,-2.031478730955258,0.35
0.261,-2.0306183651593646,0.35
0.262,-2.0297263582465206,0.35
0.263,-2.028803029341929,0.35
0.264,-2.0278487092410415,0.35
0.265,-2.0268637403401657,0.35
0.266,-2.025848476563687,0.35
0.267,-2.024803283287828,0.35
0.268,-2.023728537260867,0.35
0.269,-2.022624626519728,0.35
0.27,-2.0214919503028668,0.35
0.271,-2.020330918959374,0.35
0.272,-2.0191419538541986,0.35
0.273,-2.0179254872694363,0.35
0.274,-2.016681962301579,0.35
0.275,-2.015411832754662,0.35
0.276,-2.0141155630292262,0.35
0.277,-2.0127936280070227,0.35
0.278,-2.011446512931375,0.35
0.279,-2.0100747132831485,0.35
0.28,-2.0086787346522295,0.35
0.281,-2.0072590926044747,0.35
0.28200000000000003,-2.005816312544046,0.35
0.28300000000000003,-2.0043509295710775,0.35
0.28400000000000003,-2.002863488334616,0.35
0.28500000000000003,-2.001354542880784,0.35
0.28600000000000003,-1.9998246564961084,0.35
0.28700000000000003,-1.9982744015459657,0.35
0.28800000000000003,-1.9967043593081124,0.35
0.289,-1.9951151198012553,0.35
0.29,-1.9935072816086192,0.35
0.291,-1.9918814516965044,0.35
0.292,-1.9902382452277898,0.35
0.293,-1.9885782853703722,0.35
0.294,-1.9869022031005317,0.35
0.295,-1.985210637001206,0.35
0.296,-1.9835042330551795,0.35
0.297,-1.9817836444331913,0.35
0.298,-1.9800495312769657,0.35
0.299,-1.9783025604771858,0.35
0.3,-1.9765434054464377,0.35
0.301,-1.9747727458871411,0.35
0.302,-1.9729912675545167,0.35
0.303,-1.971199662014624,0.35
0.304,-1.969398626397517,0.35
0.305,-1.9675888631455773,0.35
0.306,-1.96577107975709,0.35
0.307,-1.9639459885251211,0.35
0.308,-1.9621143062717854,0.35
0.309,-1.9602767540779764,0.35
0.31,-1.9584340570086542,0.35
0.311,-1.9565869438337877,0.35
0.312,-1.9547361467450504,0.35
0.313,-1.9528824010683836,0.35
0.314,-1.9510264449725492,0.35
0.315,-1.9491690191737776,0.35
0.316,-1.94731086663666,0.35
0.317,-1.9454527322714146,0.35
0.318,-1.9435953626276579,0.35
0.319,-1.9417395055848585,0.35
0.32,-1.939885910039587,0.35
0.321,-1.938035325589766,0.35
0.322,-1.9361885022160497,0.35
0.323,-1.9343461899605332,0.35
0.324,-1.9325091386029474,0.35
0.325,-1.9306780973345345,0.35
0.326,-1.928853814429786,0.35
0.327,-1.9270370369162402,0.35
0.328,-1.9252285102425235,0.35
0.329,-1.9234289779448508,0.35
0.33,-1.921639181312175,0.35
0.331,-1.9198598590502085,0.35
0.332,-1.9180917469445147,0.35
0.333,-1.9163355775228874,0.35
0.334,-1.9145920797172478,0.35
0.335,-1.9128619785252576,0.35
0.336,-1.9111459946718874,0.35
0.337,-1.9094448442711558,0.35
0.338,-1.9077592384882722,0.35
0.339,-1.9060898832024078,0.35
0.34,-1.9044374786703147,0.35
0.341,-1.9028027191910422,0.35
0.342,-1.9011862927719623,0.35
0.343,-1.8995888807963386,0.35
0.34400000000000003,-1.8980111576926832,0.35
0.34500000000000003,-1.8964537906061079,0.35
0.34600000000000003,-1.8949174390719206,0.35
0.34700000000000003,-1.8934027546916825,0.35
0.34800000000000003,-1.891910380811959,0.35
0.34900000000000003,-1.8904409522059957,0.35
0.35000000000000003,-1.8889950947585294,0.35
0.35100000000000003,-1.887573425153974,0.35
0.352,-1.8861511849463684,0.35
0.353,-1.8847283678623405,0.35
0.354,-1.8833049678330314,0.35
0.355,-1.8818809789954818,0.35
0.356,-1.8804563956938871,0.35
0.357,-1.879031212480732,0.35
0.358,-1.877605424117803,0.35
0.359,-1.8761790255770734,0.35
0.36,-1.8747520120414691,0.35
0.361,-1.8733243789055143,0.35
0.362,-1.8718961217758476,0.35
0.363,-1.8704672364716304,0.35
0.364,-1.8690377190248277,0.35
0.365,-1.8676075656803812,0.35
0.366,-1.8661767728962522,0.35
0.367,-1.8647453373433711,0.35
0.368,-1.8633132559054522,0.35
0.369,-1.8618805256787212,0.35
0.37,-1.860447143971519,0.35
0.371,-1.8590131083038024,0.35
0.372,-1.8575784164065547,0.35
0.373,-1.8561430662210805,0.35
0.374,-1.8547070558982082,0.35
0.375,-1.8532703837973985,0.35
0.376,-1.8518330484857692,0.35
0.377,-1.8503950487370133,0.35
0.378,-1.8489563835302425,0.35
0.379,-1.8475170520487554,0.35
0.38,-1.846077053678707,0.35
0.381,-1.8446363880077206,0.35
0.382,-1.8431950548234166,0.35
0.383,-1.8417530541118792,0.35
0.384,-1.8403103860560508,0.35
0.385,-1.8388670510340708,0.35
0.386,-1.8374230496175494,0.35
0.387,-1.8359783825698006,0.35
0.388,-1.8345330508440032,0.35
0.389,-1.8330870555813332,0.35
0.39,-1.831640398109048,0.35
0.391,-1.830193079938521,0.35
0.392,-1.828745102763257,0.35
0.393,-1.8272964684568542,0.35
0.394,-1.8258471790709638,0.35
0.395,-1.8243972368331978,0.35
0.396,-1.822946644145027,0.35
0.397,-1.8214954035796662,0.35
0.398,-1.8200435178799346,0.35
0.399,-1.818590989956105,0.35
0.4,-1.817137822883753,0.35
0.401,-1.815684019901589,0.35
0.402,-1.8142295844092988,0.35
0.403,-1.8127745199653766,0.35
0.404,-1.8113188302849625,0.35
0.405,-1.80986251923769,0.35
0.406,-1.80840559084554,0.35
0.40700000000000003,-1.8069480492807024,0.35
0.40800000000000003,-1.8054898988634545,0.35
0.40900000000000003,-1.8040311440600565,0.35
0.41000000000000003,-1.8025717894806572,0.35
0.41100000000000003,-1.801111839877228,0.35
0.41200000000000003,-1.799651300141507,0.35
0.41300000000000003,-1.7981901753029774,0.35
0.41400000000000003,-1.79672847052686,0.35
0.41500000000000004,-1.795266191112141,0.35
0.41600000000000004,-1.7938033424896105,0.35
0.417,-1.7923399302199456,0.35
0.418,-1.7908759599918067,0.35
0.419,-1.7894114376199752,0.35
0.42,-1.787946369043505,0.35
0.421,-1.7864807603239203,0.35
0.422,-1.78501461764343,0.35
0.423,-1.7835479473031697,0.35
0.424,-1.782080755721486,0.35
0.425,-1.7806130494322367,0.35
0.426,-1.7791448350831267,0.35
0.427,-1.7776761194340622,0.35
0.428,-1.7762069093555422,0.35
0.429,-1.7747372118270661,0.35
0.43,-1.7732670339355732,0.35
0.431,-1.7717963828738998,0.35
0.432,-1.7703252659392632,0.35
0.433,-1.7688536905317562,0.35
0.434,-1.7673816641528735,0.35
0.435,-1.7659091944040437,0.35
0.436,-1.7644362889851823,0.35
0.437,-1.7629629556932596,0.35
0.438,-1.7614892024208686,0.35
0.439,-1.7600150371548153,0.35
0.44,-1.7585404679747096,0.35
0.441,-1.7570655030515585,0.35
0.442,-1.7555901506463645,0.35
0.443,-1.754114419108726,0.35
0.444,-1.75263831687543,0.35
0.445,-1.751161852469039,0.35
0.446,-1.7496850344964798,0.35
0.447,-1.74820787164761,0.35
0.448,-1.7467303726937793,0.35
0.449,-1.7452525464863768,0.35
0.45,-1.743774401955351,0.35
0.451,-1.7422959481077207,0.35
0.452,-1.740817194026059,0.35
0.453,-1.7393381488669508,0.35
0.454,-1.7378588218594189,0.35
0.455,-1.7363792223033325,0.35
0.456,-1.7348993595677715,0.35
0.457,-1.733419243089358,0.35
0.458,-1.7319388823705548,0.35
0.459,-1.7304582869779246,0.35
0.46,-1.7289774665403463,0.35
0.461,-1.727496430747184,0.35
0.462,-1.726015189346418,0.35
0.463,-1.7245337521427295,0.35
0.464,-1.723052128995528,0.35
0.465,-1.7215703298169363,0.35
0.466,-1.720088364569719,0.35
0.467,-1.7186062432651656,0.35
0.468,-1.7171239759609094,0.35
0.46900000000000003,-1.7156415727587007,0.35
0.47000000000000003,-1.7141590438021126,0.35
0.47100000000000003,-1.7126763992741996,0.35
0.47200000000000003,-1.7111936493950974,0.35
0.47300000000000003,-1.7097108044195561,0.35
0.47400000000000003,-1.7082278746344226,0.35
0.47500000000000003,-1.7067448703560562,0.35
0.47600000000000003,-1.7052618019276995,0.35
0.47700000000000004,-1.7037786797167698,0.35
0.47800000000000004,-1.7022955141121034,0.35
0.47900000000000004,-1.7008123155211443,0.35
0.48,-1.699329094367064,0.35
0.481,-1.6978458610858258,0.35
0.482,-1.6963626261232,0.35
0.483,-1.6948793999317129,0.35
0.484,-1.693396192967544,0.35
0.485,-1.6919130156873692,0.35
0.486,-1.6904298785451513,0.35
0.487,-1.6889467919888759,0.35
0.488,-1.6874637664572418,0.35
0.489,-1.6859808123762967,0.35
0.49,-1.6844979401560334,0.35
0.491,-1.6830151601869332,0.35
0.492,-1.681532482836472,0.35
0.493,-1.6800499184455813,0.35
0.494,-1.6785674773250783,0.35
0.495,-1.6770851697520488,0.35
0.496,-1.6756030059662042,0.35
0.497,-1.6741209961662058,0.35
0.498,-1.672639150505951,0.35
0.499,-1.6711574790908514,0.35
0.5,-1.6696759919740671,0.35
0.501,-1.6681946991527408,0.35
0.502,-1.6667136105641909,0.35
0.503,-1.6652327360821104,0.35
0.504,-1.6637520855127423,0.35
0.505,-1.6622716685910497,0.35
0.506,-1.660791494976877,0.35
0.507,-1.6593115742511095,0.35
0.508,-1.6578319159118369,0.35
0.509,-1.6563525293705137,0.35
0.51,-1.6548734239481266,0.35
0.511,-1.6533946088713805,0.35
0.512,-1.6519160932688823,0.35
0.513,-1.6504378861673548,0.35
0.514,-1.6489599964878572,0.35
0.515,-1.6474824330420343,0.35
0.516,-1.646005204528393,0.35
0.517,-1.6445283195286002,0.35
0.518,-1.6430517865038148,0.35
0.519,-1.6415756137910549,0.35
0.52,-1.6400998095996009,0.35
0.521,-1.6386243820074409,0.35
0.522,-1.6371493389577516,0.35
0.523,-1.6356746882554365,0.35
0.524,-1.6342004375637025,0.35
0.525,-1.632726594400694,0.35
0.526,-1.6312531661361778,0.35
0.527,-1.629780159988286,0.35
0.528,-1.6283075830203178,0.35
0.529,-1.6268354421375992,0.35
0.53,-1.6253637440844173,0.35
0.531,-1.6238924954410052,0.35
0.532,-1.6224217026206134,0.35
0.533,-1.6209513718666333,0.35
0.534,-1.6194815092498125,0.35
0.535,-1.6180121206655276,0.35
0.536,-1.61654321183115,0.35
0.537,-1.6150747882834793,0.35
0.538,-1.6136068553762613,0.35
0.539,-1.6121394182777866,0.35
0.54,-1.610672481968578,0.35
0.541,-1.6092060512391626,0.35
0.542,-1.607740130687926,0.35
0.543,-1.6062747247190625,0.35
0.544,-1.604809837540607,0.35
0.545,-1.603345473162566,0.35
0.546,-1.6018816353951397,0.35
0.547,-1.600418327847036,0.35
0.548,-1.598955553923874,0.35
0.549,-1.5974933168267018,0.35
0.55,-1.596031619550585,0.35
0.551,-1.5945704648833114,0.35
0.552,-1.5931098554041956,0.35
0.553,-1.5916497934829668,0.35
0.554,-1.590190281278769,0.35
0.555,-1.5887313207392602,0.35
0.556,-1.587272913599806,0.35
0.557,-1.5858150613827835,0.35
0.558,-1.5843577653969785,0.35
0.559,-1.5829010267370887,0.35
0.56,-1.5814448462833344,0.35
0.561,-1.5799892247011602,0.35
0.562,-1.5785341624410485,0.35
0.5630000000000001,-1.5770796597384287,0.35
0.5640000000000001,-1.5756257166136987,0.35
0.5650000000000001,-1.574172332872342,0.35
0.5660000000000001,-1.572719508105143,0.35
0.5670000000000001,-1.5712672416885205,0.35
0.5680000000000001,-1.5698155327849488,0.35
0.5690000000000001,-1.5683643803434872,0.35
0.5700000000000001,-1.5669137831004107,0.35
0.5710000000000001,-1.5654637395799398,0.35
0.5720000000000001,-1.564014248095079,0.35
0.5730000000000001,-1.5625653067485477,0.35
0.5740000000000001,-1.5611169134338159,0.35
0.5750000000000001,-1.5596690658362373,0.35
0.5760000000000001,-1.558221761434286,0.35
0.577,-1.5567749975008862,0.35
0.578,-1.5553287711048451,0.35
0.579,-1.5538830791123779,0.35
0.58,-1.5524379181887387,0.35
0.581,-1.5509932847999348,0.35
0.582,-1.5495491752145423,0.35
0.583,-1.5481055855056223,0.35
0.584,-1.5466625115527162,0.35
0.585,-1.545219949043945,0.35
0.586,-1.5437778934781932,0.35
0.587,-1.5423363401673882,0.35
0.588,-1.540895284238859,0.35
0.589,-1.5394547206377975,0.35
0.59,-1.5380146441297935,0.35
0.591,-1.5365750493034547,0.35
0.592,-1.5351359305731247,0.35
0.593,-1.5336972821816683,0.35
0.594,-1.5322590982033422,0.35
0.595,-1.5308213725467503,0.35
0.596,-1.5293840989578715,0.35
0.597,-1.5279472710231623,0.35
0.598,-1.5265108821727402,0.35
0.599,-1.5250749256836365,0.35
0.6,-1.5236393946831193,0.35
0.601,-1.5222042821520887,0.35
0.602,-1.520769580928535,0.35
0.603,-1.5193352837110616,0.35
0.604,-1.5179013830624832,0.35
0.605,-1.5164678714134663,0.35
0.606,-1.515034741066243,0.35
0.607,-1.5136019841983757,0.35
0.608,-1.5121695928665773,0.35
0.609,-1.5107375590105825,0.35
0.61,-1.5093058744570698,0.35
0.611,-1.5078745309236314,0.35
0.612,-1.5064435200227813,0.35
0.613,-1.5050128332660204,0.35
0.614,-1.5035824620679232,0.35
0.615,-1.5021523977502689,0.35
0.616,-1.5007226315462088,0.35
0.617,-1.499293154604464,0.35
0.618,-1.4978639579935464,0.35
0.619,-1.4964350327060068,0.35
0.62,-1.4950063696627094,0.35
0.621,-1.493577959717122,0.35
0.622,-1.4921497936596193,0.35
0.623,-1.490721862221804,0.35
0.624,-1.4892941560808364,0.35
0.625,-1.4878666658637663,0.35
0.626,-1.4864393821518807,0.35
0.627,-1.4850122954850349,0.35
0.628,-1.4835853963659904,0.35
0.629,-1.4821586752647438,0.35
0.63,-1.4807321226228485,0.35
0.631,-1.479305728857721,0.35
0.632,-1.4778794843669267,0.35
0.633,-1.4764533795324546,0.35
0.634,-1.4750274047249583,0.35
0.635,-1.4736015503079827,0.35
0.636,-1.472175806642154,0.35
0.637,-1.4707501640893295,0.35
0.638,-1.469324613016724,0.35
0.639,-1.4678991438009898,0.35
0.64,-1.466473746832257,0.35
0.641,-1.4650484125181222,0.35
0.642,-1.463623131287589,0.35
0.643,-1.4621978935949613,0.35
0.644,-1.4607726899236777,0.35
0.645,-1.459347510790085,0.35
0.646,-1.4579223467471571,0.35
0.647,-1.456497188388143,0.35
0.648,-1.4550720263501464,0.35
0.649,-1.4536468513176501,0.35
0.65,-1.4522216540259478,0.35
0.651,-1.4507964252645138,0.35
0.652,-1.4493711558802964,0.35
0.653,-1.4479458367809244,0.35
0.654,-1.446520458937842,0.35
0.655,-1.4450950133893468,0.35
0.656,-1.443669491243556,0.35
0.657,-1.4422438836812752,0.35
0.658,-1.4408181819587895,0.35
0.659,-1.4393923774105524,0.35
0.66,-1.4379664614517864,0.35
0.661,-1.4365404255809988,0.35
0.662,-1.4351142613823935,0.35
0.663,-1.4336879605281876,0.35
0.664,-1.4322615147808477,0.35
0.665,-1.4308349159952094,0.35
0.666,-1.4294081561205125,0.35
0.667,-1.4279812272023396,0.35
0.668,-1.4265541213844486,0.35
0.669,-1.4251268309105214,0.35
0.67,-1.4236993481258065,0.35
0.671,-1.422271665478668,0.35
0.672,-1.420843775522039,0.35
0.673,-1.4194156709147805,0.35
0.674,-1.417987344422949,0.35
0.675,-1.4165587889209679,0.35
0.676,-1.4151299973927074,0.35
0.677,-1.4137009629324773,0.35
0.678,-1.4122716787459275,0.35
0.679,-1.4108421381508673,0.35
0.68,-1.4094123345779916,0.35
0.681,-1.4079822615715347,0.35
0.682,-1.4065519127898352,0.35
0.683,-1.4051212820058279,0.35
0.684,-1.4036903631074562,0.35
0.685,-1.402259150098013,0.35
0.686,-1.4008276370964143,0.35
0.687,-1.3993958183374033,0.35
0.6880000000000001,-1.397963688171684,0.35
0.6890000000000001,-1.3965312410660022,0.35
0.6900000000000001,-1.3950984716031698,0.35
0.6910000000000001,-1.3936653744820244,0.35
0.6920000000000001,-1.3922319445173414,0.35
0.6930000000000001,-1.390798176639704,0.35
0.6940000000000001,-1.3893640658953181,0.35
0.6950000000000001,-1.3879296074457965,0.35
0.6960000000000001,-1.3864947965678986,0.35
0.6970000000000001,-1.3850596286532415,0.35
0.6980000000000001,-1.3836240992079727,0.35
0.6990000000000001,-1.3821882038524258,0.35
0.7000000000000001,-1.380751938320751,0.35
0.7010000000000001,-1.379315298460524,0.35
0.7020000000000001,-1.377878280232336,0.35
0.7030000000000001,-1.3764408864656268,0.35
0.704,-1.3750031199992403,0.35
0.705,-1.373564983681069,0.35
0.706,-1.3721264803677045,0.35
0.707,-1.370687612924085,0.35
0.708,-1.3692483842231216,0.35
0.709,-1.3678087971453508,0.35
0.71,-1.3663688545785586,0.35
0.711,-1.3649285594174145,0.35
0.712,-1.3634879145631,0.35
0.713,-1.362046922922941,0.35
0.714,-1.3606055874100313,0.35
0.715,-1.3591639109428506,0.35
0.716,-1.357721896444895,0.35
0.717,-1.3562795468442985,0.35
0.718,-1.3548368650734481,0.35
0.719,-1.353393854068612,0.35
0.72,-1.3519505167695538,0.35
0.721,-1.35050685611915,0.35
0.722,-1.3490628750630211,0.35
0.723,-1.3476185765491397,0.35
0.724,-1.346173963527459,0.35
0.725,-1.3447290389495326,0.35
0.726,-1.343283805768131,0.35
0.727,-1.3418382669368807,0.35
0.728,-1.3403924254098705,0.35
0.729,-1.3389462841412954,0.35
0.73,-1.337499846085075,0.35
0.731,-1.3360531141944882,0.35
0.732,-1.3346060914218132,0.35
0.733,-1.3331587807179552,0.35
0.734,-1.3317111850320877,0.35
0.735,-1.3302633073113004,0.35
0.736,-1.3288151505002368,0.35
0.737,-1.3273667175407518,0.35
0.738,-1.3259180113715558,0.35
0.739,-1.3244690349278834,0.35
0.74,-1.3230197911411476,0.35
0.741,-1.3215702829386,0.35
0.742,-1.3201205132430118,0.35
0.743,-1.3186704849723423,0.35
0.744,-1.317220201039417,0.35
0.745,-1.315769664351615,0.35
0.746,-1.314318877810564,0.35
0.747,-1.3128678443118282,0.35
0.748,-1.3114165667446134,0.35
0.749,-1.3099650479914686,0.35
0.75,-1.3085132909280102,0.35
0.751,-1.3070612984226262,0.35
0.752,-1.3056090733362158,0.35
0.753,-1.3041566185219082,0.35
0.754,-1.3027039368248126,0.35
0.755,-1.301251031081751,0.35
0.756,-1.2997979041210197,0.35
0.757,-1.2983445587621443,0.35
