t,delta,kappa_tau
0.191,-2.416143989749628,2.8
0.192,-2.4262507087171854,2.8
0.193,-2.436178322053387,2.8
0.194,-2.4459260466225867,2.8
0.195,-2.455493197819756,2.8
0.196,-2.464879184877031,2.8
0.197,-2.474083506211757,2.8
0.198,-2.483105744826336,2.8
0.199,-2.4919455637692693,2.8
0.2,-2.500602701665877,2.8
0.201,-2.509076968326298,2.8
0.202,-2.517368240437545,2.8
0.203,-2.5254764573455786,2.8
0.20400000000000001,-2.5334016169326,2.8
0.20500000000000002,-2.5411437715940366,2.8
0.20600000000000002,-2.548703024319009,2.8
0.20700000000000002,-2.556079524877429,2.8
0.20800000000000002,-2.5632734661162644,2.8
0.209,-2.57028508036696,2.8
0.21,-2.5771146359654695,2.8
0.211,-2.5837624338858847,2.8
0.212,-2.5902288044881985,2.8
0.213,-2.5965141043803426,2.8
0.214,-2.6026187133942704,2.8
0.215,-2.6085430316755343,2.8
0.216,-2.614287476885492,2.8
0.217,-2.6198524815150366,2.8
0.218,-2.625238490308508,2.8
0.219,-2.630445957796221,2.8
0.22,-2.635475345933898,2.8
0.221,-2.640327121847135,2.8
0.222,-2.6450017556788996,2.8
0.223,-2.6494997185379727,2.8
0.224,-2.653821480546153,2.8
0.225,-2.657967508982,2.8
0.226,-2.6619382665188382,2.8
0.227,-2.665734209554727,2.8
0.228,-2.6693557866320914,2.8
0.229,-2.6728034369447258,2.8
0.23,-2.6760775889298882,2.8
0.231,-2.679178658943247,2.8
0.232,-2.6821070500144844,2.8
0.233,-2.6848631506814096,2.8
0.234,-2.6874473339005034,2.8
0.23500000000000001,-2.6898599560318868,2.8
0.23600000000000002,-2.692101355896785,2.8
0.23700000000000002,-2.694171853905642,2.8
0.23800000000000002,-2.6960717512551318,2.8
0.23900000000000002,-2.6978013291924157,2.8
0.24,-2.699360848345094,2.8
0.241,-2.700750548115403,2.8
0.242,-2.70197064613731,2.8
0.243,-2.703021337795308,2.8
0.244,-2.703902795803769,2.8
0.245,-2.7046151698458907,2.8
0.246,-2.7051585862713505,2.8
0.247,-2.705533147851922,2.8
0.248,-2.705738933594426,2.8
0.249,-2.7057759986105117,2.8
0.25,-2.705644374042895,2.8
0.251,-2.705344067047787,2.8
0.252,-2.7048750608334045,2.8
0.253,-2.704237314754538,2.8
0.254,-2.703430764463313,2.8
0.255,-2.7024553221163847,2.8
0.256,-2.701310876638944,2.8
0.257,-2.699997294046013,2.8
0.258,-2.6985144178216656,2.8
0.259,-2.6968620693568814,2.8
0.26,-2.695040048446913,2.8
0.261,-2.6930481338491123,2.8
0.262,-2.690886083902315,2.8
0.263,-2.68855363720896,2.8
0.264,-2.6860505133812618,2.8
0.265,-2.683376413852823,2.8
0.266,-2.6805310227572017,2.8
0.267,-2.6775140078750255,2.8
0.268,-2.6743250216513452,2.8
0.269,-2.6709637022849986,2.8
0.27,-2.6674296748918316,2.8
0.271,-2.6637225527437005,2.8
0.272,-2.6598419385852363,2.8
0.273,-2.6557874260304084,2.8
0.274,-2.651558601040972,2.8
0.275,-2.6471550434889046,2.8
0.276,-2.642576328804984,2.8
0.277,-2.637822029715644,2.8
0.278,-2.6328917180702573,2.8
0.279,-2.627784966760971,2.8
0.28,-2.6225013517371893,2.8
0.281,-2.6170404541167436,2.8
0.28200000000000003,-2.61140186239572,2.8
0.28300000000000003,-2.6055851747588283,2.8
0.28400000000000003,-2.5995900014920865,2.8
0.28500000000000003,-2.593415967499456,2.8
0.28600000000000003,-2.587062714924903,2.8
0.28700000000000003,-2.5805299058811944,2.8
0.28800000000000003,-2.5738172252865077,2.8
0.289,-2.566924383809697,2.8
0.29,-2.5598511209248036,2.8
0.291,-2.5525972080750785,2.8
0.292,-2.5451624519464646,2.8
0.293,-2.5375466978501073,2.8
0.294,-2.5297498332130672,2.8
0.295,-2.521771791175965,2.8
0.296,-2.5136125542957997,2.8
0.297,-2.505272158351696,2.8
0.298,-2.4967506962507358,2.8
0.299,-2.488048322030478,2.8
0.3,-2.4791652549541103,2.8
0.301,-2.4701017836935204,2.8
0.302,-2.460858270594846,2.8
0.303,-2.4514351560203416,2.8
0.304,-2.4418329627595963,2.8
0.305,-2.4320523005023276,2.8
0.306,-2.4220938703641393,2.8
0.307,-2.4119584694557403,2.8
0.308,-2.4016469954852377,2.8
0.309,-2.3911604513821985,2.8
0.31,-2.380499949931224,2.8
0.311,-2.3696667184018674,2.8
0.312,-2.3586621031607615,2.8
0.313,-2.3474875742508834,2.8
0.314,-2.3361447299219584,2.8
0.315,-2.3246353010951095,2.8
0.316,-2.312961155743955,2.8
0.317,-2.301124303173541,2.8
0.318,-2.2891268981776776,2.8
0.319,-2.27697124505457,2.8
0.32,-2.264659801459895,2.8
0.321,-2.252195182075992,2.8
0.322,-2.2395801620752778,2.8
0.323,-2.2268176803556683,2.8
0.324,-2.2139108425255154,2.8
0.325,-2.2008629236154507,2.8
0.326,-2.187677370494548,2.8
0.327,-2.174357803968358,2.8
0.328,-2.160908020536759,2.8
0.329,-2.147331993790008,2.8
0.33,-2.1336338754221105,2.8
0.331,-2.119817995841469,2.8
0.332,-2.105888864359849,2.8
0.333,-2.0918511689419583,2.8
0.334,-2.07770977549937,2.8
0.335,-2.06346972671421,2.8
0.336,-2.0491362403798217,2.8
0.337,-2.0347147072476863,2.8
0.338,-2.0202106883720745,2.8
0.339,-2.0056299119462606,2.8
0.34,-1.9909782696266909,2.8
0.341,-1.976261812344137,2.8
0.342,-1.9614867456036649,2.8
0.343,-1.9466594242781383,2.8
0.34400000000000003,-1.931786346902916,2.8
0.34500000000000003,-1.9168741494824344,2.8
0.34600000000000003,-1.9019295988224023,2.8
0.34700000000000003,-1.8869595854043393,2.8
0.34800000000000003,-1.8719711158221886,2.8
0.34900000000000003,-1.8569713048036993,2.8
0.35000000000000003,-1.8419673668420327,2.8
0.35100000000000003,-1.8269666074658293,2.8
0.352,-1.8118928249378552,2.8
0.353,-1.7967489637331875,2.8
0.354,-1.7815380441158633,2.8
0.355,-1.7662631585393411,2.8
0.356,-1.7509274677819597,2.8
0.357,-1.7355341968242524,2.8
0.358,-1.7200866304766738,2.8
0.359,-1.7045881087680366,2.8
0.36,-1.689042022106583,2.8
0.361,-1.6734518062273285,2.8
0.362,-1.6578209369408397,2.8
0.363,-1.6421529247001567,2.8
0.364,-1.6264513090039578,2.8
0.365,-1.6107196526553693,2.8
0.366,-1.5949615358970082,2.8
0.367,-1.5791805504438514,2.8
0.368,-1.5633802934363983,2.8
0.369,-1.5475643613373213,2.8
0.37,-1.5317363437952851,2.8
0.371,-1.5158998174999905,2.8
0.372,-1.500058340052644,2.8
0.373,-1.4842154438760167,2.8
0.374,-1.468374630188026,2.8
0.375,-1.452539363062372,2.8
0.376,-1.4367130635991687,2.8
0.377,-1.4208991042277352,2.8
0.378,-1.4051008031627825,2.8
0.379,-1.3893214190341565,2.8
0.38,-1.3735641457090786,2.8
0.381,-1.3578321073244641,2.8
0.382,-1.3421283535454664,2.8
0.383,-1.3264558550648342,2.8
0.384,-1.3108174993560828,2.8
0.385,-1.2952160866917666,2.8
0.386,-1.2796543264364901,2.8
0.387,-1.26413483362251,2.8
0.388,-1.2486601258141237,2.8
0.389,-1.2332326202652526,2.8
0.39,-1.2178546313730445,2.8
0.391,-1.2025283684285943,2.8
0.392,-1.1872559336643844,2.8
0.393,-1.1720393205965136,2.8
0.394,-1.1568804126583698,2.8
0.395,-1.1417809821210847,2.8
0.396,-1.12674268929488,2.8
0.397,-1.1117670820042909,2.8
0.398,-1.0968555953292363,2.8
0.399,-1.0820095516030115,2.8
0.4,-1.0672301606574912,2.8
0.401,-1.0525185203051368,2.8
0.402,-1.0378756170468684,2.8
0.403,-1.023302326994358,2.8
0.404,-1.0087994169950196,2.8
0.405,-0.9943675459476431,2.8
0.406,-0.9800072662965231,2.8
0.40700000000000003,-0.9657190256918504,2.8
0.40800000000000003,-0.9515031688041553,2.8
0.40900000000000003,-0.9373599392806877,2.8
0.41000000000000003,-0.9232894818318034,2.8
0.41100000000000003,-0.9092918444356428,2.8
0.41200000000000003,-0.8953669806496869,2.8
0.41300000000000003,-0.8815147520181217,2.8
0.41400000000000003,-0.8677349305643229,2.8
0.41500000000000004,-0.8540272013581802,2.8
0.41600000000000004,-0.8403911651484748,2.8
0.417,-0.8268263410509302,2.8
0.418,-0.8133321692831306,2.8
0.419,-0.7999080139379373,2.8
0.42,-0.7865531657875895,2.8
0.421,-0.7732668451111966,2.8
0.422,-0.7600482045388048,2.8
0.423,-0.746896331905786,2.8
0.424,-0.7338102531117521,2.8
0.425,-0.7207889349787244,2.8
0.426,-0.7078312881037423,2.8
0.427,-0.6949361697015739,2.8
0.428,-0.6821023864335896,2.8
0.429,-0.669328697219358,2.8
0.43,-0.6566138160278197,2.8
0.431,-0.6439564146453662,2.8
0.432,-0.6313551254184162,2.8
0.433,-0.6188085439684805,2.8
0.434,-0.6063152318779341,2.8
0.435,-0.5938737193450407,2.8
0.436,-0.5814825078069941,2.8
0.437,-0.5691400725299705,2.8
0.438,-0.5568448651653686,2.8
0.439,-0.5445953162715984,2.8
0.44,-0.5323898378009027,2.8
0.441,-0.5202268255508411,2.8
0.442,-0.5081046615801252,2.8
0.443,-0.4960217165886025,2.8
0.444,-0.48397635226120883,2.8
0.445,-0.47196692357573333,2.8
0.446,-0.4599917810742955,2.8
0.447,-0.4480492730983361,2.8
0.448,-0.43613774798698834,2.8
0.449,-0.4242555562385686,2.8
0.45,-0.412401052634932,2.8
0.451,-0.4005725983282993,2.8
0.452,-0.38876856289013517,2.8
0.453,-0.37698732632149756,2.8
0.454,-0.3652272810242323,2.8
0.455,-0.3534868337322248,2.8
0.456,-0.34176440740181135,2.8
0.457,-0.33005844306036636,2.8
0.458,-0.31836740161188715,2.8
0.459,-0.3066897655983478,2.8
0.46,-0.295024040915413,2.8
0.461,-0.2833687584810338,2.8
0.462,-0.2717224758552863,2.8
0.463,-0.2600837788097632,2.8
0.464,-0.24845128284469986,2.8
0.465,-0.23682363465196765,2.8
0.466,-0.22519951352196266,2.8
0.467,-0.2135776326924308,2.8
0.468,-0.20195674063717028,2.8
0.46900000000000003,-0.19033562229261847,2.8
0.47000000000000003,-0.17871310022026243,2.8
0.47100000000000003,-0.16708803570292297,2.8
0.47200000000000003,-0.15545932977294186,2.8
0.47300000000000003,-0.14382592417046247,2.8
0.47400000000000003,-0.13218680223001478,2.8
0.47500000000000003,-0.12054098969380433,2.8
0.47600000000000003,-0.10888755545023088,2.8
0.47700000000000004,-0.09722561219633441,2.8
0.47800000000000004,-0.08555431702306926,2.8
0.47900000000000004,-0.07387287192252501,2.8
0.48,-0.06218052421644238,2.8
0.481,-0.05047656690563862,2.8
0.482,-0.038760338940210914,2.8
0.483,-0.027031225410683035,2.8
0.484,-0.015288657660565974,2.8
0.485,-0.0035321133210626243,2.8
0.486,0.008238883730989244,2.8
0.487,0.020024763490580355,2.8
0.488,0.031825910015705006,2.8
0.489,0.04364266169028497,2.8
0.49,0.05547531155652585,2.8
0.491,0.0673241077141924,2.8
0.492,0.07918925378394093,2.8
0.493,0.09107090943163065,2.8
0.494,0.1029691909503363,2.8
0.495,0.1148841718964988,2.8
0.496,0.12681588377656539,2.8
0.497,0.1387643167802146,2.8
0.498,0.15072942055622995,2.8
0.499,0.16271110502692387,2.8
0.5,0.1747092412369735,2.8
0.501,0.18672366223248993,2.8
0.502,0.1987541639661501,2.8
0.503,0.21080050622422064,2.8
0.504,0.22286241357140746,2.8
0.505,0.2349395763094826,2.8
0.506,0.2470316514458304,2.8
0.507,0.2591382636681292,2.8
0.508,0.27125900632159805,2.8
0.509,0.2833934423853819,2.8
0.51,0.2955411054448831,2.8
0.511,0.3077015006570427,2.8
0.512,0.3198741057058321,2.8
0.513,0.3320583717454433,2.8
0.514,0.344253724328917,2.8
0.515,0.3564595643202235,2.8
0.516,0.36867526878804746,2.8
0.517,0.3809001918797996,2.8
0.518,0.3931336656746467,2.8
0.519,0.4053750010145851,2.8
0.52,0.41762348831282026,2.8
0.521,0.42987839833899066,2.8
0.522,0.4421389829809588,2.8
0.523,0.4544044759831092,2.8
0.524,0.4666740936613216,2.8
0.525,0.478947035594933,2.8
0.526,0.4912224852962055,2.8
0.527,0.5034996108579133,2.8
0.528,0.5157775655798815,2.8
0.529,0.5280554885753297,2.8
0.53,0.540332505358057,2.8
0.531,0.5526077284115196,2.8
0.532,0.5648802577409793,2.8
0.533,0.5771491814098937,2.8
0.534,0.5894135760617996,2.8
0.535,0.6016725074289351,2.8
0.536,0.6139250308288631,2.8
0.537,0.626170191650326,2.8
0.538,0.6384070258295935,2.8
0.539,0.6506345603184656,2.8
0.54,0.6628518135451174,2.8
0.541,0.6750577958688702,2.8
0.542,0.6872515100299434,2.8
0.543,0.6994319515951677,2.8
0.544,0.7115981094005637,2.8
0.545,0.7237489659916214,2.8
0.546,0.7358834980620248,2.8
0.547,0.748000676891488,2.8
0.548,0.7600994687832898,2.8
0.549,0.7721788355019772,2.8
0.55,0.7842377347116667,2.8
0.551,0.7962751204152276,2.8
0.552,0.8082899433945894,2.8
0.553,0.820281151652317,2.8
0.554,0.8322476908544889,2.8
0.555,0.8441885047748663,2.8
0.556,0.8561025357402432,2.8
0.557,0.867988725076783,2.8
0.558,0.8798460135571187,2.8
0.559,0.8916733418478433,2.8
0.56,0.9034696509570637,2.8
0.561,0.9152338826815214,2.8
0.562,0.9269649800528192,2.8
0.5630000000000001,0.9386618877821711,2.8
0.5640000000000001,0.9503235527031073,2.8
0.5650000000000001,0.9619489242114767,2.8
0.5660000000000001,0.9735369547020998,2.8
0.5670000000000001,0.9850866000013418,2.8
0.5680000000000001,0.996596819794906,2.8
0.5690000000000001,1.0080665780500784,2.8
0.5700000000000001,1.0194948434316728,2.8
0.5710000000000001,1.0308805897108915,2.8
0.5720000000000001,1.0422227961663175,2.8
0.5730000000000001,1.0535204479762577,2.8
0.5740000000000001,1.0647725366016338,2.8
0.5750000000000001,1.0759780601586684,2.8
0.5760000000000001,1.087136023780566,2.8
0.577,1.09824543996743,2.8
0.578,1.1093053289236945,2.8
0.579,1.1203147188823106,2.8
0.58,1.1312726464150025,2.8
0.581,1.142178156727919,2.8
0.582,1.1530303039420016,2.8
0.583,1.1638281513574693,2.8
0.584,1.1745707717018075,2.8
0.585,1.1852572473607221,2.8
0.586,1.1958866705915252,2.8
0.587,1.2064581437184518,2.8
0.588,1.2169707793094986,2.8
0.589,1.2274237003343256,2.8
0.59,1.2378160403029028,2.8
0.591,1.2481469433845405,2.8
0.592,1.2584155645070414,2.8
0.593,1.268621069435726,2.8
0.594,1.2787626348321446,2.8
0.595,1.2888394482923182,2.8
0.596,1.2988507083644123,2.8
0.597,1.3087956245457733,2.8
0.598,1.3186734172593155,2.8
0.599,1.3284833178093134,2.8
0.6,1.3382245683166296,2.8
0.601,1.3478964216335516,2.8
0.602,1.3574981412383718,2.8
0.603,1.3670290011099393,2.8
0.604,1.3764882855824432,2.8
0.605,1.3858752891807367,2.8
0.606,1.3951893164365448,2.8
0.607,1.4044296816859472,2.8
0.608,1.4135957088486162,2.8
0.609,1.4226867311892502,2.8
0.61,1.4317020910617622,2.8
0.611,1.4406411396368135,2.8
0.612,1.4495032366132996,2.8
0.613,1.4582877499144633,2.8
0.614,1.4669940553693728,2.8
0.615,1.4756215363805048,2.8
0.616,1.4841695835782716,2.8
0.617,1.4926375944633374,2.8
0.618,1.501024973037639,2.8
0.619,1.5093311294250675,2.8
0.62,1.517555479482823,2.8
0.621,1.5256974444044928,2.8
0.622,1.533756450315975,2.8
0.623,1.5417319278653938,2.8
0.624,1.549623311808224,2.8
0.625,1.557430040588896,2.8
0.626,1.5651515559201972,2.8
0.627,1.5727873023618297,2.8
0.628,1.5803367268995885,2.8
0.629,1.5877992785265906,2.8
0.63,1.5951744078281536,2.8
0.631,1.6024615665718773,2.8
0.632,1.6096602073046,2.8
0.633,1.6167697829579328,2.8
0.634,1.623789746464146,2.8
0.635,1.6307195503842191,2.8
0.636,1.637558646549932,2.8
0.637,1.6443064857219447,2.8
0.638,1.6509625172658158,2.8
0.639,1.6575261888480242,2.8
0.64,1.6639969461540645,2.8
0.641,1.6703742326307385,2.8
0.642,1.6766574892548132,2.8
0.643,1.682846154330253,2.8
0.644,1.6889396633162743,2.8
0.645,1.694937448688476,2.8
0.646,1.7008389398353323,2.8
0.647,1.7066435629923724,2.8
0.648,1.7123507412163317,2.8
0.649,1.7179598944016021,2.8
0.65,1.7234704393412663,2.8
0.651,1.7288817898349915,2.8
0.652,1.7341933568460401,2.8
0.653,1.7394045487095688,2.8
0.654,1.7445147713943747,2.8
0.655,1.7495234288201331,2.8
0.656,1.754429923232136,2.8
0.657,1.7592336556353505,2.8
0.658,1.763934026289606,2.8
0.659,1.768530435267472,2.8
0.66,1.7730222830763047,2.8
0.661,1.7774089713457375,2.8
0.662,1.7816899035816878,2.8
0.663,1.7858644859877355,2.8
0.664,1.789932128354529,2.8
0.665,1.79389224501754,2.8
0.666,1.7977442558833108,2.8
0.667,1.801487587523944,2.8
0.668,1.8051216743393326,2.8
0.669,1.8086459597862792,2.8
0.67,1.8120598976732705,2.8
0.671,1.8153629535193385,2.8
0.672,1.818554605975061,2.8
0.673,1.8216343483033093,2.8
0.674,1.8246016899170048,2.8
0.675,1.8274561579706905,2.8
0.676,1.8301972990023234,2.8
0.677,1.8328246806212647,2.8
0.678,1.8353378932380284,2.8
0.679,1.837736551830929,2.8
0.68,1.8400202977443758,2.8
0.681,1.8421888005131475,2.8
0.682,1.8442417597066303,2.8
0.683,1.8461789067866157,2.8
0.684,1.8480000069719598,2.8
0.685,1.8497048611030795,2.8
0.686,1.85129330749902,2.8
0.687,1.8527652237995742,2.8
0.6880000000000001,1.854120528784776,2.8
0.6890000000000001,1.8553591841639303,2.8
0.6900000000000001,1.8564811963262908,2.8
0.6910000000000001,1.8574866180454048,2.8
0.6920000000000001,1.8583755501292263,2.8
0.6930000000000001,1.8591481430081274,2.8
0.6940000000000001,1.8598045982531062,2.8
0.6950000000000001,1.8603451700166644,2.8
0.6960000000000001,1.8607701663890968,2.8
0.6970000000000001,1.861079950663246,2.8
0.6980000000000001,1.8612749425011579,2.8
0.6990000000000001,1.8613556189964697,2.8
0.7000000000000001,1.861322515626897,2.8
0.7010000000000001,1.8611762270916792,2.8
0.7020000000000001,1.8609174080294402,2.8
0.7030000000000001,1.8605461479855734,2.8
0.704,1.8600625724082658,2.8
0.705,1.8594668427777705,2.8
0.706,1.8587591566842008,2.8
0.707,1.8579397478528197,2.8
0.708,1.8570088861158869,2.8
0.709,1.8559668773303528,2.8
0.71,1.8548140632407755,2.8
0.711,1.853550821287083,2.8
0.712,1.852177564356916,2.8
0.713,1.8506947404825276,2.8
0.714,1.8491028324823837,2.8
0.715,1.8474023575478054,2.8
0.716,1.8455938667752054,2.8
0.717,1.843677944644666,2.8
0.718,1.8416552084458129,2.8
0.719,1.839526307652127,2.8
0.72,1.8372919232450666,2.8
0.721,1.8349527669895025,2.8
0.722,1.8325095806622453,2.8
0.723,1.8299631352355252,2.8
0.724,1.8273142300175298,2.8
0.725,1.8245636917522106,2.8
0.726,1.8217123736807572,2.8
0.727,1.8187611545672322,2.8
0.728,1.815710937691012,2.8
0.729,1.812562649808747,2.8
0.73,1.809317240088692,2.8
0.731,1.8059756790202481,2.8
0.732,1.8025389573017243,2.8
0.733,1.7990080847092358,2.8
0.734,1.7953840889498007,2.8
0.735,1.7916680145016084,2.8
0.736,1.7878609214444552,2.8
0.737,1.7839638842833363,2.8
0.738,1.779977990768101,2.8
0.739,1.7759043407120494,2.8
0.74,1.7717440448122463,2.8
0.741,1.7674982234743055,2.8
0.742,1.7631680056442196,2.8
0.743,1.758754527649785,2.8
0.744,1.754258932053986,2.8
0.745,1.74968236652267,2.8
0.746,1.7450259827085972,2.8
0.747,1.74029093515394,2.8
0.748,1.7354783802130775,2.8
0.749,1.7305894749974406,2.8
0.75,1.725625376343988,2.8
0.751,1.7205872398087863,2.8
0.752,1.7154762186869768,2.8
0.753,1.7102934630603315,2.8
0.754,1.705040118873395,2.8
0.755,1.6997173270391297,2.8
0.756,1.6943262225748104,2.8
0.757,1.6888679337688028,2.8
0.758,1.6833435813787467,2.8
0.759,1.6777542778615047,2.8
0.76,1.6721011266352068,2.8
0.761,1.6663852213735062,2.8
0.762,1.660607645332174,2.8
0.763,1.654769470707965,2.8
0.764,1.6488717580296974,2.8
0.765,1.642915555581327,2.8
0.766,1.6369018988567827,2.8
0.767,1.6308318100462174,2.8
0.768,1.6247062975533222,2.8
0.769,1.6185263555432439,2.8
0.77,1.6122929635206429,2.8
0.771,1.6060070859373443,2.8
0.772,1.5996696718290604,2.8
0.773,1.5932816544805686,2.8
